Ahei Pashchim	33	102	246813	832375	0
Ahei Purab	33	102	246832	832384	0
Ahelapara	25	290	217531	837715	0
Ahemi	33	659	276209	801274	0
Aher	33	548	269411	797616	0
Aher Borgaon	20	151	194473	763425	0
Ahera	33	458	289291	772675	0
Ahera	19	420	256594	772706	0
Ahera	33	516	258701	840988	0
Aheran	28	428	262420	749373	0
Aheraula	33	329	283640	794888	0
Aherbera	14	276	225893	854955	0
Ahergaon	20	54	201801	740224	0
Aheri	15	80	169779	763012	0
Aheri	6	275	213136	813691	0
Aheripur	33	278	266389	792615	0
Aherwani	19	323	256785	773015	0
Aherwara	19	325	225726	792814	0
Aherweli	20	67	198345	786242	0
Ahesa	33	301	264047	809437	0
Ahet	33	522	269960	818055	0
Aheta	33	532	263117	824450	0
Ahethia Kishunipur	33	532	263000	824810	0
Aheti	19	322	265906	788894	0
Aheto	33	710	262215	791534	0
Ahewa	33	698	259410	809772	0
Ahewa	33	488	273936	811229	0
Ahewa	33	488	272075	809377	0
