Ahilyanagar	20	150	190946	747384	367140
Ahiwara	6	275	213580	814179	20384
Ahiri	20	134	194139	800036	14609
Ahirkheri	19	635	226800	758048	10165
Ahi	33	196	252254	827886	0
Ahi!r	4	382	265681	847127	0
Ahia	27	544	312413	753750	0
Ahia Chak	4	581	254767	851686	0
Ahia Chak	4	495	252803	856477	0
Ahiahi	33	479	261137	829701	0
Ahian Khera	11	353	294289	764859	0
Ahiapur	33	661	275411	792407	0
Ahiapur	4	597	253245	839156	0
Ahiapur	33	654	262479	812329	0
Ahiapur	4	581	255825	849410	0
Ahiapur	4	675	264210	840488	0
Ahiapur	4	675	262658	848386	0
Ahiapur	4	663	252092	857786	0
Ahiapur	4	663	251412	858517	0
Ahiapur	4	510	256036	858943	0
Ahiapur	4	510	256101	858877	0
Ahiapur	4	569	261139	861112	0
Ahiapur	4	495	252066	854250	0
Ahias	25	362	208464	865159	0
Ahiasa	4	507	252046	850901	0
Ahibaran Bigha	4	394	249870	841481	0
Ahibaranpur	33	479	258195	829388	0
Ahibaranpur	4	394	249313	842084	0
Ahibaranrai Tola	33	515	263188	841634	0
Ahibi ka Purwa	33	584	256504	817379	0
Ahibranpur	33	479	260945	831896	0
Ahidano	33	488	274061	806154	0
Ahigola	25	281	213078	854451	0
Ahijantola	4	581	254528	855894	0
Ahikaura	33	694	254206	833893	0
Ahila	4	363	253731	846508	0
Ahilandapuram	30	227	110267	773508	0
Ahilandapuram	30	189	99220	773907	0
Ahilapur	14	434	241081	864878	0
Ahilda	6	365	216737	823292	0
Ahilgaon	4	590	259651	874893	0
Ahilwar	33	654	263420	812992	0
Ahilwara	4	569	259338	861639	0
Ahilwara	4	136	256846	862239	0
Ahilyaganj	33	174	275417	776731	0
Ahilyapura	19	16	241476	764344	0
Ahilyapura	19	317	223085	757255	0
Ahimalapur	33	661	272447	794873	0
Ahimanpur	33	27	253499	835828	0
Ahimanpur	33	561	252509	825121	0
Ahimanwan	4	382	264102	849664	0
Ahina	33	688	257837	818568	0
Ahinaura	4	718	252255	836640	0
Ahindar	33	685	270567	806632	0
Ahinkaripur	33	445	271375	792803	0
Ahir	33	522	270583	816598	0
Ahir	33	522	271231	816851	0
Ahir	33	522	270381	816853	0
Ahir	33	515	263206	841755	0
Ahir	4	615	262204	841043	0
Ahir	4	457	268190	842733	0
Ahir	4	382	266412	847074	0
Ahir	4	381	262580	848888	0
Ahir	4	675	262194	847977	0
Ahir	4	520	261287	847619	0
Ahir	4	520	261069	848227	0
Ahir	4	520	260129	848138	0
Ahir	4	520	260004	848101	0
Ahir	4	520	260250	848216	0
Ahir	33	516	258079	842442	0
Ahir	4	520	259605	850420	0
Ahir Baldan	33	522	271100	816567	0
Ahir Barariya	19	334	237684	760774	0
Ahir Basna	28	463	279585	765973	0
Ahir Bigha	14	673	244603	839532	0
Ahir Bigha	4	112	251014	844570	0
Ahir Bigha	4	112	249130	843833	0
Ahir Chaunri	4	394	253083	842519	0
Ahir Dulariganj	33	654	263297	811993	0
Ahir Kanaujiah	33	605	268118	821154	0
Ahir Kanaujian	33	605	268100	821022	0
Ahir ki Lambi	28	288	281548	758822	0
Ahir Marwa	14	541	236112	852220	0
Ahir Pura	33	619	252814	808791	0
Ahir Purwa	33	619	253318	808093	0
Ahir Purwa	33	619	253549	809059	0
Ahir Purwa	33	282	276404	815093	0
Ahir Purwa	33	282	276415	816017	0
Ahir Purwa	33	522	270460	819355	0
Ahir Purwa	33	522	270562	818818	0
Ahir Purwa	33	522	270983	819228	0
Ahir Purwa	33	522	270858	819524	0
Ahir Purwa	33	522	270785	819694	0
Ahir Purwa	33	522	270619	819449	0
Ahir Purwa	33	522	272493	818810	0
Ahir Purwa	33	31	270485	815176	0
Ahir Purwa	33	269	273355	823255	0
Ahir Purwa	33	522	270454	822616	0
Ahir Purwa	33	522	270342	822645	0
Ahir Purwa	33	522	270235	823225	0
Ahir Purwa	33	522	270287	824838	0
Ahir Purwa	33	152	269266	822917	0
Ahir Purwa	33	152	268792	822706	0
Ahir Purwa	33	152	269134	824424	0
Ahir Purwa	33	152	267566	824066	0
Ahir Purwa	33	152	269400	824008	0
Ahir Purwa	33	152	269472	827827	0
Ahir Purwa	33	282	274309	814143	0
Ahir Purwa	33	654	261611	814062	0
Ahir Purwa	33	654	260222	814913	0
Ahir Purwa	33	605	267813	815992	0
Ahir Purwa	33	282	276031	814569	0
Ahir Purwa	33	654	262402	813402	0
Ahir Purwa	33	654	262255	813367	0
Ahir Sukutia	33	329	280834	795412	0
Ahir Tali	33	488	274490	808407	0
Ahir Tola	33	314	264859	833751	0
Ahir Tola	33	515	264575	834883	0
Ahir Tola	33	516	260587	840394	0
Ahir Tola	33	516	260017	840267	0
Ahir Tola	33	516	260057	840596	0
Ahira	28	487	251440	770642	0
Ahira	33	561	253547	825923	0
Ahira	33	595	277109	817583	0
Ahira	33	619	252785	811291	0
Ahira Bhandari	4	112	245929	844425	0
Ahira Budrukh	20	78	210912	753355	0
Ahira Dih	33	532	264372	823938	0
Ahira Siswa	4	457	272112	846821	0
Ahirabir	33	242	254352	830542	0
Ahirabir	33	242	254689	828665	0
Ahiradiha	33	280	271196	825853	0
Ahiragawan	19	337	239075	801694	0
Ahirahirtola	14	673	238572	840410	0
Ahirahra	33	626	256154	814271	0
Ahirain	33	584	255984	819544	0
Ahiran	33	661	276997	791771	0
Ahiran	33	661	274790	795755	0
Ahiran	33	661	274496	795450	0
Ahiran	33	661	274471	795638	0
Ahiran	33	661	274337	795577	0
Ahiran	33	661	273774	795931	0
Ahiran	33	661	273999	796100	0
Ahiran	33	661	274641	796675	0
Ahiran	33	661	272263	795437	0
Ahiran	33	548	270825	795318	0
Ahiran	33	242	253557	829391	0
Ahiran	33	488	274781	811857	0
Ahiran	33	619	251839	812388	0
Ahiran	33	282	272067	816485	0
Ahiran	33	575	261290	821171	0
Ahiran	33	522	269858	824251	0
Ahiran	33	575	261740	825305	0
Ahiran	33	33	260478	825777	0
Ahiran	33	314	263812	834918	0
Ahiran	33	314	263879	834913	0
Ahiran	33	584	251963	819252	0
Ahiran	33	539	266354	842600	0
Ahiran	33	329	284945	794751	0
Ahiran	4	569	260717	863042	0
Ahiran	35	452	245173	880273	0
Ahiran Dih	33	269	272938	823030	0
Ahiran ka Purwa	33	444	256175	810145	0
Ahiran ka Purwa	19	638	250583	801112	0
Ahiran ka Purwa	33	444	255074	803524	0
Ahiran ka Purwa	33	444	252316	805758	0
Ahiran ka Purwa	33	444	251423	805891	0
Ahiran ka Purwa	33	619	252148	807300	0
Ahiran ka Purwa	33	619	252034	807003	0
Ahiran Khera	33	685	266361	810536	0
Ahiran Khera	33	659	270496	805198	0
Ahiran ki Dhani	28	288	280012	758931	0
Ahiran Mazra	33	584	250885	818467	0
Ahiran Pura	33	522	269122	819014	0
Ahiran Purwa	33	548	270702	797428	0
Ahiran Purwa	19	638	252681	803371	0
Ahiran Purwa	33	488	275911	810140	0
Ahiran Purwa	33	488	275194	811980	0
Ahiran Purwa	33	282	277153	815323	0
