Aku	33	553	292764	783938	0
Akualganj	4	495	252255	855366	0
Akuhaito	24	7	260893	944071	0
Akul	25	281	212684	854162	0
Akul Bigha	4	507	252248	851366	0
Akulahi	33	314	266517	834540	0
Akulakatta	1	176	184781	834305	0
Akulam	16	211	85230	769098	0
Akulanarayanapalle	1	221	150336	788728	0
Akulapeta	1	176	180276	834194	0
Akulapeta	1	176	183260	835562	0
Akulatimmanehalli	30	109	120978	778028	0
Akulavandlapalle	1	426	138541	779770	0
Akulavari Ganapuram	31	218	183357	804269	0
Akulavaripalle	1	221	144214	789675	0
Akuledu	1	99	147981	776389	0
Akulga	20	156	182978	767989	0
Akulkheda	20	78	212465	752532	0
Akulu Tampora	1	453	187422	839688	0
Akuluru	1	258	179485	821827	0
Akuluru	1	258	175959	815265	0
Akuluto	24	7	261661	944871	0
Akumalla	1	224	151611	782044	0
Akumamidikota	1	258	177440	818008	0
Akumarri Tanda	31	272	167110	776889	0
Akumroma	14	541	231334	850421	0
Akumromatoli	14	541	231293	850362	0
Akunpalli	31	62	170877	783897	0
Akunuru	1	68	163916	808194	0
Akunuru Malepalle	1	68	163985	808242	0
Akunwa	4	569	257864	863176	0
Akupamla	31	241	170115	799036	0
Akupur	4	136	258501	861139	0
Akura	35	452	246842	879371	0
Akurahwa	4	117	247202	850740	0
Akurdi	20	52	186532	737896	0
Akurha	4	363	253374	845498	0
Akurhi	33	575	263696	821972	0
Akuri	4	495	251071	852442	0
Akurpur	4	112	250087	843806	0
Akuru	1	258	174691	816049	0
Akushi	33	523	279871	785387	0
Akusingi	25	349	192715	838495	0
Akuthota	1	45	141212	800116	0
Akutigapadu	1	307	167546	815221	0
Akutotapalle	1	99	146182	776330	0
Akutotapalle	1	426	143647	781033	0
Akutotapalle	1	426	139980	780038	0
Akutotapalli	31	100	166393	787971	0
Akutotapalli	1	221	145554	790661	0
Akutotipalle	1	426	144238	777733	0
Akutpur	33	532	265271	827179	0
Akuwala	27	545	310178	746681	0
