Alva Bade	6	578	189445	817703	0
Alva Chhote	6	578	189789	817808	0
Alvad	15	59	148703	748245	0
Alvada	20	132	209229	781395	0
Alvadi	20	78	204947	748190	0
Alvagadde	15	59	149717	746491	0
Alval	31	100	167453	792868	0
Alvalamangapuram	1	190	140311	793723	0
Alvalli	15	59	143131	747655	0
Alvalli	15	652	128478	757233	0
Alvalli	15	652	129628	758581	0
Alvan	20	182	217023	742568	0
Alvapuram	31	75	188122	780771	0
Alvay	30	369	110531	792370	0
Alvegadde	15	248	139243	745846	0
Alveppilapatti	30	236	92096	776624	0
Alvikanathpaliyam	30	223	112152	779515	0
