Amli	7	225	202833	730167	33369
Amlai	19	610	231984	815806	30354
Amla	19	443	219249	781279	30215
Amlagora	35	650	228462	873356	19038
Amloh	27	624	306084	762320	14696
Amlabad	14	498	236870	863766	4636
Amla	19	325	217697	788192	0
Amla	19	30	215182	766497	0
Amla	33	316	295278	773609	0
Amla	20	132	208825	780156	0
Amla	20	34	189168	762895	0
Amla	20	67	204509	784153	0
Amla	20	141	207711	785031	0
Amla	19	311	227483	768867	0
Amla	19	443	219177	776979	0
Amla	19	443	217209	776939	0
Amla	20	132	210188	777285	0
Amla	20	110	204232	797816	0
Amla	20	616	197771	770529	0
Amla	20	182	218554	742174	0
Amla	28	23	247684	726973	0
Amla	19	303	230129	753284	0
Amla	19	334	238534	760987	0
Amla	19	648	231662	769390	0
Amla	19	648	230569	769855	0
Amla Akbarpur	33	553	295891	783914	0
Amla Chak	19	324	243653	769974	0
Amla Nankar	19	334	239244	761153	0
Amla Ramjipura	19	648	230629	769844	0
Amla Taj	19	311	228677	764165	0
Amlabagh	4	363	252919	845841	0
Amlabari Milik	35	587	259199	879068	0
Amlabata	25	349	192393	834297	0
Amlabe	19	16	240762	763110	0
Amlachatar	14	483	241682	867918	0
amlad	20	182	215650	742439	0
Amladahi	14	633	245469	877498	0
Amladahi	14	643	243499	875798	0
Amladih	14	633	245248	876793	0
Amlagachi	14	633	245492	877162	0
Amlaha	19	648	231200	769031	0
Amlaha	33	688	258412	819142	0
Amlaha Pura	33	688	260183	819784	0
Amlahat	19	512	249909	803706	0
Amlahat	19	512	249770	803539	0
Amlahra	33	31	266341	813304	0
Amlahru	12	270	317774	764246	0
Amlahwa	33	479	261648	831225	0
Amlahwa	33	314	263911	834615	0
Amlahwa	33	584	252161	817711	0
Amlai	29	85	272463	884558	0
Amlai	33	694	253918	832463	0
Amlai	33	479	261875	830676	0
Amlai	19	309	232904	767238	0
Amlai	35	347	243024	878036	0
Amlaiua Mukheri	33	661	274961	793754	0
Amlajhari	19	635	226624	761688	0
Amlajhari	19	635	226733	761895	0
Amlajori	14	483	242293	868064	0
Amlakheri	19	334	235970	761060	0
Amlakhi	3	391	259473	935097	0
Amlaki	11	-1	281880	768910	0
Amlal	19	129	221718	747049	0
Amlali	19	239	220570	747365	0
Amlan	19	153	220692	742179	0
Amlanabad	19	648	229574	770196	0
Amlang	25	546	215190	843375	0
Amlani	19	202	218047	765022	0
Amlao Khera	33	301	265374	807673	0
Amlaoda	28	321	244193	766088	0
Amlaor	19	16	236676	765094	0
Amlapani	19	648	227917	770934	0
Amlapara	25	527	203354	848484	0
Amlapur	20	138	192665	781539	0
Amlar	13	412	338896	750737	0
Amlar	19	16	235091	766861	0
Amlara	19	648	226705	773420	0
Amlara Kalan	19	568	223766	773402	0
Amlara Khurd	19	568	223777	773479	0
Amlaradongar	19	568	225880	774296	0
Amlarem	22	162	252872	921161	0
Amlari	28	23	247729	725475	0
Amlari	10	170	230943	741208	0
Amlarod	19	16	237321	765859	0
Amlataria	35	650	223167	873333	0
Amlatola	14	628	225431	859505	0
Amlau Khas	33	561	252621	824748	0
Amlauda	28	321	242381	764466	0
Amlauda	28	22	240454	740425	0
Amlauhra	33	444	254333	807661	0
Amlauli	33	685	270434	807553	0
Amlauna	33	451	275095	797093	0
Amlaur	33	561	252586	824219	0
Amlaur	33	488	275441	811967	0
Amlaura	33	31	270687	813351	0
Amlauti	33	584	253192	821568	0
Amlawati	19	311	230120	760666	0
Amlawati	19	309	234520	766055	0
Amlehda	19	322	265556	786916	0
Amlela	12	39	320759	760837	0
Amlepur	15	652	128851	759535	0
Amlera	19	459	267405	782423	0
Amlesa	34	589	297969	787025	0
Amlesa	14	541	230638	856763	0
Amlesar	6	275	212058	815788	0
Amleshwar	10	149	217360	728161	0
Amleti	19	547	231462	751750	0
Amli	28	302	258184	762959	0
Amli	28	298	256202	750243	0
Amli	28	23	248394	731245	0
Amli	20	182	216179	740293	0
Amli	28	339	253314	755795	0
Amli	33	417	255603	791889	0
Amli	19	635	227226	755190	0
Amli	11	664	304165	771576	0
Amli	28	357	250135	761637	0
Amli	28	298	251915	746879	0
Amli	28	298	254846	747040	0
Amli	28	22	247476	740738	0
Amli	28	487	248362	765587	0
Amli	28	487	249578	765963	0
Amli	20	185	210966	740324	0
Amli	13	690	326061	751688	0
Amli	12	270	317990	764472	0
Amli	19	335	230521	744854	0
Amli	25	-1	201381	823900	0
Amli	28	298	252944	743136	0
Amli	28	298	257569	750252	0
Amli	28	428	257557	751299	0
Amli	28	428	259415	752378	0
Amli	14	732	240480	855031	0
Amli	28	487	248575	764703	0
Amli ka Gura	28	550	252479	738147	0
Amli ka Khera	28	298	252843	743215	0
Amli Kheda	19	635	228569	759079	0
Amli Puwaran	28	298	251669	745555	0
amlia	10	124	233407	735415	0
Amlia	33	548	269321	796041	0
Amlia	28	22	242367	733507	0
Amlia	33	593	277473	788498	0
Amlia	33	451	277392	797999	0
Amlia	33	564	259202	835729	0
Amlia	19	313	246170	805654	0
Amlia	19	313	245219	807166	0
Amlia	33	685	269449	810366	0
Amlia	33	685	269160	810488	0
Amlia	33	152	268709	825471	0
Amlia	33	280	272336	831510	0
Amlia	33	584	253258	816259	0
Amlia	28	23	244929	724524	0
Amlia	6	725	228677	818120	0
Amlia	28	493	238923	735284	0
Amlia	28	163	233433	740912	0
Amlia	33	329	282527	795806	0
Amlia	19	324	242139	771880	0
Amlia Chak	33	645	264535	799808	0
Amlia Gulaur	33	623	270761	830357	0
Amlia Mahipat Singh	33	152	268850	826428	0
Amlia Manpur	33	488	273184	811713	0
Amlia Tilkapur	33	488	273227	811259	0
Amliamal	19	335	230042	744149	0
Amlian	27	284	317542	758870	0
Amliapani	19	239	220186	748967	0
Amliapani	19	239	219618	749208	0
Amlibahara	6	374	229165	823069	0
Amlibahra	6	285	209478	821247	0
Amlibhata	6	669	221201	824831	0
Amlibhata	6	669	221499	824642	0
Amlibhata	6	669	222408	826310	0
Amlibhauna	6	17	217254	832692	0
Amlibhona	6	374	225435	825071	0
Amlibhona	6	17	218899	833730	0
Amlidadar	25	572	209209	825466	0
Amlidand	33	688	258289	820874	0
Amlidhana	19	443	220381	776194	0
Amlidhodi	6	669	221277	825098	0
Amlidih	6	388	217806	829541	0
Amlidih	6	365	217208	820360	0
Amlidih	6	365	215439	820546	0
Amlidih	6	517	217800	810936	0
Amlidih	6	681	216755	812906	0
Amlidih	6	681	219298	815330	0
Amlidih	6	275	211687	815177	0
Amlidih	6	299	212234	816757	0
Amlidih	6	627	208347	815040	0
Amlidih	6	490	214865	809689	0
Amlidih	6	455	212909	809825	0
Amlidih	6	455	210935	808374	0
Amlidih	6	365	217080	824168	0
Amlidih	6	365	216788	825730	0
Amlidih	6	365	216860	826433	0
Amlidih	6	611	215701	829064	0
Amlidih	6	393	212855	824933	0
Amlidih	6	455	209992	808808	0
Amlidih	6	620	206446	807969	0
Amlidih	6	517	220397	812177	0
Amlidih	6	723	221638	816453	0
Amlidih	6	723	222003	815854	0
Amlidih	6	517	218792	813315	0
Amlidih	6	517	219803	814286	0
