Andippatti	30	189	99980	776210	27287
Andipalayam	30	227	110925	773123	25539
Andol	31	32	178146	780771	24645
Andada	10	149	216559	730215	16730
Andrott	18	746	108119	736741	11191
Andro	21	95	247485	940430	8744
And Khera	33	451	281299	798140	0
And Khera	34	617	290301	793202	0
Anda	6	275	210680	812817	0
Anda	33	686	266963	795625	0
Anda	33	710	259603	791844	0
Anda	33	575	261859	823807	0
Anda	33	152	267744	828522	0
Anda	6	723	219597	819757	0
Anda	6	388	219034	830486	0
Anda	4	581	255673	850035	0
Anda Para	33	522	271248	819907	0
Andabodi	20	138	192651	780593	0
Andabodi Tanda	20	138	192719	780504	0
Andad	19	317	219422	758250	0
Andag	14	673	239423	845016	0
Andaga	20	138	187867	770169	0
Andaga Tanda	20	138	187677	770095	0
Andagere	15	333	136261	752604	0
Andagudi	30	230	107075	796791	0
Andah	4	535	262465	861316	0
Andaha	33	656	283193	798892	0
Andaha	4	136	257537	857886	0
Andaha Purwa	19	638	250447	801565	0
Andahka	28	463	278065	768586	0
Andahr	19	576	231443	802994	0
Andai	19	449	227049	811227	0
Andaivettitangal	30	192	125224	795350	0
Andakhor	33	479	261781	832476	0
Andakkapalaiyam	30	154	110834	770596	0
Andakkottai	30	193	100392	789601	0
Andakkottai	30	254	102667	791326	0
Andakkudi	30	254	109521	793022	0
Andakkudi	30	193	100306	789655	0
Andakkudi	30	436	100387	788976	0
Andakkudi	30	5	95413	785484	0
Andakkudi	30	5	98776	789887	0
Andakkudi	30	436	98239	788014	0
Andakkudippatti	30	193	102362	787210	0
Andakkulam	30	193	105270	788944	0
Andakudi	30	436	99766	789817	0
Andakudiyan	30	254	109435	794316	0
Andakur	31	346	191264	780938	0
Andal	35	618	235801	871832	0
Andalamala	1	45	140232	801242	0
Andalampettai	30	254	109763	794545	0
Andalapalle	1	219	175981	829884	0
Andalgi	15	59	149135	749887	0
Andalgi	15	91	149093	751250	0
Andali	30	254	108498	790305	0
Andali	30	197	119663	792320	0
Andalur	16	256	117946	754779	0
Andalur	30	192	125726	792472	0
Andalur	30	192	121864	792231	0
Andalur	30	254	108984	794461	0
Andalvadi	20	78	211398	759448	0
Andamagru	15	55	128582	752961	0
Andaman	30	264	100331	781650	0
Andamangalam	30	254	109798	794728	0
Andamaru	30	215	125562	776331	0
Andami	30	254	105177	793998	0
Andampallam	30	192	120897	791676	0
Andana	27	571	298123	760372	0
Andanahalli	15	97	135465	759828	0
Andanakkurichchi	30	254	108862	791031	0
Andanallur	30	260	108743	785973	0
Andanambikurichchi	30	201	86903	778547	0
Andanappettai	30	230	107498	798226	0
Andanayapuram	30	5	94529	784494	0
Andanda	25	423	190236	843752	0
Andangarai	30	257	106287	796152	0
Andangudippatti	30	193	105316	787229	0
Andanigowdanpalya	15	92	129304	771147	0
Andanipura	15	188	125529	759624	0
Andankovil	30	257	108767	794160	0
Andankovil	30	427	109530	780382	0
Andankulam	30	186	84162	778000	0
Andanur	15	246	142256	760892	0
Andanur	30	193	105002	790606	0
Andaoli	33	278	268731	788474	0
Andaoli	33	278	268647	788649	0
Andapattu	30	192	122768	790849	0
Andapattu	30	192	124086	790734	0
Andapattu	30	192	121374	791097	0
Andapattuchekkadi	30	192	121099	788385	0
Andappattu	30	197	122577	797596	0
Andapuram	30	223	110641	782261	0
Andar	4	615	261024	842950	0
Andar	19	420	255448	780866	0
Andar	4	363	255736	844336	0
Andar Chouki	15	248	133190	750440	0
Andar Kila	4	687	256854	852003	0
Andar Mal	13	0	345772	742653	0
Andara	12	270	317792	763959	0
Andarahalli	30	109	121875	780811	0
Andarappatti	30	260	109644	784443	0
Andarasampatti	30	183	103954	778202	0
Andarasupuram	30	264	98950	781584	0
Andarayanur	30	197	118947	793154	0
Andarbug	13	0	344496	744527	0
Andarendal	30	436	98067	786791	0
Andargam	13	289	342049	745265	0
Andarhem	13	0	345008	742887	0
Andari	28	22	244015	736795	0
Andari	4	112	245178	841278	0
Andari	4	687	257793	852454	0
Andari	4	581	254168	851941	0
Andariganj	33	656	284572	798081	0
Andariguda	25	273	199237	832763	0
Andarippatti	30	215	123481	784707	0
Andarkhet	28	493	238650	736876	0
Andarkottaram	30	264	99070	781812	0
Andarkulam	30	236	91616	774557	0
Andarkulam	30	236	90533	774842	0
Andarkuppam	30	220	133062	801565	0
Andarkuppam	30	220	134225	802362	0
Andarkuppam	30	238	122835	798730	0
Andarla Damtal	12	39	322380	756619	0
Andarlahalli	15	422	134333	777748	0
Andarli Malan	12	39	320739	768692	0
Andarmadam	1	-1	133943	802972	0
Andarnal Baihk	13	0	345172	743606	0
Andarnal Baihk	13	0	345674	744106	0
Andarola	13	485	332646	743022	0
Andarpandi	30	257	109431	796040	0
Andarpur	4	590	259404	876755	0
Andarson	34	589	298022	788421	0
Andarsul	20	54	200121	745732	0
Andarvara	1	258	181541	825814	0
Andarwan	13	573	343083	748143	0
Andarwara	34	351	305040	791557	0
Andarwari	12	39	318398	763782	0
Andasura	15	333	140587	752365	0
Andathode	16	232	106789	759682	0
Andauli	33	644	275935	782823	0
Andauli	33	698	258799	808142	0
Andauli	4	363	256070	844656	0
Andauli	4	663	250864	859061	0
Andauli	33	444	255379	808142	0
Andauli	4	569	260846	862105	0
Andauli	4	636	258376	866439	0
Andauli	33	488	273811	806320	0
Andauli	4	535	265075	858116	0
Andauli	4	410	260878	866375	0
Andaur	4	394	252084	838836	0
Andaur	33	516	258211	839915	0
Andaur	4	394	252527	840072	0
Andaur	33	516	258307	842533	0
Andaur	4	136	255981	856873	0
Andaura	12	39	321370	756904	0
Andauwan Ka Nagla	28	113	269462	773135	0
Andavakkam	30	238	125725	798665	0
Andavalli	15	333	143627	749513	0
Andavani	15	97	133262	755035	0
Andavarayansamudrai	30	193	102774	789906	0
Andavarayapuram	30	193	103515	791052	0
Andavarkovil	30	260	106248	784349	0
Andavayal	30	220	134030	801809	0
Andawa	33	278	265700	792047	0
Andawa	33	659	276560	800492	0
Andawan	33	626	256274	814033	0
Andawari	20	616	197135	773665	0
Andayapuram	30	230	106113	798060	0
Andazhi	16	253	108597	766956	0
Andbailu	15	333	136960	751668	0
Andbarwa	14	673	241117	841292	0
Andbori	20	138	195002	782712	0
Andebail	15	59	147279	750030	0
Andegaon	20	138	184601	774482	0
Andegaonwadi	20	138	184537	774462	0
Andela	33	370	245693	785455	0
Andela	19	338	242761	785000	0
Andelapalli	31	90	188109	798289	0
Andele	15	652	131246	759513	0
Andeli	19	208	242005	781373	0
Andeli	31	160	193278	795178	0
Andeora	33	152	270060	827777	0
Andeori	33	152	270124	827789	0
Andeparadi	30	192	124518	794222	0
Anderikottai	30	109	120985	782286	0
Andeshnagar	33	488	276811	809452	0
Andeshwar	28	163	232894	743680	0
Andevanapalli	30	215	124620	777623	0
Andewadi	20	131	173741	763169	0
Andewadi Budrukh	20	131	173705	760687	0
Andewadi Khurd	20	131	173752	760632	0
Andgi	15	59	146121	750126	0
Andgoli	15	333	139745	749995	0
Andgollapalli	31	386	179056	782743	0
Andgudem	31	271	194859	783350	0
Andhai	33	710	262386	791910	0
Andhaki	11	524	278891	772359	0
Andhalgaon	20	390	213604	796184	0
Andhali	11	614	298787	762484	0
Andhana	4	495	252574	854548	0
Andhanan	33	488	273291	809154	0
Andhaner	20	112	202734	751014	0
Andhapendha	20	169	209613	771427	0
Andhapuri	20	151	191300	763327	0
Andhar Bar	4	520	260805	849022	0
Andhar Purwa	33	282	273868	816658	0
Andhar Purwa	33	269	276767	821046	0
Andhara Chak	33	282	276060	815807	0
Andhara Purwa	33	282	275030	816351	0
Andhardadi	25	527	203418	844897	0
Andharela	19	208	242500	775958	0
Andhari	20	112	202662	754896	0
Andhari	19	30	214323	764272	0
Andhari	10	133	241476	726779	0
Andhari	19	461	228415	804812	0
Andhari	20	78	204144	748647	0
Andhari	4	363	252171	845123	0
Andhari	20	112	205055	757610	0
Andhari	14	276	221494	859069	0
Andhari	25	399	211979	850018	0
Andhari	25	399	212685	852737	0
Andhari	25	277	211606	853817	0
Andhari	14	434	240963	860786	0
Andhari	25	546	211933	841363	0
Andhari	25	683	213970	846042	0
Andhari Pandoravali	10	140	233123	738100	0
Andhari Vagadiu	10	140	232998	738398	0
Andharia	33	174	276322	778168	0
Andharia	19	202	218310	766044	0
Andharibanji	25	297	210380	836745	0
Andharibari	33	539	268164	840362	0
Andharikhaman	25	281	217442	854283	0
Andharikhaman	25	281	218546	855965	0
Andharipali	25	478	213474	838735	0
Andharipali	25	546	218233	844151	0
Andharipur	33	688	258935	814143	0
Andhariya	19	443	218907	780953	0
Andharjhari	25	368	217958	859491	0
Andharkanch	10	-1	222298	740808	0
Andharkhani	25	527	203167	849680	0
Andharkoat	25	527	203732	848329	0
Andharkoat	25	527	203375	848572	0
Andharkola	14	434	241157	859353	0
Andharkola	4	505	244597	864057	0
Andharkolwa	14	434	244337	859236	0
Andharkotha	35	508	240459	886956	0
Andharmanik	35	4	223675	883575	0
Andharpur	35	347	240003	875343	0
Andharpurwa	33	595	275858	819472	0
Andharu	14	732	239521	854566	0
Andharvadi	10	124	233498	735539	0
Andharwadi	20	67	198731	785390	0
Andharwar	19	313	247568	809914	0
Andharwara	4	687	256756	853140	0
Andharwari	20	616	197465	771400	0
Andharwari	19	202	223445	765990	0
Andhasur	4	491	261376	877223	0
Andhatoli	14	476	226154	844392	0
Andhatoli	14	476	224584	849383	0
Andhaua	33	548	270778	796778	0
Andhaun	33	27	256168	835748	0
Andhaura	33	27	257316	838024	0
Andhauri	33	479	260109	830821	0
Andhaus	33	523	280711	777585	0
Andhavaram	1	453	184778	839559	0
Andhavaram	1	453	183292	839711	0
Andhawan	33	626	254288	812768	0
Andhawera	6	676	202015	808078	0
Andhbori	20	67	204296	783938	0
Andheli	33	613	284543	776521	0
Andher	20	49	201544	762485	0
Andher	28	339	253244	756370	0
Andher	33	370	248131	784322	0
Andhera	11	439	296241	770958	0
Andhera	33	27	255411	836028	0
Andhera	33	659	272216	801033	0
Andhera Chauki	4	581	254690	848981	0
Andheraro	33	116	280049	793930	0
Andherbaori	19	443	213996	777532	0
Andheri	20	200	191309	728526	0
Andheri	12	514	305553	771842	0
Andheri	11	664	303896	771261	0
Andheri	12	514	307139	774622	0
Andheri	27	571	302691	758141	0
Andheri	27	608	308303	766374	0
Andheri Chak	33	282	274727	816927	0
Andheri East	20	200	191145	728712	0
Andheri Jot	33	522	273794	820270	0
Andheri Nehti	12	514	307027	772828	0
Andheritola	14	712	244645	834600	0
Andheriwadi	20	53	201110	759811	0
Andheru	12	39	322417	759359	0
Andherwa	33	532	263732	825282	0
Andhgarh	11	439	299196	770476	0
Andhi	33	584	251766	821769	0
Andhi Bigha	4	112	250857	846568	0
Andhi Dehi	33	451	276812	793985	0
Andhi Khera	33	654	261962	808792	0
Andhia	33	496	269856	835327	0
Andhiari	33	370	248059	783489	0
Andhiari	28	599	268223	781599	0
Andhiari	19	322	259557	788762	0
Andhiari	19	326	233205	781946	0
