Anini	2	411	287979	959023	2384
Ani	12	653	314328	774185	0
Ani	28	120	271269	759603	0
Ani	14	541	233245	852784	0
Ania	33	682	275027	782857	0
Aniai	4	520	259137	850674	0
Anial	27	665	322873	753794	0
Aniala	28	115	263207	764161	0
Aniali	10	171	221500	711833	0
Anian	27	624	306081	762551	0
Aniar Piprahia	33	152	269324	826056	0
Aniari	33	492	289251	786502	0
Aniari	33	31	266135	815629	0
Anibagiri	31	448	162866	785779	0
Anibahadur ka Pura	19	459	264693	778473	0
Anibaijal	33	637	261701	817061	0
Anibas	33	613	283693	782133	0
Anibhoj	33	548	271524	797043	0
Anichankuppam	30	197	120599	798807	0
Anicut	31	75	185720	781194	0
Anicut	1	219	179043	828117	0
Anicut	30	220	132611	802519	0
Anicut	15	91	147224	750620	0
Anicut	30	118	96096	776678	0
Anidih	14	416	231821	853354	0
Anidih	14	416	230333	853764	0
Anidih	14	276	228114	853208	0
Anigalale	15	652	128956	758817	0
Anigalli	15	69	121798	771034	0
Anigamuttampatti	30	183	104951	779499	0
Aniganahalli	15	97	133097	755885	0
Aniganattam	30	204	116469	774097	0
Anigandlapadu	1	103	168914	802867	0
Aniganhalli	15	652	129030	759794	0
Aniganivandlapalle	1	190	137287	784438	0
Anigara	14	416	230337	852987	0
Anigarhi	33	644	275072	780427	0
Anigatta	15	375	132782	776892	0
Anigere	15	603	126606	771295	0
Anigeru	1	258	174798	820451	0
Anigol	15	77	157901	748757	0
Anihar	27	355	311472	758487	0
Anihatti	30	114	113407	766922	0
Anihola	15	69	120372	775827	0
Anije	16	294	124708	750380	0
Anijigeri	15	352	145879	760848	0
Anijigi	15	71	168494	766361	0
Anikalmund	30	114	114097	766300	0
Anikapur	33	479	258133	829456	0
Anikarhalli	30	-1	128140	779989	0
Anikat	20	132	210728	771678	0
Anikepalle	1	195	151529	792830	0
Anikepalli	1	6	143324	799969	0
Anikeri	15	-1	129182	783662	0
Anikhera	33	445	273882	791096	0
Anikkadavu	30	227	107299	771791	0
Anikkani	30	436	97964	787934	0
Anikkaranchattram	30	198	113298	797155	0
Anikki	30	5	98669	789158	0
Anikkini	30	193	101452	789174	0
Anikkod	16	253	107733	765796	0
Anikkudittan	30	369	112891	794000	0
Anikkurichchi	30	369	110935	792600	0
Anikorai	30	114	114585	767327	0
Anikurundan	30	5	93552	786178	0
Anil Sheola	12	604	308750	771716	0
Anila	15	55	127880	755756	0
Aniladi	30	197	121570	794895	0
Animala	1	221	144717	785055	0
Animath	34	179	305322	795245	0
Animavali	30	436	98968	785295	0
Animiganipalli	1	207	127228	783504	0
Animittanhalli	15	47	129445	780874	0
Animur	30	223	113319	778728	0
Aninda	28	22	245284	740123	0
Anipinakatte	15	352	152199	763443	0
Anipur	33	619	253497	810991	0
Anipur	33	685	270259	806333	0
Anirauli Dan	33	539	266216	843709	0
Anirudpur	33	496	271549	831746	0
Anison	33	686	267602	796487	0
Anivala	15	246	138257	761695	0
Anivala	15	92	133630	763939	0
Anivalu	15	74	125082	761207	0
Aniwas	13	485	332571	740491	0
Aniyagal	30	192	126340	792407	0
Aniyala	28	115	259188	766855	0
Aniyalai	30	192	124338	791592	0
Aniyamangalam	30	257	108923	793568	0
Aniyampatti	30	436	101563	784390	0
Aniyaparanallur	30	201	86922	779499	0
Aniyappur	30	183	107011	781315	0
Aniyappur	30	260	106643	783297	0
Aniyapuram	30	223	111423	781501	0
Aniyapurampudur	30	223	111394	781648	0
Aniyaram	16	256	117409	755793	0
Aniyarkulandaipalaiyam	30	223	112724	780588	0
Aniyatola	6	490	214872	808719	0
Aniyavayal	30	436	98070	786804	0
Aniyavayal	30	436	97283	787020	0
Aniyeri	30	180	124613	784434	0
Aniyur	15	55	130158	754441	0
Aniyur	16	211	85690	769061	0
