Anupgarh	28	360	291911	732086	33309
Anuppanadi	30	264	99040	781433	26158
Anupshahr	33	613	283575	782691	25306
Anuppur	19	217	231034	816908	19899
Anuppankulam	30	118	94194	778430	13526
Anu	12	460	312590	773614	0
Anu	12	460	311854	773621	0
Anu	12	460	311171	774807	0
Anu	12	460	313985	777374	0
Anu	12	460	312127	777340	0
Anu	19	502	238495	795357	0
Anu	12	460	309462	775581	0
Anu	34	430	308621	778182	0
Anu Basa	12	460	311028	777722	0
Anua	33	531	284800	790381	0
Anua Basa	12	460	314014	777355	0
Anuan	33	584	254981	822770	0
Anuan	33	584	255072	822711	0
Anuan	4	734	251452	847436	0
Anuddapur	33	686	268324	793647	0
Anudi	15	422	136288	774107	0
Anugahalli	15	74	122562	765400	0
Anugalpur	15	375	132914	774960	0
Anuganalu	15	652	130757	760276	0
Anugapaturu	1	453	182052	837160	0
Anugatta	15	652	130787	758024	0
Anugavalli	15	652	131119	761934	0
Anugonda	31	272	163594	776094	0
Anugonda	1	228	156721	779023	0
Anuhi	12	39	322081	760420	0
Anukkanattam	30	260	105806	783184	0
Anukkanendal	30	436	99682	788469	0
Anukkur	30	255	113327	788644	0
Anukodi	30	215	124189	783178	0
Anukodi	30	215	124232	783127	0
Anukulapalem	1	258	175505	820239	0
Anuli	34	413	295058	797342	0
Anumalagudem	31	241	168753	798567	0
Anumalgudem	1	25	168551	812581	0
Anumalkuduru	1	68	164847	806636	0
Anumampalle	1	99	143286	769543	0
Anumanali	15	74	123676	768683	0
Anumanandal	30	376	115807	789368	0
Anumanapalle	1	195	154892	789685	0
Anumanavid	1	195	154583	789953	0
Anumandai	30	197	120914	798964	0
Anumandai	30	197	121318	799109	0
Anumandakuppam	30	238	125401	798927	0
Anumanendal	30	436	97640	788278	0
Anumaneri	30	5	93547	786994	0
Anumanerimelappatti	30	5	93540	786927	0
Anumantandalam	30	159	126594	796950	0
Anumantapuram	30	197	120508	793799	0
Anumapalem	1	45	137191	796779	0
Anumari	1	259	174420	823085	0
Anumarlapudi	1	308	162829	805994	0
Anumayapalle	1	195	153373	791005	0
Anumoluvaripalem	1	212	156883	801051	0
Anumpalle	1	99	149957	775136	0
Anumula	31	100	167837	793021	0
Anumulaguduvaripalli	1	190	142032	791919	0
Anumulavaripalli	1	190	141632	793950	0
Anumullanka	1	103	169755	805438	0
Anumurupalem	1	308	162588	807855	0
Anun	12	604	308738	771650	0
Anun	12	604	308539	769751	0
Anunahalli	15	93	126118	766891	0
Anup Dhiangarh	27	542	300593	748658	0
Anup Khera	33	685	267197	809095	0
Anup Khera	33	685	267061	810816	0
Anup Pura	33	152	270295	826180	0
Anupahalli	15	375	132149	778562	0
Anupakhandrika	1	207	130655	791426	0
Anupakhor	33	152	266758	828688	0
Anupalle	1	190	133753	783791	0
Anupallipadu	1	6	142942	799176	0
Anupambattu	30	220	133052	802297	0
Anupanhalli	15	92	134042	772183	0
Anupankatte	15	333	139345	755294	0
Anupatti	30	227	109570	772387	0
Anupdanga	14	633	244979	877879	0
Anupganj	33	31	269940	813747	0
Anupganj	33	522	271806	817233	0
Anupgarh	11	353	292559	763520	0
Anupgarh	19	303	235004	761203	0
Anupia	33	523	276506	779250	0
Anupnagar	33	672	289887	776768	0
Anupnagar	33	553	295699	784902	0
Anupnagar	34	617	292491	788663	0
Anupnagar	35	397	253273	879944	0
Anupnagar	35	452	246889	879585	0
Anuppalli	1	207	131587	790991	0
Anuppampattu	30	220	133018	802258	0
Anuppapalaiyam	30	227	111462	773188	0
Anuppapatti	30	227	107227	777335	0
Anuppapatti	30	183	104729	776591	0
Anuppapatti	30	189	99671	776374	0
Anuppappatti	30	183	102781	780413	0
Anupparpalaiyam	30	204	114588	772757	0
Anupparpalaiyam	30	154	106702	770727	0
Anupparpatti	30	201	89564	776938	0
Anuppuppalaiyam	30	227	107568	777583	0
Anuppur	33	445	270749	792575	0
Anuppur	19	208	241707	775896	0
Anuppur	33	450	268387	799942	0
Anuppur	33	445	270456	790319	0
Anuppur	33	445	270557	791530	0
Anuppur	33	496	271908	832279	0
Anuppur	30	51	117239	783317	0
Anuppur Baghia	33	532	264030	830549	0
Anuppura	28	339	252985	755218	0
Anupsar	27	665	322545	755020	0
Anupshahr	28	467	289575	752126	0
Anupulavaripalli	1	45	134483	791473	0
Anupur	33	575	263187	823749	0
Anupur	30	215	125409	778553	0
Anupura	19	335	230061	744719	0
Anupuru	1	224	154063	783755	0
Anupuvaripalle	1	207	133266	787167	0
Anur	12	39	320596	760072	0
Anur	15	91	146011	754685	0
Anur	15	422	133781	778722	0
Anur	15	422	133440	781115	0
Anur	30	238	125769	799742	0
Anur	30	254	110497	793931	0
Anurabad	20	49	209177	762378	0
Anurpalya	15	603	131295	771426	0
Anurpet	30	158	131411	796117	0
Anuru	1	259	170589	820449	0
Anuru	1	259	172817	825216	0
Anuruddhpura	19	322	266855	787251	0
Anurudhpur Chak	33	196	252275	825073	0
Anurudhpur Pachhimpatti	33	196	252228	825075	0
Anurudhpur Purabpatti	33	196	252192	825137	0
Anurudhusingh ka Pura	19	459	266425	783191	0
Anurudpur	33	654	261180	813144	0
Anurupgarh	25	572	205433	827030	0
Anusa	33	515	264519	835057	0
Anusar	33	33	260008	824581	0
Anusunai	30	215	125724	778976	0
Anuvanakatte	15	93	126642	765008	0
Anuvanhalli	15	97	138005	760289	0
Anuwa	4	363	252766	845972	0
Anuwan	4	363	253247	843200	0
