Ar Dih	33	575	262212	820332	0
Arda	13	559	328814	749863	0
Arda	20	53	196083	763893	0
Arda	10	126	214741	741007	0
Arda	33	152	270405	827667	0
Arda	12	348	323087	765772	0
Arda	25	478	211340	834210	0
Arda	25	546	213387	839447	0
Arda	25	290	219076	841019	0
Ardabahal	25	546	218290	843700	0
Ardabahal	25	683	216374	846126	0
Ardai	2	418	284539	955039	0
Ardak	15	97	135476	754259	0
Ardala Khurd	19	202	216551	761286	0
Ardala Theka	19	202	216505	761373	0
Ardalan	19	317	217132	759508	0
Ardalan Kalan	19	202	217042	764041	0
Ardamala	1	45	137859	798296	0
Ardana	4	590	260983	878237	0
Ardanaripalaiyam	30	227	109806	775756	0
Ardapal	25	362	210711	857395	0
Ardapal	25	546	215459	843348	0
Ardapuram	1	258	179638	827504	0
Ardara	25	305	190920	830161	0
Ardarappatti	30	260	109470	785106	0
Ardarnarlpalalyam	30	227	112907	774465	0
Ardatolaji	20	53	197293	763260	0
Ardauna	33	564	259171	836719	0
Ardavidu	1	195	156769	789607	0
Ardawa	20	49	199960	766119	0
Ardawata	28	288	281870	756319	0
Ardawata ki Dhani	28	288	281853	756260	0
Ardeli	6	634	198565	817886	0
Arderam	31	346	191659	782484	0
Ardeshahalli	15	375	132222	775649	0
Ardevalasa	1	176	182839	835923	0
Ardhanaripalaiyam	30	154	107017	769809	0
Ardhanaripalaiyam	30	204	111698	776037	0
Ardhanaripalaiyam	30	223	111886	779997	0
Ardhanaripalaiyam	30	154	105370	770572	0
Ardhannapalem	1	176	179176	831992	0
Ardhapur	20	138	192825	773725	0
Ardhe	14	678	236979	847712	0
Ardhi	12	39	321640	764704	0
Ardhial	12	39	321266	758168	0
Ardhpur	33	33	258044	825917	0
Ardi	10	155	227180	730370	0
Ardi	20	78	210460	749567	0
Ardifond	9	101	149964	740932	0
Ardirai	31	160	194107	793601	0
Arditara	20	182	214109	740579	0
Arduka	28	113	276310	770261	0
Ardunamau	33	685	268082	810040	0
Ardusa	19	323	258182	765454	0
Ardwan	20	67	198282	787942	0
