Arni	30	192	126677	792853	63671
Arn	12	267	317753	769586	0
Arna	28	23	245693	727522	0
Arna	4	520	258784	849106	0
Arna	4	520	258901	849385	0
Arna	28	120	272413	759790	0
Arna	4	520	261663	847722	0
Arnada	19	303	232087	754886	0
Arnada	1	194	187840	836172	0
Arnadi	20	132	213849	774306	0
Arnahwa	33	496	272002	835707	0
Arnahwan	33	269	276195	820747	0
Arnahwan Khurd	33	269	276177	820735	0
Arnaich	33	525	295583	775460	0
Arnakonda	31	557	185989	791192	0
Arnakonda	1	-1	186145	791644	0
Arnala	10	251	204167	730833	0
Arnalapada	20	187	194500	727500	0
Arnali	28	428	258096	740569	0
Arnalod	16	232	106844	764072	0
Arnama	4	632	258570	868577	0
Arnamala	25	108	181111	818720	0
Arnameta	19	142	222115	801204	0
Arnapalam	16	148	113850	762937	0
Arnapur	33	548	270560	795038	0
Arnas	13	640	331850	748228	0
Arnaud	28	609	238822	748113	0
Arnaula	33	479	259989	827290	0
Arnauli	11	614	301728	764138	0
Arnauli	11	88	302248	772898	0
Arnauli	27	704	308191	764874	0
Arnawa	33	282	277035	813162	0
Arnawan Bank	4	505	248045	861295	0
Arnawli	33	672	290230	776062	0
Arnbajhar	19	311	226670	762510	0
Arnbel	12	315	317795	761469	0
Arnetha	28	339	253795	759945	0
Arnetu	11	614	299567	762009	0
Arni	20	67	200621	779517	0
Arni	12	604	308308	770528	0
Arni	33	523	278634	778263	0
Arni	20	48	180748	762913	0
Arni	33	280	271531	826392	0
Arni	13	477	324983	755225	0
Arni	13	477	324889	755677	0
Arni	20	185	209289	748460	0
Arni	12	348	324376	763790	0
Arni	19	334	235982	760834	0
Arni	28	402	250689	743071	0
Arni	30	192	124515	790441	0
Arni ka Khera	28	402	250792	743237	0
Arni Khana	33	312	279064	807911	0
Arnia	28	115	264709	766573	0
Arnia	19	324	241969	770902	0
Arnia	28	298	258747	747893	0
Arnia	19	311	231250	763969	0
Arnia	19	16	239419	769194	0
Arnia	28	550	252289	740223	0
Arnia	28	298	251337	743296	0
Arnia	19	311	229884	762706	0
Arnia Khurd	33	613	281347	779186	0
Arnia Mansurpur	33	613	282143	778358	0
Arniala	27	284	316257	759505	0
Arniala Shahpur	27	284	316119	759412	0
Arnian Talesra	33	644	277010	784252	0
Arniaon	14	454	243937	855145	0
Arniatalai	19	334	236481	760382	0
Arnippatti	30	193	104999	788755	0
Arnivada	10	133	243315	724297	0
Arniwala	27	3	303472	742578	0
Arniwala Wazira	27	592	300676	744687	0
Arniwali	11	563	294415	750461	0
Arniya	19	635	228546	756756	0
Arniya	28	302	264249	761265	0
Arniya	28	321	244153	764861	0
Arniya	19	334	236887	761320	0
Arniya	19	16	237105	765315	0
Arniya	28	298	253014	742268	0
Arniya	4	687	257150	855448	0
Arniya Daud	19	648	229478	767885	0
Arniya Johri	19	648	229133	767965	0
Arniya Kalan	28	679	266430	762977	0
Arniya Khurd	28	679	266638	763161	0
Arniya Ram	19	648	229401	767877	0
Arniyan	19	16	241614	764234	0
Arniyan	33	523	278038	779451	0
Arnoda	28	402	247001	747547	0
Arnodi	12	267	317693	768659	0
Arnoli	27	543	302363	765502	0
Arnon	27	543	298585	762195	0
Arnora	13	358	331502	755826	0
Arnot	19	208	240006	779730	0
Arnot	12	460	308586	777051	0
Arnota	33	526	269571	783695	0
Arnota	28	298	253040	741626	0
Arnoth	33	644	277233	783483	0
Arnra	28	428	259927	750271	0
Arnua	13	477	325386	753364	0
Arnya	28	487	249707	766454	0
Arnya	28	357	249798	764009	0
Arnya	19	635	228481	756851	0
Arnya Gazi	19	648	230398	765631	0
Arnya Kalan	28	357	245877	760611	0
Arnya Khurd	28	357	246324	760212	0
Arnyakhera	28	487	247944	765649	0
