Arrah	4	363	255563	846633	261430
Arra	33	450	264014	803008	0
Arra	33	575	261788	820953	0
Arra	4	636	257820	866839	0
Arra	14	541	234913	851401	0
Arra	14	732	239664	852494	0
Arradul	25	349	190720	839412	0
Arrah	33	661	273396	792557	0
Arrah Paharpur	33	661	274064	795480	0
Arraha	4	535	266038	861926	0
Arraha	4	632	259290	866969	0
Arraha	4	632	259597	867352	0
Arraha	4	636	258663	866934	0
Arraha	4	632	258918	868371	0
Arraha	4	641	262253	871877	0
Arraha	4	641	261990	872056	0
Arraha Madarganj	4	641	261999	873128	0
Arrahat	19	459	262249	776628	0
Arrahi	4	136	257966	861730	0
Arrana	33	523	279325	778865	0
Arrand	28	487	249333	766105	0
Arrapalli	31	61	181143	795010	0
Arrapalli	31	61	180274	796193	0
Arrara	12	267	317087	769579	0
Arratoli	14	310	233455	845198	0
Arrekandige	15	248	133520	749209	0
Arri	4	112	249806	844626	0
Arria	4	535	263027	863536	0
Arroda	28	429	266225	773359	0
Arroh	12	315	317535	761600	0
Arron	19	459	266852	784546	0
Arron	19	395	245867	780897	0
Arron	33	688	259227	815015	0
Arru	14	740	233715	846329	0
Arrua	33	548	272011	794342	0
Arrua	33	174	276225	777814	0
Arruwa Kalan	14	673	245378	842880	0
Arruwa Khurd	14	673	245411	842807	0
