Asra	20	132	208716	775041	0
Asra	33	724	287965	778360	0
Asra	6	642	208701	810454	0
Asra	6	455	210128	807419	0
Asra Kheri	33	431	299057	773153	0
Asrabeoratoli	14	310	229183	844833	0
Asrafnagar	33	553	290821	785461	0
Asrafpur Dudhli	33	553	295155	782994	0
Asrahi	33	688	259028	816650	0
Asrakhera	33	553	291310	785773	0
Asramam	30	435	81582	774594	0
Asrampur	33	280	271869	831574	0
Asranda	4	590	259895	876597	0
Asrang	12	83	316665	783199	0
Asranwan	11	327	292762	756015	0
Asrapur	19	461	227454	802940	0
Asrar	19	313	244066	809913	0
Asrar	19	313	244042	809809	0
Asrar	19	313	243967	809883	0
Asrar	19	313	243883	809864	0
Asrarhi	4	718	251046	836560	0
Asrasar	28	296	288860	737807	0
Asrasi	33	116	279396	790804	0
Asratoli	14	541	232421	849219	0
Asraul	33	605	266997	817318	0
Asrauli	33	682	275745	786469	0
Asrauli	33	389	269749	785433	0
Asrauli	33	31	271317	811922	0
Asrauli	33	613	282421	780555	0
Asrauli Sarai	33	31	267788	813438	0
Asraulia	4	718	250931	837785	0
Asraura	33	282	275926	816846	0
Asravad Buzurg	19	635	227000	759788	0
Asravad Khurd	19	635	226289	759003	0
Asrawal Kalan	33	584	253792	817312	0
Asrawal Khurd	33	584	253601	817195	0
Asre Dih	33	522	272980	821659	0
Asre Jot	33	269	274542	823310	0
Asre Khera	33	301	264661	808959	0
Asrehna	33	31	269889	811762	0
Asrekha	33	488	273883	806817	0
Asrenda	33	301	265166	809933	0
Asrepur	33	488	274254	809798	0
Asrer	33	522	271155	817300	0
Asrewa	33	605	265187	820970	0
Asri	14	541	233599	856710	0
Asriganj	33	31	268215	814529	0
Asripur	33	575	262637	819048	0
Asrna	34	351	305278	791770	0
Asro	14	310	230633	842667	0
Asro	14	310	230922	847194	0
Asro	14	541	232531	849192	0
Asroga	33	575	262991	819500	0
Asroi	33	523	276079	779809	0
Asroi	33	445	270063	788706	0
Asron	28	429	269138	768013	0
Asron	33	575	261080	820520	0
Asrubahal	25	399	209647	848027	0
Asrupur	33	33	258196	822563	0
Asrutoli	14	310	234113	844353	0
