Ati	27	355	310872	758104	0
Ati	34	413	295567	799370	0
Atia	33	645	266297	799471	0
Atia	33	548	271161	795509	0
Atia	33	686	266803	796503	0
Atia	19	512	250458	803919	0
Atia	33	444	251825	804968	0
Atia	33	31	269491	814332	0
Atia	14	732	240254	853282	0
Atia	33	278	268769	793364	0
Atia Raipur	33	645	266254	798566	0
Atiapara	14	633	244560	877661	0
Atiavaripalle	1	190	141191	789567	0
Atiawan	4	507	252066	851506	0
Aticchalati	16	233	116691	761682	0
Aticchalati	16	233	116630	763076	0
Atidenavaripalle	1	221	144801	786798	0
Atiganwan	33	27	257148	833550	0
Atigoba	25	373	203998	842195	0
Atika	33	451	276893	793654	0
Atikaram	30	436	100927	786413	0
Atikaribettu	15	55	131039	748079	0
Atikavanipalem	1	259	174298	825377	0
Atikheta	14	678	237770	843343	0
Atikullahpur	33	445	270103	788758	0
Atila Buzurg	33	522	269514	823713	0
Atila Khurd	33	522	269547	823649	0
Atim Purwa	33	31	266583	812050	0
Atimarad	15	188	125833	756868	0
Atimi	4	394	250768	843632	0
Atimiganj	4	394	250600	843621	0
Ating	17	8	335796	767352	0
Atipur	33	431	296775	773947	0
Atipur	33	389	272735	783617	0
Atisa	33	314	264676	832218	0
Atit	20	64	175299	740680	0
Atit Thana	33	479	261219	829085	0
Atithan	33	27	256264	831372	0
Atitmand	28	428	260285	743277	0
Ativatta	15	375	130865	778522	0
Ativiriyampatti	30	215	122947	784692	0
Atiya	4	117	246336	849991	0
Atiyadam	26	-1	120414	752825	0
Atiyal	15	59	144351	746315	0
Atiyari	14	712	241769	835276	0
