Aya Nagar	8	745	284720	771327	33123
Ayakudi	30	183	104499	775520	27156
Ayancheri	16	252	116261	756743	26293
Ayanavelikulangara Vadakku	16	528	90430	765230	24268
Ayakod	30	435	83457	772987	8874
Ayabatpalli	31	61	182454	796624	0
Ayadnagar Shumali	33	724	286612	778453	0
Ayagarpalli	31	160	192437	794684	0
Ayah	33	698	258392	806996	0
Ayah	33	522	272925	820737	0
Ayai	33	561	254371	825316	0
Ayajpur	15	50	161417	774514	0
Ayakalattur	30	159	129909	799339	0
Ayakkad	16	253	106091	764745	0
Ayakkarambalam	30	230	103739	797467	0
Ayakkarambalam	30	230	104030	797333	0
Ayakkarambalam	30	230	104092	797618	0
Ayakkarambalam	30	230	103868	797618	0
Ayakkurusshi	16	253	107320	764960	0
Ayakkuttaipalaiyam	30	223	112981	780322	0
Ayakulam	30	184	130125	790517	0
Ayal	30	158	130462	794617	0
Ayalampedu	30	158	131276	794773	0
Ayalapalem	1	195	156760	798031	0
Ayalapur	31	229	184304	802227	0
Ayalapuram	31	218	184506	802513	0
Ayalcheri	30	220	132234	801046	0
Ayali Kalan	27	647	308941	757597	0
Ayali Khurd	27	647	309184	757721	0
Ayalki	11	425	295687	754939	0
Ayalpatti	30	223	115424	783482	0
Ayalur	30	220	131615	799834	0
Ayalur	30	204	114062	774018	0
Ayalurivaripalle	1	195	151528	791741	0
Ayaluru	1	224	154436	785211	0
Ayam	16	173	100009	767049	0
Ayamachcheri	30	159	128706	798602	0
Ayambadi	30	192	120173	788342	0
Ayambare	16	294	124277	750926	0
Ayan	35	268	227264	881419	0
Ayan	12	460	310132	771689	0
Ayana	28	357	254446	764405	0
Ayana	33	686	264606	793454	0
Ayanada	1	81	180454	833957	0
Ayanallurkandigai	30	220	134117	801805	0
Ayanambakkam	1	207	133191	796513	0
Ayanampalaiyam	30	197	119629	794821	0
Ayanavaram	30	199	130961	802350	0
Ayanavedu	1	207	131920	791871	0
Ayanavelikulangara Kesavapuram	16	528	90357	765366	0
Ayanavelikulangara Tekku	16	528	90384	765277	0
Ayanayakkanur	30	204	114375	775932	0
Ayandur	30	197	119677	793403	0
Ayaneri	30	186	85723	776838	0
Ayangudi	30	193	102384	788194	0
Ayangudi	30	175	112173	795383	0
Ayangudippatti	30	193	105285	787068	0
Ayani	28	357	254250	763960	0
Ayanikattukonam	16	211	88240	768211	0
Ayanikkad	16	232	105366	761274	0
Ayanikkod	16	148	111444	762298	0
Ayanjikonam	16	211	87230	767458	0
Ayankadavu	16	294	124439	750946	0
Ayankalam	16	148	108418	759960	0
Ayanllur	30	220	134063	801856	0
Ayanpappakudi	30	264	98794	781154	0
Ayanpuramdoddi	30	215	124720	777509	0
Ayanur	15	333	140103	754367	0
Ayanur	15	265	141491	757039	0
Ayaparambu	16	234	93239	764431	0
Ayapedu	30	158	131058	794928	0
Ayappadi	30	158	129012	795109	0
Ayappadikulam	30	186	83672	777857	0
Ayappagaripalli	1	207	134381	790712	0
Ayappakkam	30	238	125060	801132	0
Ayappanahalli	15	93	125590	763993	0
Ayappankandam	16	528	91057	768983	0
Ayappapalem	1	219	174175	827417	0
Ayapur	33	688	260550	815949	0
Ayapuram	30	236	90894	776833	0
Ayar	33	682	274849	788498	0
Ayar	33	33	257656	823905	0
Ayar	33	242	254396	829551	0
Ayar Mundar	34	530	293924	796436	0
Ayara	33	417	252134	789252	0
Ayara Lohia	33	278	268505	791254	0
Ayarahalli	15	652	129142	765852	0
Ayarapalaiyam	30	227	110452	773566	0
Ayari	33	659	276260	801022	0
Ayarkhali	34	692	299970	796990	0
Ayarkulam	30	186	85146	777432	0
Ayarppattinatham	30	236	90691	776134	0
Ayartoli	34	692	299420	796298	0
Ayas	35	347	242524	877812	0
Ayatan	25	674	206947	867253	0
Ayatapur	25	521	198580	851816	0
Ayathanahalli	15	93	127658	766658	0
Ayathil	16	528	88966	766350	0
Ayattakuttai	30	223	113975	780013	0
Ayattampatti	30	260	109779	784614	0
Ayattilaseri	16	528	88889	766284	0
Ayattur	30	220	131407	799923	0
Ayawarpali	31	62	171167	783447	0
Ayaz Mau	33	626	255821	814858	0
