Bakhtiarpur	4	581	254560	855329	47897
Bakhri	4	510	255989	862607	40043
Bakhtiyarpur	4	581	254618	855318	34533
Bakarwala	8	739	286678	770201	18122
Bakewar	33	278	266623	791763	14217
Bakhtawarpur	8	737	288234	771754	12716
Bakani	28	321	242862	762371	9812
Bakultala	0	98	125040	928617	2741
Bakloh	27	-1	324794	759187	1805
Bakreswar	35	347	238832	873726	1739
Baka Purwa	33	31	268181	814313	0
Bakahi	33	102	247881	830377	0
Bakahiyan	33	584	252923	818108	0
Bakahtpura	33	584	251945	819926	0
Bakaia	14	712	243068	838123	0
Bakaiha	19	646	243443	814557	0
Bakaikhera	19	443	219244	775263	0
Bakaila	34	430	305619	778507	0
Bakain	27	3	301665	739757	0
Bakain	33	644	276175	783017	0
Bakain	19	638	249084	795740	0
Bakain	33	417	254989	789558	0
Bakain	14	379	242994	847755	0
Bakaina	19	313	243111	810164	0
Bakaina	33	553	290428	782583	0
Bakaina	33	488	273907	805407	0
Bakaina Milak	33	464	290417	784977	0
Bakainan	33	479	263819	832216	0
Bakainan	33	282	277205	813329	0
Bakainan Purwa	33	282	277135	813401	0
Bakaini	33	242	254428	830473	0
Bakaini	33	242	254037	831711	0
Bakaini	19	309	235442	763728	0
Bakainia	33	31	273336	813984	0
Bakainia	34	617	290287	791882	0
Bakainia	4	641	262728	875505	0
Bakainia	14	434	244245	858841	0
Bakainia Chandpur	33	492	286108	788860	0
Bakainia Dichhat	33	656	283362	798845	0
Bakainiadip	33	152	267464	826759	0
Bakainian	33	27	254661	837651	0
Bakainian	33	492	287918	786849	0
Bakainian	33	280	273690	826195	0
Bakainian	33	280	270815	829655	0
Bakainian	33	280	271931	831392	0
Bakainian	33	329	284827	795823	0
Bakainian	33	329	281910	795766	0
Bakainian Birpur	33	329	286076	792866	0
Bakainian Champatpur	33	329	285040	793080	0
Bakainian Kalekhan	33	329	287214	796082	0
Bakainian Khajuria	33	329	287283	796669	0
Bakainian Saleh	33	329	286682	795858	0
Bakainian Taluka Rampur Amirt	33	656	282483	798998	0
Bakainihan	33	623	265163	830636	0
Bakainiyan	4	675	264930	840256	0
Bakaintola	19	217	228869	813312	0
Bakaintola	19	449	227315	816416	0
Bakaiya	33	488	275693	810199	0
Bakajan	19	443	219130	775948	0
Bakakuwa	19	202	219855	771203	0
Bakal	19	337	237502	799697	0
Bakal	11	614	296412	765753	0
Bakal	19	354	220988	799852	0
Bakal	19	142	217373	798705	0
Bakal	13	359	331011	751573	0
Bakal	19	142	220566	807784	0
Bakal	6	455	211124	809257	0
Bakal	33	444	256776	807585	0
Bakala	11	88	304235	772031	0
Bakala	28	463	272956	765051	0
Bakala	25	399	209319	848601	0
Bakalabandh	25	527	201617	850270	0
Bakalag	12	267	314326	769590	0
Bakalaghat	6	577	185551	817260	0
Bakalagutta	31	90	189359	794424	0
Bakalan	12	514	306917	772896	0
Bakalapanaku	1	258	180959	825824	0
Bakalha	33	516	258034	845504	0
Bakali	11	482	300241	770594	0
Bakalo	6	398	229822	827571	0
Bakalpur	33	174	275020	776318	0
