Bhandara	20	390	211682	796489	91845
Bhander	19	484	257358	787456	25204
Bhanvad	10	130	219305	697808	22142
Bhanpura	19	558	245130	757469	21013
Bhanjanagar	25	423	199272	845820	20647
Bhanpuri	6	455	210919	809322	17270
Bhanumukkala	1	224	153119	782277	14307
Bhankarpur	27	608	306062	768363	10768
Bhanur	31	32	174899	781774	9203
Bhanupratappur	6	676	203098	810731	8125
Bhandardaha	35	340	226148	881919	5079
Bhandra	14	498	238787	861036	4606
Bhanapur	20	49	200785	764983	382
Bhan	13	36	336900	750806	0
Bhan	33	174	273852	775482	0
Bhan	33	523	279713	785460	0
Bhan	12	348	324416	764005	0
Bhan Bhorha	4	687	257542	854246	0
Bhan Kalga	15	71	172328	762975	0
Bhan Misr	33	522	269866	818080	0
Bhan Patti	33	575	261056	823062	0
Bhan Purwa	33	522	269984	819663	0
Bhana	11	614	296668	765203	0
Bhana	11	327	293640	755115	0
Bhana	27	700	306781	748310	0
Bhana	27	284	317686	757114	0
Bhana	27	284	313236	759390	0
Bhana	28	550	251001	738971	0
Bhana Brahmanan	11	353	296609	761815	0
Bhana Chak	4	457	267841	846347	0
Bhana Semar	28	493	236002	737439	0
Bhana Simal	10	140	233181	739207	0
Bhanach	12	267	314052	771525	0
Bhanadehi	19	325	220111	790133	0
Bhanadra	10	245	218611	736346	0
Bhanagi	20	138	190930	772063	0
Bhanaha	33	31	270327	810122	0
Bhanai	12	39	321470	759814	0
Bhanai Purwa	33	698	258302	810970	0
Bhanail Lodipur	4	106	248529	855872	0
Bhanaipur	33	688	259050	823278	0
Bhanaji ka Bagar	28	22	245116	741376	0
Bhanakhati ki Dhani	28	519	284164	750140	0
Bhanakheri	19	648	229445	764860	0
Bhanakpur	11	741	282898	772638	0
Bhanakpura	28	429	269851	768673	0
Bhanakpuri	28	113	275474	769606	0
Bhanal	12	460	308685	775664	0
Bhanan	13	358	331167	755204	0
Bhananandpur	35	347	242918	877382	0
Bhananki	15	333	135821	752860	0
Bhanaothala	28	296	283700	729965	0
Bhanapadiar	34	692	298612	796003	0
Bhanapur	31	32	180218	777706	0
Bhanapur	33	659	273540	799144	0
Bhanapur	20	110	202259	798459	0
Bhanapur	33	688	257407	814199	0
Bhanapur	33	33	254757	825929	0
Bhanapur	31	58	182994	781026	0
Bhanapur	33	688	259579	819606	0
Bhanapur Kalan	33	312	279787	810347	0
Bhanar	34	692	299610	796074	0
Bhanar	34	413	297892	796416	0
Bhanar	34	413	295126	799025	0
Bhanaraot	19	153	223172	744796	0
Bhanarbar	4	117	246197	849376	0
Bhanarigaon	34	692	297866	799850	0
Bhanariya Hansa	34	413	298674	791547	0
Bhanariya Kharku	34	413	298632	791432	0
Bhanas	4	394	252267	840883	0
Bhanas Hivre	20	150	194851	749684	0
Bhanat	12	514	308696	773370	0
Bhanau	33	445	273710	791415	0
Bhanau Kalan	33	523	276624	778713	0
Bhanau Khurd	33	523	276657	778722	0
Bhanauli	33	523	279499	779366	0
Bhanauli	33	637	263782	818091	0
Bhanaur	33	33	255723	825277	0
Bhanaura	6	269	236147	836288	0
Bhanauri	33	584	252508	818285	0
Bhanauri	33	584	252568	818364	0
Bhanauta	12	348	326154	760761	0
Bhanavas	10	161	240599	727771	0
Bhanawar	6	627	202831	818153	0
Bhanawar	6	627	202932	818135	0
Bhanbarar	19	317	221047	761061	0
Bhanbardi	19	635	224731	758789	0
Bhanbarheri	11	439	295756	767940	0
Bhanbaur	33	584	250533	820363	0
Bhanbaura	33	613	285762	781709	0
Bhanbepara	33	595	275543	819647	0
Bhanbera	6	676	203198	811705	0
Bhanbhaur	33	584	253480	816899	0
Bhanbhaura	4	495	251181	852781	0
Bhanbhela	33	488	277862	811285	0
Bhanbhora	33	532	263802	829950	0
Bhanbori	33	672	292054	776129	0
Bhanbrian	27	624	305813	762005	0
Bhancheri	19	153	220654	744066	0
Bhand	6	681	215278	815022	0
Bhand Bigha	4	112	249028	846709	0
Bhand Pipariya	19	325	219590	791363	0
Bhand Umbri	20	67	199709	784308	0
Bhanda	19	465	259631	779886	0
Bhanda	33	561	255130	823075	0
Bhanda	33	623	270608	831295	0
Bhanda	33	623	265487	830410	0
Bhanda	33	659	272065	806667	0
Bhanda	28	22	239990	735180	0
Bhandabhar	33	532	263670	830828	0
Bhandaha	33	522	271876	819757	0
Bhandaha Kalan	33	242	254862	831400	0
Bhandaha Khurd	33	242	254819	831296	0
Bhandahera	28	357	251234	760786	0
Bhandai	33	526	270813	779665	0
Bhandai Khap	14	732	238600	850710	0
Bhandajor	4	106	248626	856968	0
Bhandak	20	110	201026	791113	0
Bhandal	27	544	314495	752912	0
Bhandal	27	544	312901	753692	0
Bhandal Buta	27	355	311238	755764	0
Bhandal Himmat	27	355	311229	755782	0
Bhandala	20	110	201642	790518	0
Bhandali	34	589	299956	788458	0
Bhandalkut	13	35	333630	757331	0
Bhandamurri	19	142	220438	799802	0
Bhandandi	33	656	286557	796343	0
Bhandania	19	129	223799	748868	0
Bhandapur	33	698	258177	813041	0
Bhandar	12	514	306991	772901	0
Bhandar	19	638	251641	798771	0
Bhandar	14	712	242649	836821	0
Bhandar	14	712	240947	835249	0
Bhandar	14	673	241969	839972	0
Bhandar	19	512	244738	800368	0
Bhandar	12	348	327078	760525	0
Bhandar	12	348	326276	760496	0
