Bhavnagar	10	165	217629	721533	605882
Bhavani	30	204	114455	776821	39744
Bhavanisagar	30	204	114806	771291	7710
Bhavabugudam	31	730	174003	798152	0
Bhavado	20	54	207165	740051	0
Bhavai	20	132	214944	773817	0
Bhaval	20	78	212719	751322	0
Bhavali	20	182	214251	741801	0
Bhavali	20	78	205836	750174	0
Bhavalpur	20	182	215717	740897	0
Bhavanarayanaswami	1	221	144193	791216	0
Bhavandesar	28	519	280200	745199	0
Bhavani Pada	20	182	214188	740908	0
Bhavanipuram	1	103	165244	805935	0
Bhavaniyambalpuram	30	254	107870	791819	0
Bhavanpuru	31	46	169322	805307	0
Bhavapur	15	375	131843	778705	0
Bhavar	20	78	205719	749759	0
Bhavar	20	182	215723	741882	0
Bhavarahalli	15	47	130430	781697	0
Bhavaram	1	259	172691	820367	0
Bhavari	20	53	202092	757851	0
Bhavarkhedi	20	78	209430	752489	0
Bhavarkhedi	20	78	208088	752371	0
Bhavarla	20	110	200384	797538	0
Bhavartek	20	182	216319	746093	0
Bhavarwani	19	446	220399	770654	0
Bhavasvalli	15	652	129848	759422	0
Bhavda	10	130	222562	690743	0
Bhavdaspur	33	688	258191	815669	0
Bhave	6	490	215129	807479	0
Bhavedi	20	53	202821	758208	0
Bhaver	20	185	212284	750704	0
Bhavi	31	128	174822	787736	0
Bhavi Timmapur	15	91	149261	754106	0
Bhavibukka	31	46	177177	812492	0
Bhavibukka	31	46	177182	812582	0
Bhavigudem	31	241	173757	794864	0
Bhavihal	15	77	158248	747519	0
Bhavihal	15	655	155934	749077	0
Bhavihalli	15	352	148438	760764	0
Bhavihalli	15	352	150398	760084	0
Bhavihalli	15	44	151202	764943	0
Bhavihalu	15	265	143238	760913	0
Bhavikadipalli	1	190	141283	791166	0
Bhavikai	15	333	138898	751138	0
Bhavikarebail	16	294	124954	751003	0
Bhavikere	15	375	130865	773681	0
Bhavikere	15	333	137902	752849	0
Bhavinkatte	15	59	144491	746421	0
Bhavipadu	1	224	152519	778372	0
Bhavisana	10	133	241458	723570	0
Bhavla	28	414	269810	740957	0
Bhavnagar	33	688	257477	815361	0
Bhavnathpur	14	712	243909	835838	0
Bhavpur	33	619	253286	811022	0
Bhavrani	28	330	255723	726613	0
Bhavri	20	53	204631	759445	0
Bhavria	19	129	221437	747952	0
Bhavriyakuvan	28	339	252843	756596	0
Bhavsinghpura	19	202	218376	764947	0
Bhavthana	20	34	187878	762924	0
Bhavti	19	239	220554	747639	0
Bhavupet	31	128	176274	790009	0
