Birgaon	6	299	213076	816279	96294
Birmitrapur	25	262	224000	847667	33442
Birpara	35	720	267042	891455	30000
Birur	15	97	135972	759717	23493
Birpur	4	410	265082	870119	19932
Birsinghpur	19	313	247980	809729	14339
Birbhaddar	34	430	300712	782819	13058
Birvadi	20	17	181019	735080	8829
Birpur	13	690	326617	749518	7177
Bir Ghaghar	11	565	307090	768886	4943
Bir	28	428	263955	747358	0
Bir	19	202	220528	765422	0
Bir	33	370	246840	787494	0
Bir	19	638	252401	803178	0
Bir	19	446	220655	769611	0
Bir	19	446	222594	770262	0
Bir	33	31	268372	814949	0
Bir	13	477	327499	756636	0
Bir	19	335	230352	745549	0
Bir	19	202	221290	767040	0
Bir	4	581	254066	851697	0
Bir Akhara	27	647	307619	754825	0
Bir Amin	11	482	298921	768518	0
Bir Babupur	11	565	305898	769315	0
Bir Badalwa	11	439	298283	767481	0
Bir Badhni	27	480	306482	753066	0
Bir Bahman	27	542	302014	748638	0
Bir Balsua	11	88	301504	770891	0
Bir Bangaran	11	614	295469	764992	0
Bir Bhadson	11	439	299069	769717	0
Bir Bhaini	27	355	310939	757769	0
Bir Bigha	4	106	250987	856442	0
Bir Bikram	12	514	305190	772844	0
Bir Botali	20	139	210241	794154	0
Bir Chandalha	33	516	259959	838267	0
Bir Chhapra	4	382	265465	849201	0
Bir Dadri	11	586	285197	767579	0
Bir Firozri	11	565	306090	769340	0
Bir Gagra	27	647	307852	755156	0
Bir Jatamkhora	20	139	214737	788287	0
Bir ka Khera	28	298	252915	746462	0
Bir Kalan	27	571	300925	756559	0
Bir Kalan	33	102	247094	827978	0
Bir Kalwa	11	482	301071	769716	0
Bir Khanda Kheri	11	439	295644	766324	0
Bir Khas	12	39	320478	767256	0
Bir Khera	33	672	291879	779880	0
Bir Kheri	33	431	296586	773519	0
Bir Kheri	33	431	297526	773362	0
Bir Kheri	33	431	299885	773465	0
Bir Kheri Faizabad	33	531	289437	792357	0
Bir Khurampur	27	544	313118	758254	0
Bir ki Dhani	28	467	291927	751299	0
Bir Kishan Singh	27	647	306998	761115	0
Bir Lawan	28	679	267403	762044	0
Bir Majra	11	439	298310	771093	0
Bir Majra	11	439	296296	768963	0
Bir Majra	11	439	297551	768672	0
Bir Majra	11	439	299063	769707	0
Bir Mathana	11	482	299908	769261	0
Bir Mongauli Rangharan	11	482	301450	770251	0
Bir Patan	33	488	273916	813033	0
Bir Pipli	11	482	299823	768892	0
Bir Purwa	33	522	271489	818100	0
Bir Purwa	33	522	272208	817890	0
Bir Purwa	33	282	274083	817680	0
Bir Qazi	33	584	255212	820731	0
Bir Rai Tikhana	11	439	299367	770145	0
Bir Raoke	27	480	306367	752903	0
Bir Sahni	27	544	313093	758152	0
Bir Sarangwal	27	283	312226	758471	0
Bir Sari	33	595	276689	818079	0
Bir Seonti	11	482	299865	769811	0
Bir Shahpur	33	605	265851	824284	0
Bir Shamspur	11	747	285945	763336	0
Bir Sher Singh	27	355	311373	758154	0
Bir Singh Khera	33	301	264185	809341	0
Bir Singhpur	33	654	264971	812232	0
Bir Singhpura	33	526	268383	785579	0
Bir Sujra	11	482	300957	769471	0
Bir Sunarwala Kalan	11	586	286227	767021	0
Bir Sunarwala Khurd	11	586	286036	767033	0
Bir Tola	33	539	267866	838245	0
Bira	19	512	250039	802605	0
Bira	33	548	271827	796209	0
Bira	33	621	257326	795830	0
Bira	33	417	251449	791587	0
Bira	19	497	247425	812402	0
Bira	33	619	252795	808538	0
Bira	19	503	231856	790185	0
Bira	19	313	243005	807437	0
Bira	4	507	250507	849694	0
Bira	33	444	255824	809687	0
Bira	4	507	250448	851058	0
Bira	25	527	203833	846356	0
Bira Bankat	4	615	260839	846597	0
Bira Barora	33	488	275117	812038	0
Bira Bhanti	33	516	259365	839557	0
Bira Gondanahalli	15	265	142028	756861	0
Bira Kheri	33	431	298245	772864	0
Bira Nagla	33	523	277720	779216	0
Bira Patti	33	532	264524	823951	0
Bira Sarai	33	694	253980	834980	0
Birabadhi	11	425	296881	753632	0
Birabbi	15	352	149265	757861	0
Birabhata	6	669	222479	825971	0
Birada	25	349	193533	832832	0
Biradar	19	607	242221	823891	0
Biradar	19	607	242350	823938	0
Biradar	33	479	260918	829393	0
Biradavada	1	45	138880	799149	0
Biradavolu	1	6	143435	797680	0
Biradei	19	497	246177	821514	0
Biradei	19	497	246265	821380	0
Biradei	19	497	246141	821181	0
Biradenahalli	15	92	135674	772296	0
Biradhwal	28	360	291170	739202	0
Biragada	25	373	199707	835273	0
Biragada	14	454	244968	854267	0
Biraganahalli	15	422	135711	778358	0
Biraganahalli	15	422	135296	777509	0
Biraganahalli	15	47	132527	782588	0
Biragaon	34	481	304776	780619	0
Biragaon	19	309	236369	762312	0
Biragom	13	146	336332	751147	0
Biragonahalli	15	93	125604	768654	0
Biragur	15	97	132436	755065	0
Biraha	34	617	291896	791672	0
Birahalli	15	93	126648	763829	0
Biraham Nagla	33	451	278240	794257	0
Birahamabad	33	389	270194	785811	0
Birahampur	33	682	275855	786234	0
Birahandi	25	305	190971	822396	0
Birahbahra	19	607	243291	825512	0
Birahdatoli	14	678	237036	847598	0
Birahim Diha	33	282	274857	815229	0
Birahima	33	516	259171	838387	0
Birahimabad	33	685	266277	810989	0
Birahimabad	33	31	267631	812555	0
Birahimabad	33	464	287087	783528	0
Birahimabad	33	464	287108	783419	0
Birahimabad	33	488	275175	808577	0
Birahimabad	33	31	267726	815310	0
Birahimbeg	33	282	273208	817831	0
Birahimkita	14	570	251727	874465	0
Birahimpur	33	548	272082	794429	0
Birahimpur	33	548	270802	794963	0
Birahimpur	33	659	275152	797460	0
Birahimpur	33	548	269671	795244	0
Birahimpur	33	526	272696	781065	0
Birahimpur	33	445	272711	792161	0
Birahimpur	33	661	274105	792760	0
Birahimpur	33	661	273804	794133	0
Birahimpur	33	682	274289	788560	0
Birahimpur	33	389	274261	786386	0
Birahimpur	33	444	251625	804548	0
Birahimpur	33	444	252332	804851	0
Birahimpur	33	698	258927	808323	0
Birahimpur	33	688	258749	820756	0
Birahimpur	33	688	258058	820048	0
Birahimpur	33	688	259276	821600	0
Birahimpur	33	561	253096	824468	0
Birahimpur	33	561	252311	823598	0
Birahimpur	33	561	252957	825181	0
Birahimpur	33	584	254296	821180	0
Birahimpur	33	654	262005	807905	0
Birahimpur	33	575	264037	819061	0
Birahimpur	33	575	263786	819429	0
Birahimpur	33	522	270824	816119	0
Birahimpur	33	688	258178	813669	0
