Bolpur	35	347	236628	876970	70998
Bolarum	31	32	175561	783482	34667
Bolanikhodan	25	281	221131	853365	11942
Boleng	2	41	283341	949623	2979
Bol ka Purwa	19	638	249977	801495	0
Bol Kadbi	15	77	159835	749310	0
Bol Matha	15	59	147853	747359	0
Bola	27	284	316475	755050	0
Bola	20	78	207972	750172	0
Bola	15	248	131516	749087	0
Bolabaguthanapalli	30	109	122778	781296	0
Boladatta	15	248	133102	750179	0
Boladongari	19	443	222131	775430	0
Bolagarh	25	521	201729	852726	0
Bolagarha	34	489	297158	799936	0
Bolagonda	1	258	174807	818540	0
Bolagoti	1	228	154170	771223	0
Bolahatti	19	335	226871	747041	0
Bolahola	30	215	123575	778868	0
Bolai	19	309	233827	764751	0
Bolaj	19	420	252946	776874	0
Bolakavandlapalle	1	190	138124	784509	0
Bolakoppa	15	333	138062	750250	0
Bolakpalli	31	58	183475	778588	0
Bolakyatanahalli	15	652	128152	761068	0
Bolamaranhalli	15	375	131606	773975	0
Bolamaranhalli	15	375	130267	773664	0
Bolamaranhalli	15	93	128284	763902	0
Bolamballi	15	248	137970	747200	0
Bolame	15	55	128028	752594	0
Bolampalli	31	241	173595	795424	0
Bolana	12	460	311185	774188	0
Bolanahalli	15	74	123652	764192	0
Bolanayakkanvalasu	30	183	105357	776989	0
Bolanbuda	15	55	128087	752832	0
Bolanda	25	683	215650	850118	0
Bolang	25	262	217136	847986	0
Bolani	25	683	215839	849958	0
Bolanje	15	248	133486	750282	0
Bolanpali	25	297	210769	836520	0
Bolanti	34	530	294598	792649	0
Bolanturu	15	55	128166	750595	0
Bolapalle	31	46	174726	813094	0
Bolar Kalan	27	543	302972	765057	0
Bolara	27	214	316467	751636	0
Bolaram	31	100	168756	791736	0
Bolaram	31	222	184938	787969	0
Bolaram	31	100	164829	790065	0
Bolarappatti	30	227	105927	773041	0
Bolare	30	114	113236	767333	0
Bolarekoppal	15	93	127798	769210	0
Bolari	12	460	310374	773672	0
Bolari	27	543	302963	765244	0
Bolari	15	72	166603	769327	0
Bolarum	31	300	175173	785175	0
Bolarum	31	58	181608	780694	0
Bolarum	31	300	176377	785369	0
Bolasa	19	335	228772	748842	0
Bolavad	15	80	165312	762905	0
Bolavanpalli	31	272	169764	776453	0
Bolave Jug	15	59	148938	742940	0
Bolawar Mafi	33	694	250209	832720	0
Bolayapalem	1	212	159901	805856	0
Bolba	14	476	224308	843445	0
Bolbali	14	434	247245	859537	0
Bolda	19	309	232614	766483	0
