Chansa	12	348	323693	760287	0
Chansandra	15	43	132012	775083	0
Chansandra	15	43	130411	776810	0
Chansandra	15	43	130108	776587	0
Chansandra	15	47	132530	779635	0
Chansandra	15	43	129818	777681	0
Chansar	13	359	331539	750659	0
Chansara Dohatwar	4	632	256117	868418	0
Chansen	28	679	265518	763037	0
Chansi	4	363	253522	846311	0
Chansi	4	117	246194	847742	0
Chansia	19	311	227593	762932	0
Chansir	13	35	333794	756596	0
Chansu	13	640	331998	750317	0
Chansuma	28	331	267762	721570	0
Chansura	19	336	239200	810225	0
Chansya	19	635	223914	756195	0
