Chas	14	498	236356	861671	141640
Chas	20	150	190346	746496	0
Chas	20	52	189220	738332	0
Chasa Gurjang	25	399	214437	850881	0
Chasag	12	348	329620	765745	0
Chasana	13	640	333594	747413	0
Chasar	28	321	245154	763606	0
Chasgawan	14	442	250054	875650	0
Chashi	12	267	312694	771039	0
Chashi	33	613	284996	782079	0
Chashke	35	347	242762	877868	0
Chashma	27	665	321857	755490	0
Chashma Shahi	13	588	340857	748854	0
Chasi	12	514	306036	772186	0
Chasiala	11	614	296599	763193	0
Chaskapur	35	452	246442	879471	0
Chasnala	14	387	236667	864333	0
Chasot	13	640	333772	747833	0
Chassud	21	693	247978	945099	0
Chaswal	27	543	304955	762429	0
