Chittoor	1	207	132106	790956	160722
Chitradurga	15	246	142226	764004	145853
Chittorgarh	28	402	248896	746240	116406
Chittaranjan	35	618	238568	869032	45305
Chittur	16	253	106997	767471	32298
Chitapur	15	71	171236	770824	31299
Chitaguppa	15	167	176974	772153	25298
Chitrakoot Dham	33	619	252147	809165	23316
Chitarpur	14	377	235728	856536	22837
Chityal	31	100	172316	791281	13752
Chittayankottai	30	183	102686	778327	13634
Chittapari	25	108	182433	820499	11796
Chitegaon	20	112	197584	752895	11507
Chittanur	30	51	116724	780881	10199
Chittode	30	204	113946	776588	8550
Chitalwana	28	330	249089	716607	8141
Chittarkonda	25	108	181253	821089	7260
Chittilapilli	16	232	105657	761527	6988
Chittanda	16	232	106771	762105	5936
Chitkul	31	32	175587	782226	5596
Chit	33	526	269932	778387	0
Chit Baragaon	33	516	257506	840055	0
Chit Bisaun	33	516	259007	843122	0
Chit Bisawan	4	394	250266	841941	0
Chit Bisram	33	564	258992	833997	0
Chit Bisraon	33	102	246944	832962	0
Chit Bisraon	4	615	262059	840612	0
Chit Isapur	33	698	259622	809670	0
Chit Kundi	4	363	255810	845758	0
Chit Math	4	615	262840	842328	0
Chita Nagra	33	451	277290	793865	0
Chita Purwa	33	31	268122	814740	0
Chitab Kalan	4	117	246063	848250	0
Chitab Khurd	4	117	246088	848137	0
Chitabari	4	602	255645	875775	0
Chitabaru	13	289	340399	741628	0
Chitadih	14	628	227882	859655	0
Chitagura	31	271	196380	788955	0
Chitagutri	6	374	224563	824628	0
Chitagutu	14	310	230921	848591	0
Chitaha	33	698	255608	810310	0
Chitaha	19	313	242233	810562	0
Chitaha	33	152	269475	825935	0
Chitaha	33	623	266684	829655	0
Chitaha	4	382	267906	848722	0
Chitaha Purwa	33	444	255838	808280	0
Chitahi	33	269	273720	823402	0
Chitahi	33	280	272540	825576	0
Chitahi	4	382	265628	848496	0
Chitahi	4	535	265319	860612	0
Chitahi	35	400	233930	859785	0
Chitahi Narsingh	33	152	267703	827883	0
Chitahra	19	313	248659	808480	0
Chitai	19	338	240236	791255	0
Chitai	33	445	273098	788546	0
Chitai	19	484	261096	786491	0
Chitai	19	484	258993	785040	0
Chitai	33	282	275610	815395	0
Chitai	33	522	272325	818319	0
Chitai Chaube	33	645	267084	797797	0
Chitai Jot	33	522	273160	820015	0
Chitai Jot	33	522	270771	822537	0
Chitai Khera	33	654	265447	812790	0
Chitai Pura	33	575	263958	819509	0
Chitai Purwa	33	31	267784	815469	0
Chitai Purwa	33	605	267614	817223	0
Chitai Tara	33	688	260016	818655	0
Chitaikona	6	285	207347	819960	0
Chitailj	34	413	298223	794158	0
Chitain	33	445	270647	791733	0
Chitaini	4	394	252280	838667	0
Chitaipur	33	561	253240	824316	0
Chitaipur	33	242	252699	829684	0
Chitaipur	33	242	254615	829111	0
Chitaipur	33	33	255699	827568	0
Chitaipur	33	595	276546	819043	0
Chitaipur	33	637	263774	818618	0
Chitaipur	33	575	263300	819832	0
Chitaipur	33	269	274236	821391	0
Chitaipur	33	575	262185	821161	0
Chitaipur	33	688	260415	822460	0
Chitaipura	33	370	249409	785531	0
Chitaiyan	33	591	251840	797382	0
Chitakavandakhandrika	1	45	137394	797175	0
Chitakhai	25	478	212454	833922	0
Chitakhal	4	615	261825	840606	0
Chitakharu	14	434	242040	861017	0
Chitakhera	19	630	243196	748180	0
Chitakhera	28	428	266623	748029	0
Chitakhol	6	374	221615	828279	0
Chitakhol	25	478	209707	830461	0
Chitakhudri	19	461	227788	803881	0
Chitakodur	31	178	177463	791721	0
Chitakoni	14	740	235250	848692	0
Chitakul	15	59	148616	741238	0
Chitakul	15	59	149199	742156	0
Chital	10	209	217365	712012	0
Chital	34	413	296206	797040	0
Chitalanka	6	392	189203	813426	0
Chitalgur	6	578	188429	820770	0
Chitalgura	19	153	223035	743244	0
Chitalkholi	19	142	216509	805971	0
Chitalmane	15	59	144282	747859	0
Chitalnar	6	577	186702	819149	0
Chitalpala	25	273	202471	834403	0
Chitalpata	25	273	202471	834403	0
Chitaltola	19	142	219185	799973	0
Chitalur	6	578	191410	821317	0
Chitalur	6	392	188836	814370	0
Chitalvalasa	1	194	189367	835782	0
Chitama	20	-1	194434	799492	0
Chitamagudem	31	160	194405	799386	0
Chitaman Bigha	4	112	246494	845071	0
Chitaman Chak	4	581	254737	857778	0
Chitamanpur	33	688	260102	822227	0
Chitamanpur	33	575	261126	823023	0
Chitamau	33	450	269512	799940	0
Chitami	14	738	240181	864813	0
Chitamkhar	6	393	211479	823138	0
Chitampur	33	312	278516	809259	0
Chitamura	25	262	219809	836202	0
Chitan	11	425	295587	759144	0
Chitan	14	416	229257	854278	0
Chitan Dahanga	14	416	228556	852181	0
Chitanagaram	31	160	193221	795550	0
Chitang	19	646	245342	819942	0
Chitangarh	25	108	181515	823442	0
Chitani Dumri	4	615	259853	842892	0
Chitankhari	14	434	242357	859607	0
Chitano	28	120	272036	759275	0
Chitanpur	33	698	255805	810609	0
Chitanpur	33	622	283771	786229	0
Chitanwispura	20	139	211437	791158	0
Chitaoli	33	622	286889	784481	0
Chitaon	4	394	252434	839933	0
Chitaon	33	33	255984	823222	0
Chitaora	19	129	223596	746428	0
Chitapadar	6	578	190188	820652	0
Chitapalem	31	730	175176	796733	0
Chitapali	6	669	222009	826187	0
Chitapali	6	374	222780	827891	0
Chitapanka	25	349	192574	835446	0
Chitapanpara	16	249	96718	771392	0
Chitapiri	14	310	229305	850056	0
Chitapur	31	90	189804	796010	0
Chitapur	15	50	161839	763225	0
Chitapur	20	139	210601	792846	0
Chitapur	33	33	255719	822589	0
Chitapur	20	390	211177	797447	0
Chitapur	33	637	264540	814642	0
Chitapur	31	447	181324	786203	0
Chitapur	33	31	270780	812701	0
Chitapur Tanda	15	71	171014	770710	0
Chitapurtola	20	390	211054	797542	0
Chitar	28	263	261244	742165	0
Chitar	34	430	306065	779872	0
Chitar	33	526	268277	785790	0
Chitar	20	182	217321	741799	0
Chitar Bhajarpura	33	526	268868	787215	0
Chitar Bisrawan	4	117	245695	851381	0
Chitar Purwa	33	645	267964	798881	0
Chitar Purwa	33	659	273803	801069	0
Chitara	19	323	256850	770705	0
Chitara	19	420	250477	776054	0
Chitara Mahmudpur	33	479	259329	827819	0
Chitarama	25	572	201041	824103	0
Chitarbair Kalan	19	607	240640	824861	0
Chitarbair Khurd	19	607	240418	824934	0
Chitarbara	19	512	240316	800509	0
Chitarbari	4	505	247850	861173	0
Chitarda	25	368	218492	869424	0
Chitardalau	13	573	344078	749931	0
Chitardih	4	505	244032	864545	0
Chitargaria	14	643	241999	876253	0
Chitarghatti	4	106	248191	853373	0
Chitargopi	4	112	248294	843394	0
Chitarhi	4	718	250063	834537	0
Chitari	19	638	252328	799003	0
Chitaria Khalsa	33	645	263272	799947	0
Chitarkot	13	0	343712	737997	0
Chitarkot	33	661	274434	796512	0
Chitarkota	14	541	234121	851630	0
Chitarkuti	14	570	250529	873386	0
Chitarmpalli	31	90	192614	795102	0
Chitarna	14	434	242895	859674	0
Chitarpoki	14	434	241191	864903	0
Chitarpur	33	445	270531	793211	0
Chitarpur	14	310	231132	843358	0
Chitarpur	14	678	237668	847718	0
Chitarpur	14	434	241182	863781	0
Chitarsari	4	112	247774	845967	0
Chitarsen Dhani	11	606	283295	768552	0
Chitarsenbahira	14	570	251561	873298	0
Chitarsenpur	33	242	252755	827152	0
Chitarsenpur	4	520	257164	851604	0
Chitarwar	33	196	249781	823273	0
Chitarya ka Pura	19	459	264217	776044	0
Chitas	13	640	334285	747359	0
Chitathla	28	163	231866	742353	0
Chitau	33	637	263000	817115	0
Chitaual	19	607	245487	826107	0
Chitaud	33	417	252022	791375	0
Chitaula	33	613	282720	778844	0
Chitaula	34	413	295785	799608	0
Chitauli	33	389	271081	786111	0
Chitauli	33	27	255458	833112	0
Chitauli	33	196	251327	823149	0
Chitauli	33	698	257809	811358	0
Chitauli	33	329	284492	792960	0
Chitauli	4	394	247529	840411	0
Chitauliya	19	303	235243	760081	0
Chitauliyakhera	19	303	235301	760115	0
Chitaun	33	431	296711	775646	0
Chitauna	33	488	274942	811773	0
Chitauna	33	532	264665	824797	0
Chitauna	33	532	264302	824627	0
Chitauna Kalan	33	532	263167	826419	0
