Dao	12	514	306908	776857	0
Dao	34	589	298587	784166	0
Dao Majra	11	482	302110	768752	0
Dao Majra	27	608	307724	766215	0
Daobera	14	276	221172	856424	0
Daodhar	27	480	307228	753420	0
Daogara	14	416	229460	853353	0
Daohan	13	640	332468	750070	0
Daohri	33	152	266572	828423	0
Daokabandha	6	517	219892	814156	0
Daokalian	33	31	269780	813494	0
Daoke	27	214	315203	745978	0
Daola	11	586	285689	766202	0
Daolapalli	31	386	179250	781721	0
Daolatpur	20	141	206993	790475	0
Daoliyan	12	514	306395	775069	0
Daon Singh Kunwar	33	522	270238	823034	0
Daonadih	6	681	219105	815921	0
Daongi	12	267	314633	769432	0
Daoni	33	370	246542	783358	0
Daonjari	6	517	220663	812882	0
Daonka	33	613	282638	781792	0
Daonpur	33	637	260917	818062	0
Daonraicha	28	115	262524	765143	0
Daonrawa Jangal	33	152	268321	826866	0
Daonri	12	348	327579	760139	0
Daonti	12	604	310681	770791	0
Daopur	33	523	281181	780323	0
Daorasia	33	278	268127	791599	0
Daori	12	348	326621	761280	0
Daoripar	20	168	213622	802527	0
Daorka	28	429	269574	768610	0
Daorli	19	142	218669	807761	0
Daot	12	267	315421	772079	0
Daothan	13	358	332332	756694	0
Daotoli	14	310	231754	848593	0
Daowal	27	468	319818	755307	0
Daowar	12	348	328653	761490	0
Daowari	19	313	245522	808174	0
