Duh	11	565	306371	771292	0
Duh	12	39	321243	757827	0
Duha	33	516	261115	839852	0
Duha	4	602	255788	879722	0
Duha Behra	33	516	261177	839623	0
Duhai	33	31	272311	812903	0
Duhai	14	379	242632	852930	0
Duhai Purwa	33	654	261235	813188	0
Duhaisuhai	4	495	250539	853989	0
Duhak	12	267	316881	769762	0
Duhal Kuhna	27	250	312189	745638	0
Duhal Nau	27	250	311780	745244	0
Duhalia Pt 1	3	601	246277	923542	0
Duhan	12	267	317925	768786	0
Duhar	28	463	274244	763196	0
Duhara	19	576	234114	797514	0
Duharia	33	152	267515	824355	0
Duharmala	28	463	274371	763512	0
Duharmala	28	463	274275	763495	0
Duhauna	4	675	265817	840832	0
Duhauwa	33	196	251105	824935	0
Duhav	19	502	239845	792817	0
Duhawar	33	33	256017	826831	0
Duhbi Bazar	4	535	266589	860539	0
Duheli	12	348	325595	760768	0
Duhga	12	653	314464	774546	0
Duhga	12	39	322903	759890	0
Duhgi Maithal	12	604	311070	767333	0
Duhgni	12	39	320168	765169	0
Duhgoshil	12	653	314890	773359	0
Duhi	33	694	250633	832281	0
Duhi	19	497	245766	819250	0
Duhi Arazi Karib Pura Chetan	33	152	267350	823235	0
Duhi Jadid	33	451	277901	795900	0
Duhi Kalan	33	196	251010	831050	0
Duhi Khurd	33	196	251066	831014	0
Duhia	33	561	253684	823558	0
Duhia	33	561	253305	824237	0
Duhia	33	561	254461	824833	0
Duhia	33	242	254429	829773	0
Duhia	33	584	252898	821505	0
Duhia	33	688	260319	819691	0
Duhia	33	637	261530	819239	0
Duhia	33	314	266913	833936	0
Duhia	33	27	255573	835900	0
Duhia	33	688	259791	819000	0
Duhia Bargah	33	623	265430	830706	0
Duhia Dohar	33	314	266953	833921	0
Duhia Famrawan	33	532	265427	826981	0
Duhia Kalan	33	623	265335	830768	0
Duhia Khurd	33	623	265641	830653	0
Duhiabhan	33	561	254214	824423	0
Duhiapara	6	374	224659	824488	0
Duhihwa	33	496	270319	833859	0
Duhila	12	514	305903	775276	0
Duhila	33	27	255032	836779	0
Duhili	33	613	284095	779253	0
Duhimusi	33	516	259136	842035	0
Duhiya	33	605	264652	821811	0
Duhk	12	39	319712	760256	0
Duhk	12	39	318268	764403	0
Duhk Kalan	12	39	318882	764628	0
Duhk Khurd	12	39	318866	764717	0
Duhki	12	39	320921	761885	0
Duhki	12	39	321123	766518	0
Duhl Bhatwalan	12	315	317859	761068	0
Duhl Bingwalan	12	315	317782	761104	0
Duhlal	12	-1	319023	759254	0
Duhlal	27	284	318970	759087	0
Duhli	19	338	232668	788798	0
Duhli	19	338	232673	788945	0
Duhli	19	502	235571	793901	0
Duhli	12	279	312562	768571	0
Duhngi	12	39	320967	760143	0
Duho Suho	4	382	267680	849670	0
Duhobar	4	117	245339	850744	0
Duhom	13	0	344885	741488	0
Duhri	33	724	287067	776825	0
Duhru	33	282	275267	817689	0
Duhulpali	25	297	208864	840793	0
Duhuri	14	276	221775	859016	0
Duhuru	33	479	256642	831433	0
Duhuwa Misr	33	152	267788	824292	0
Duhuwa Pande	33	152	268793	823846	0
Duhwa	33	152	269104	825897	0
Duhwa	33	152	267405	826995	0
Duhwa	33	152	269232	827784	0
Duhwa	33	623	269353	829951	0
Duhwa	33	623	265498	829809	0
