Dusi	30	192	127757	796789	5577
Dus	13	412	339987	749666	0
Dusadh	4	410	261721	867333	0
Dusadhipatti	33	496	270099	837244	0
Dusadhitola	4	363	253386	844008	0
Dusadhtola	4	363	252692	845897	0
Dusadhtola	4	106	249562	855068	0
Dusadhtola	4	535	264047	860215	0
Dusadhtola	4	567	252407	860898	0
Dusadhtoli	4	675	262520	847943	0
Dusadhtoli	4	535	262100	860977	0
Dusadhtoli	14	541	233889	853506	0
Dusadih	14	541	230159	858081	0
Dusadka	12	604	308928	770382	0
Dusaia	14	712	241891	833907	0
Dusala	33	152	269151	828451	0
Dusambhatola	4	112	246107	844750	0
Dusampu	31	62	170826	782958	0
Dusan Khera	33	685	267275	810529	0
Dusana	20	185	211574	744332	0
Dusara	25	305	186307	828044	0
Dusara	25	305	185617	828823	0
Dusarbid	20	49	200077	763086	0
Dusaria	33	31	269820	814593	0
Dusarikunta Tanda	31	62	172086	781857	0
Dusaripamu	1	258	175397	822219	0
Dusauti	33	654	263216	813641	0
Dusehari	19	208	237389	780726	0
Dusehri Purwa	33	575	264814	818601	0
Duserpur	11	614	300305	762637	0
Dusgaon	31	75	185880	781908	0
Dush Khas	33	694	252838	831655	0
Dushkatha	33	314	266263	835265	0
Dushnan	13	358	331735	755648	0
Dusi	33	314	269288	834067	0
Dusia	33	314	268951	833756	0
Dusilporichrakh	13	289	341692	746141	0
Dusilpur	13	289	341695	746110	0
Dusiot Adwar	12	348	328239	760664	0
Dusipur	33	31	269938	811617	0
Dusiripalli	30	215	125769	777011	0
Duskal	31	62	170684	782474	0
Dusomadlu Tanda	31	62	170338	782890	0
Dusragam	25	373	197175	839765	0
Dusrahera	28	463	274540	768823	0
Dusrahera Ka Bas	28	463	274501	768890	0
Dusraj Patti	33	479	262727	830971	0
Dusrapara	33	282	272551	816267	0
Dusrapara	33	282	272633	816248	0
Dusravandlapalli	1	207	137152	790416	0
Dussanada	25	108	185678	820337	0
Dussapanga	25	349	194815	838639	0
Duswa	33	152	266799	829573	0
Duswanitola	6	269	240443	833805	0
Duswar	33	523	276027	778610	0
Dusyara	19	462	248767	788479	0
