Duta	2	15	275833	938333	0
Dutajargi	25	373	203501	840642	0
Dute	12	83	315691	780541	0
Dutel	12	348	325964	762329	0
Dutelu Adwar	12	348	328650	760110	0
Duth	12	348	323970	760105	0
Duthan	13	529	331776	751610	0
Dutharia	28	263	254902	734310	0
Duthwa	28	330	248809	714979	0
Dutial	27	665	324475	757962	0
Dutikrishnapur	25	399	212937	851678	0
Dutimendi	25	373	204412	843628	0
Dutipara	25	373	204567	843307	0
Dutka	20	151	191172	770673	0
Dutkundi	25	281	217678	855600	0
Dutmari	12	514	306119	776430	0
Dutnur	31	63	188047	791134	0
Duttaluru	1	6	148504	794044	0
Duttapukur	35	432	227711	885396	0
Duttargaon	15	71	174636	766038	0
Duttavarikhandrika	1	6	143426	800736	0
Dutung	12	409	325484	781552	0
