Duwabali	19	323	261197	769838	0
Duwahi	19	420	253604	781500	0
Duwal	13	477	324802	753694	0
Duwal Khalka	13	559	329513	748010	0
Duwal Upla	13	559	329481	748198	0
Duwan	33	33	255154	825556	0
Duwara	19	337	238271	803360	0
Duwari	6	374	222222	828524	0
Duwari	19	313	244288	809943	0
Duwari	33	584	250125	818540	0
Duwari	19	497	248550	811466	0
Duwarikpura	28	120	276497	760330	0
Duwarpahari	14	434	242010	864794	0
Duwarpahari	14	434	240432	864622	0
Duwarwatoli	14	673	241563	842420	0
Duwawa	28	402	250796	747860	0
