Dwarka	10	130	222394	689678	38873
Dwaraka Tirumala	1	25	169543	812559	5543
Dwarahat	34	413	297779	794273	2443
Dwali	34	692	301772	799946	0
Dwanari	12	460	311379	775904	0
Dwanpara	25	290	219428	841260	0
Dwara	34	430	303239	781362	0
Dwaraganahalli	15	422	135360	775506	0
Dwaragudi	25	349	195803	834401	0
Dwarakacherla	1	195	153380	789751	0
Dwarakapuram	1	212	159312	800448	0
Dwarakpur	28	463	274260	767548	0
Dwarakrida	25	349	195546	834454	0
Dwaranahalu	15	97	136764	758364	0
Dwarapalli	15	422	136643	780611	0
Dwarapudi	1	293	169500	819333	0
Dwarapudi	1	176	181399	833705	0
Dwarapur	28	463	274325	762886	0
Dwarapureddipalem	1	176	180832	834932	0
Dwarasuni	25	305	186731	829312	0
Dwarband	3	364	246322	927094	0
Dwarbandh	25	399	212344	850920	0
Dwarch	12	653	313941	775393	0
Dwarekere	15	74	124134	761644	0
Dwarekere Koppal	15	74	124062	761607	0
Dwargaon	25	527	203902	851031	0
Dwarhata	35	268	227914	880633	0
Dwari	19	497	245356	816229	0
Dwari	12	653	314944	776668	0
Dwari	19	512	244861	800586	0
Dwari	34	589	296972	789255	0
Dwari	34	489	297509	798512	0
Dwarika	33	688	257787	819776	0
Dwarika Jot	33	280	270811	830444	0
Dwarika ka Dera	4	597	254417	839584	0
Dwarika Purwa	33	645	262390	797583	0
Dwarikapur	4	381	259846	856163	0
Dwarikhal	34	589	299295	786372	0
Dwarka	8	731	285915	770531	0
Dwarka	19	420	252971	782066	0
Dwarka	11	747	285900	758908	0
Dwarka Chak	33	152	269669	826726	0
Dwarka Chak	4	117	246484	849474	0
Dwarka Parshad	33	282	275413	814488	0
Dwarka Patti	33	314	262989	834961	0
Dwarka Purwa	33	522	270294	824572	0
Dwarka Singh	33	575	261326	821708	0
Dwarkaganj	33	575	263500	821000	0
Dwarkanath Khera	33	301	264839	809764	0
Dwarkapet	31	240	179175	798982	0
Dwarkapur	33	644	277529	781045	0
Dwarkapur	33	593	277462	788267	0
Dwarkapur	33	548	271421	796299	0
Dwarkapur	33	389	272081	784937	0
Dwarkapur	33	445	270887	791325	0
Dwarkapur	33	445	271696	792277	0
Dwarkapur	33	688	258922	820574	0
Dwarkapur	33	561	252336	826374	0
Dwarkapur	33	575	263005	818630	0
Dwarkapur	33	698	260110	810131	0
Dwarkapur	33	605	266960	816120	0
Dwarkapur	33	605	266355	822867	0
Dwarkapur	33	564	258851	834087	0
Dwarkapur	33	479	261316	832425	0
Dwarkapur	4	136	257618	857156	0
Dwarkapur Auraiya	33	686	264580	794762	0
Dwarkapur ki Dhani	28	120	270918	756869	0
Dwarkapur Mafi	33	280	271375	828992	0
Dwarkapuri	33	553	292935	781691	0
Dwarkapuri	33	553	295320	781690	0
Dwarkapuri	33	672	290592	776878	0
Dwarkapurwa	33	282	278039	813392	0
Dwarkhil	34	589	300905	787644	0
Dwarkholi	34	692	299594	796021	0
Dwarki Purwa	33	31	269759	814920	0
Dwarsa	12	460	314050	776831	0
Dwarsu	12	460	312401	771063	0
Dwarsunri	25	281	215050	855995	0
Dwartara	6	285	208810	821254	0
Dwaru	12	267	318185	769210	0
Dwasi	12	267	313212	771512	0
Dwasi	33	591	253464	795773	0
