Enabad	19	311	230587	763262	0
Enada	20	141	212557	781221	0
Enadavadi	30	192	127127	794745	0
Enaderimangalam	30	175	118559	794896	0
Enadi	30	254	104687	792844	0
Enadi	30	436	98422	783078	0
Enadi	30	5	93111	784794	0
Enadi	30	51	117973	780243	0
Enadikarambai	30	254	103063	791356	0
Enadimangalam	30	197	119033	793915	0
Enadimedu	30	175	115052	793330	0
Enadimelpakkam	30	220	133982	801538	0
Enadimitta	1	45	134233	799136	0
Enadipalli	1	207	127428	782945	0
Enadivettu	1	45	135628	799450	0
Enadiyur	30	193	102635	785215	0
Enadriem	9	101	149559	741955	0
Enadur	30	159	128618	797406	0
Enagampalle	1	25	168297	811450	0
Enakudi	30	198	112461	796985	0
Enamadala	1	212	160031	801546	0
Enamadala	1	308	162281	803306	0
Enamadala	1	25	167877	808019	0
Enamadurru	1	307	164896	815278	0
Enamakkal	16	232	105115	760937	0
Enamalamanda	1	207	133613	793256	0
Enamanasanapalli	1	207	127426	782779	0
Enamasamanapalle	1	207	134424	786129	0
Enambakkam	30	220	132878	799946	0
Enanallur	30	254	109169	794254	0
Enangam	30	193	100449	789669	0
Enangudi	30	257	109504	796720	0
Enangudi	30	230	108821	796776	0
Enappatti	30	193	102847	787624	0
Enapur	20	134	198237	798238	0
Enapuram	30	436	98176	785152	0
Enathu	16	216	90910	767549	0
Enattu	16	216	91341	767388	0
Enatutoli	14	678	239398	846140	0
Enayetpur	35	397	250783	879347	0
