Etawah	33	278	267762	790213	257448
Etah	33	682	275588	786569	131023
Etawa	19	338	241835	782029	55185
Etalin	2	411	286040	958664	314
Eta	28	467	291663	741756	0
Eta	33	389	273090	782191	0
Etabarpalli	31	62	172710	782074	0
Etacheri	30	-1	108783	767806	0
Etadhurmi	20	134	195663	805102	0
Etaha	33	688	260405	816438	0
Etahi	33	522	270005	824557	0
Etahia	33	152	268476	826257	0
Etai	6	681	218102	818080	0
Etaili	33	686	267624	793652	0
Etakkad	16	252	113078	757679	0
Etakkal	16	233	116095	762281	0
Etakkare	16	148	113563	763030	0
Etampuram	6	577	179422	809947	0
Etamunda	16	233	117652	759229	0
Etaola	11	286	293317	767422	0
Etaora	19	313	245324	804653	0
Etaora	19	313	245888	805306	0
Etapaka	1	258	176894	809035	0
Etara	33	654	260749	813533	0
Etawa	19	325	220543	786379	0
Etawa	19	443	219952	783688	0
Etawa	28	120	272510	757216	0
Etawa	19	443	215469	780815	0
Etawa	4	590	258530	873724	0
Etawahi	20	390	210098	797445	0
Etawarti	6	80	186056	810340	0
Etayattur	16	232	102314	763305	0
