Gapadra	25	373	203316	843730	0
Gapadra	25	373	203351	843668	0
Gapai	14	434	241612	862540	0
Gapaiya	19	449	230755	805856	0
Gapani	34	692	298908	798503	0
Gapapodoro	6	578	188575	820201	0
Gaparabad	30	184	129436	787727	0
Gapauta	12	348	324539	764803	0
Gapchariapur	33	548	269588	796574	0
Gapchariapur	33	548	269296	797474	0
Gapchariapur	33	686	268692	795385	0
Gapchariapur	33	548	271741	796272	0
Gapchariapur	33	686	267200	795954	0
Gapchariapur	33	645	268047	798808	0
Gapchariapur	33	445	271857	791733	0
Gapha Kalan	4	117	246819	850877	0
Gapha Khurd	4	117	246791	850780	0
Gaphlu Purwa	33	444	254060	803839	0
Gaphul	35	452	241243	879113	0
Gapiguda	31	62	171974	781462	0
Gapkapur	33	686	266371	795503	0
Gapkapur	33	686	265214	796257	0
Gapkapur	33	686	268207	794002	0
Gapkapur	33	686	266898	793653	0
Gappacharia	33	445	270642	794073	0
Gappo Chak	4	507	251752	848542	0
