Gen	12	460	311041	777550	0
Gen Bigha	4	117	250276	847486	0
Gen Thimmaiah Rd	15	43	129683	776128	0
Genadhana	19	446	219836	770014	0
Genadih	4	505	248971	863070	0
Genaishakuni	15	333	140617	750283	0
Genapara	22	385	253000	900167	0
Genbapuram	30	192	122764	791897	0
Gencha	12	460	313357	776651	0
Genchwara	33	370	248043	784008	0
Gend Purwa	33	595	277336	818927	0
Gend Purwa	33	522	268995	819515	0
Gend Singh Khera	33	301	264981	808785	0
Genda	20	182	219005	742656	0
Genda Qabula	33	417	257611	790699	0
Gendadih	4	117	246284	852091	0
Gendakattedoddi	15	603	126531	772517	0
Gendali	25	527	203029	845755	0
Gendalpoda	25	281	219642	852855	0
Gendamau	33	645	265129	798581	0
Gendapali	6	611	215992	827750	0
Gendarampura	28	428	260832	743998	0
Gendatola	6	455	209024	806427	0
Gendaura	33	370	248754	786042	0
Gendbra	33	458	292053	774399	0
Gendehalli	15	652	131837	757574	0
Gendemulanahundi	15	74	121920	766692	0
Gendidhana	19	325	225903	791051	0
Gendiganapalli	30	215	125210	777433	0
Gendiganur	30	215	122243	786229	0
Gendla	15	333	145034	751060	0
Gendna	12	348	324910	761729	0
Gendra	14	379	240870	845654	0
Gendra Bara	19	153	220421	742830	0
Gendra Chota	19	153	220314	742917	0
Gendra Khera	33	152	269667	826440	0
Gendtoli	14	416	228779	851251	0
Gendung	14	276	223278	852043	0
Gendurbadi	25	373	201973	844981	0
Genduri	33	698	257791	809506	0
Gendwadih	14	454	244700	856533	0
Gengadi	16	233	116403	763223	0
Gengaimuttanpatti	30	264	101170	780669	0
Gengaiyadikuppam	30	220	132844	801995	0
Gengalaparutti	30	109	120367	781057	0
Gengampundi	30	192	123961	794550	0
Gengandoddi	30	220	134141	801172	0
Genganellur	30	184	128745	789909	0
Gengankottai	30	109	121290	782128	0
Gengaperampatti	30	215	123068	785434	0
Gengapuram	30	215	126911	779327	0
Gengapuram	30	158	131282	794894	0
Gengapuram	30	197	123626	793999	0
Gengapuram	30	204	113706	776528	0
Gengaria	10	140	232189	737198	0
Gengasamudram	30	184	129223	788738	0
Gengasanikuppam	30	184	127451	788926	0
Gengavaram	30	215	124076	783327	0
Gengenda	25	527	202013	846198	0
Gengimottur	30	158	130908	795247	0
Genginayakkampatti	30	215	123051	785264	0
Gengisettihalli	30	109	122255	782087	0
Gengta Mafi	33	280	271440	830727	0
Gengtipali	25	546	214664	839995	0
Gengtung	2	671	273155	931942	0
Gengupattu	30	192	121462	791597	0
Gengutia	25	277	209981	852603	0
Genharia	4	457	272648	845752	0
Genharia	4	457	272481	845691	0
Genhukheri	19	16	236028	767392	0
Genhuras	19	326	235343	782584	0
Geni	13	-1	332696	740294	0
Genitikatta	15	44	148982	764899	0
Genjana	4	117	245036	846100	0
Genji	28	493	237162	736959	0
Genji	6	642	207070	810950	0
Genmer	14	476	224721	849789	0
Genokhali	35	4	222737	887659	0
Genre	14	379	242798	846532	0
Gensi	2	555	278201	946186	0
Gentha	14	673	240143	842755	0
Genthatola	14	678	237134	842344	0
Genur	15	375	133433	777496	0
