Ghosi	33	564	261059	835393	39138
Ghoti Budrukh	20	54	197164	736282	24838
Ghorabandha	14	562	227724	862711	20718
Ghogardiha	4	535	262799	864700	18257
Ghogha	10	165	216881	722763	12208
Ghogaon	19	317	219162	757473	11054
Ghoradongri	19	443	221243	779997	9745
Ghorawal	33	102	247546	827797	7492
Ghoh	27	665	323299	756748	6883
Gho Brahmanan de	13	690	325559	749539	4040
Ghomanhasan	13	559	327218	747350	3944
Ghoga	4	396	252174	871571	3766
Gho	12	514	309256	773899	0
Gho Brahmanan	13	690	325545	749542	0
Gho Rukwalen de	13	690	325542	749482	0
Ghoas	33	102	247401	826581	0
Ghobewala	12	-1	316828	759961	0
Ghoch	27	665	323227	756396	0
Ghochapur	6	374	228374	825078	0
Ghochotoli	14	310	230746	846307	0
Ghod	20	52	190465	738387	0
Ghoda Khurd	19	635	223867	757841	0
Ghodada	20	185	210263	742051	0
Ghodadian	25	546	212550	843911	0
Ghodaganj	4	491	262858	879311	0
Ghodaj	20	138	188572	771556	0
Ghodakyachi Pimpri	20	151	195117	764315	0
Ghodapokhari	25	273	197000	832980	0
Ghodapur	31	346	192020	778870	0
Ghodasar	10	133	244506	718508	0
Ghodasgaon	20	78	210448	761341	0
Ghodasgaon	20	132	210599	774189	0
Ghodasgaon	20	185	212071	750384	0
Ghodasgaon	20	78	205628	755127	0
Ghodasgaon	20	78	205663	755109	0
Ghodasivadi	20	150	196376	739668	0
Ghodbar	10	137	214202	733053	0
Ghodchandi	20	132	209573	772187	0
Ghodchapad	20	78	213584	754346	0
Ghodda	20	78	206711	752563	0
Ghodedurg	15	77	156977	744362	0
Ghodegaon	20	53	197431	761256	0
Ghodegaon	20	141	206480	783031	0
Ghodegaon	20	54	204301	745186	0
Ghodegaon	20	78	203494	748851	0
Ghodegaon	20	112	200103	752673	0
Ghodeghat	20	139	208735	788939	0
Ghodgaon	20	78	212368	751094	0
Ghodi	20	49	209355	761735	0
Ghodi Buzurg	19	317	217039	758563	0
Ghodi Dogri	12	460	312421	779393	0
Ghodi Khurd	19	317	217159	758447	0
Ghodial	10	140	232906	738286	0
Ghodiavad Pada	20	182	214453	741280	0
Ghodiyal	10	133	241096	725904	0
Ghodkhindi	20	67	203022	781637	0
Ghodlya	19	239	216282	749538	0
Ghodna	12	460	310419	774802	0
Ghodnal	10	124	232210	731035	0
Ghodnal Muwara	10	124	232239	731075	0
Ghodpaka	25	683	213226	849031	0
Ghodpend	19	443	214274	780026	0
Ghodpeth	20	110	200629	791721	0
Ghodsera	31	346	191983	779567	0
Ghodvad	20	78	212433	758056	0
Ghog	12	460	310223	774703	0
Ghog	11	614	298983	762781	0
Ghoga	3	726	263031	914314	0
Ghoga	8	737	288311	770500	0
Ghoga	27	608	307089	765565	0
Ghoga Kheri	27	608	307205	765526	0
Ghogain	13	477	323731	754095	0
Ghogal	19	443	215432	775030	0
Ghogal Pada	20	182	212711	742030	0
Ghogalgaon	19	202	221688	762284	0
Ghogali	20	139	212408	788675	0
Ghogalpur	19	153	221872	742771	0
Ghogaltoli	14	740	233645	847768	0
Ghogama	19	443	216356	776823	0
Ghogapur	20	141	204009	787093	0
Ghogara Tola	33	539	268703	836109	0
Ghogarh	25	546	216331	841804	0
Ghogari	12	604	309902	771352	0
Ghogari	19	568	226021	779206	0
Ghogari	19	336	233838	806764	0
Ghogarwal	12	604	310343	766947	0
Ghogha	33	584	252189	821561	0
Ghogha	4	457	269462	846107	0
Ghogha	4	457	269117	846005	0
Ghoghaha	4	394	250470	842828	0
Ghoghai	33	584	252440	816192	0
Ghoghaili	4	602	255741	872776	0
Ghogham	19	497	246512	821175	0
Ghoghamba	10	177	225708	736446	0
Ghoghapur	33	584	253246	818714	0
