Gobindgarh	27	624	306709	763019	82266
Gobichettipalayam	30	204	114550	774422	59523
Gobardanga	35	432	228774	887548	43808
Gobindpur	14	628	226339	860716	27066
Gobindapur	3	440	261633	905927	11863
Gobindapur	35	340	225931	880914	11781
Gobindpur	14	387	238356	865185	11318
Gobindpur	33	672	288562	777715	2556
Gobabsuri	23	235	220477	926020	178
Goba	19	509	251536	788485	0
Goba	33	548	270291	797384	0
Goba	19	462	250489	791723	0
Goba	33	31	272278	813815	0
Gobadda	4	518	251839	865745	0
Gobadwala	33	492	291431	788222	0
Gobaidih	14	541	232006	855518	0
Gobakund	25	580	199500	858833	0
Gobal	13	573	342819	748986	0
Gobal	33	656	282717	797964	0
Gobalkhand	34	413	296273	792587	0
Gobar	33	595	277349	819148	0
Gobar	33	595	275860	819810	0
Gobar	33	595	275240	818838	0
Gobar	33	282	274441	817871	0
Gobar	28	550	253632	738403	0
Gobar Bigha	4	117	247221	850330	0
Gobar Garha	4	636	259201	865799	0
Gobar Garha	4	636	258371	867535	0
Gobar Muwara	10	124	231639	732337	0
Gobar Nand	12	39	320205	762792	0
Gobar Sahai	33	626	255007	814162	0
Gobara	33	584	250266	818410	0
Gobaraha	33	196	252273	825066	0
Gobarahi	33	564	261994	837361	0
Gobarahi	4	520	259144	845129	0
Gobarahia	33	152	268480	827933	0
Gobarahia	33	496	270672	832488	0
Gobarajugudem	31	46	175606	811297	0
Gobarapalle	1	195	152970	790336	0
Gobarapalli	25	349	193033	833983	0
Gobarbandha	14	732	240844	853971	0
Gobarbel	19	443	217639	771555	0
Gobarbeli	19	354	220080	794711	0
Gobarda	19	323	260268	768655	0
Gobardaha	14	712	241119	839533	0
Gobardaha	33	196	250026	828503	0
Gobardaha	33	196	250126	828445	0
Gobardaha	14	712	238524	838175	0
Gobardaha	14	712	239177	838484	0
Gobardaha	4	117	245946	852788	0
Gobardaha	4	518	250045	864928	0
Gobardaha	4	567	251462	863445	0
Gobardaha	14	434	246896	858910	0
Gobardaha	4	505	249985	863467	0
Gobardaha	4	505	246320	864455	0
Gobardaha	14	483	243951	864885	0
Gobardarha	14	377	236321	855604	0
Gobardha	19	512	242744	804712	0
Gobardha	14	434	240163	862547	0
Gobardha Vilas	28	22	245442	736887	0
Gobardhad Bigha	4	112	248488	842323	0
Gobardhan	19	420	257918	775342	0
Gobardhan	6	676	201840	815268	0
Gobardhan	14	276	220580	858428	0
Gobardhan	25	281	217436	855970	0
Gobardhan Badmal	25	546	213585	841343	0
Gobardhan Bigha	4	112	250868	846175	0
Gobardhan Bigha	4	495	251006	856055	0
Gobardhan Kurmi	33	522	270209	824944	0
Gobardhan Purwa	33	282	275863	816493	0
Gobardhan Purwa	33	282	274542	817553	0
Gobardhana	4	457	273172	843079	0
Gobardhana	4	457	270314	844449	0
Gobardhandas	33	282	277620	813887	0
Gobardhandas ka Purwa	33	698	258239	811139	0
Gobardhani	33	496	271678	835225	0
Gobardhanpur	33	523	278192	783835	0
Gobardhanpur	33	584	257346	820112	0
Gobardhanpur	33	33	257185	822234	0
Gobardhanpur	33	242	253673	831640	0
Gobardhanpur	4	597	253251	839769	0
Gobardhanpur	33	444	253417	803471	0
Gobardhanpur	33	698	259997	809777	0
Gobardhanpur	33	33	256277	826258	0
Gobardhanpur	33	196	252222	827320	0
Gobardhanpur	33	479	257075	829956	0
Gobardhanpur	33	698	259629	810112	0
Gobardhanpur	33	637	262333	818548	0
Gobardhanpur	33	637	260666	818262	0
Gobardhanpur	33	269	272244	824878	0
Gobardhanpur	33	532	265107	825661	0
Gobardhanpur	33	532	262741	826524	0
Gobardhanpur	33	479	258483	832890	0
Gobardhanpur	33	532	263886	828754	0
Gobardhanpur	33	532	263369	830358	0
Gobardhanpur	33	532	263435	830778	0
Gobardhanpur	33	479	262453	831837	0
Gobardhanpur	33	27	257151	836489	0
Gobardhanpur	33	488	275218	808700	0
Gobardhanpur	33	488	274627	808460	0
Gobardhanpur	6	17	219129	834117	0
Gobardhanpur	33	613	283805	781065	0
Gobardhanpur	33	654	260375	812820	0
Gobardhanpur	33	688	260547	817034	0
Gobardhanpur	25	273	199962	833759	0
Gobardhanpur	4	382	265827	846083	0
Gobardhanpur	4	394	249493	841603	0
Gobardhanpur	4	394	252340	841351	0
Gobardhanpur	4	117	245919	846978	0
Gobardhanpur	14	570	251027	873369	0
Gobardhanpur	33	659	270313	801559	0
Gobardhanpur	25	527	203685	848714	0
Gobardhanpur	25	277	206926	851365	0
Gobardhanpur	25	292	203949	852366	0
Gobardhanpur	25	521	202071	852208	0
Gobardhanpur	25	373	202314	845480	0
Gobardhanpur	33	688	257665	819520	0
Gobardhanpur Kanap	4	112	250682	845241	0
Gobardhanpur Nurullahpur	33	532	264908	829431	0
Gobardhanpura	28	321	243513	763544	0
Gobardhanpura	28	321	242871	765354	0
Gobardhanpura	28	487	244459	768151	0
Gobardhanpura	19	311	226688	762660	0
Gobardhanpura	33	710	261059	791528	0
Gobardhansai	25	368	220410	859845	0
Gobardhantanr	4	117	245359	849075	0
Gobardih	14	379	243379	847788	0
Gobardiha Chak	4	117	245834	850230	0
Gobare Purwa	33	282	272353	815420	0
Gobargaon	19	503	228426	790796	0
Gobargarha	4	410	261225	866199	0
Gobargarha	4	535	261542	865183	0
Gobargarha	14	434	240988	860540	0
Gobargari	35	452	246523	879826	0
Gobarha	33	242	253614	831608	0
Gobarha	33	694	252660	832352	0
Gobarha	33	445	270045	792034	0
Gobarha	33	33	259965	825768	0
Gobarha	33	301	262127	807566	0
Gobarha	33	479	260723	828735	0
Gobarha	33	516	260350	837585	0
Gobarha	33	312	278205	802967	0
Gobarha Grant	33	312	279943	804086	0
Gobarhai	33	329	284454	791922	0
Gobarhappa	14	541	234784	854003	0
Gobarhela	19	208	234555	779306	0
Gobarhi	33	539	268151	838696	0
Gobari	33	282	274775	817438	0
Gobari	33	516	260771	837887	0
Gobari	25	277	211023	854880	0
Gobari Purwa	33	282	272202	816379	0
Gobaria	35	340	225589	881375	0
Gobaria	33	694	252780	830995	0
Gobaria	33	564	258894	836916	0
Gobaria	19	497	250472	816562	0
Gobaria	19	354	224608	800019	0
Gobaria	4	495	252885	855486	0
Gobaria Purwa	33	605	267791	816461	0
Gobariya	33	619	252530	807982	0
Gobariya	33	102	246980	829492	0
Gobarkahu	20	132	215871	770104	0
Gobarkunda	25	108	184641	822063	0
Gobarlecha	14	476	225016	841344	0
Gobarsanda	33	451	279268	798506	0
Gobarsela	14	310	235107	843760	0
Gobarsila	14	740	234104	846379	0
Gobarsingha	6	611	216223	832668	0
Gobarsola	14	483	242483	868077	0
Gobarta	12	267	316181	768092	0
Gobartoli	4	663	251235	857662	0
Gobartoli	14	541	235416	854771	0
Gobarwahi	20	390	215204	797241	0
Gobarwahi Heti	20	390	215058	797303	0
Gobarwatola	14	712	243078	837088	0
Gobasoru	25	373	203773	843165	0
Gobatbadi	25	373	200021	840936	0
Gobbarampalle	1	426	140540	774712	0
Gobbargumpi	15	655	156031	753301	0
Gobbargunte	15	375	132919	777330	0
Gobbillamadugu	1	258	175159	821198	0
Gobburavanipalle	1	195	152918	791055	0
Gobburu	1	219	176203	828765	0
Gobburu	1	453	183812	836965	0
Gobburu	1	195	158191	792692	0
Gobburupalem	1	219	176160	829030	0
Gobburuvaripalli	1	190	141014	792648	0
Gobdaur	33	532	263014	830965	0
Gobdiha	4	495	250631	853435	0
Gobea	14	379	243982	845892	0
Gobepur	33	278	269388	789096	0
Gobgon	15	59	144876	748701	0
Gobhapara	25	273	198970	831700	0
Gobhapara	25	273	199064	832220	0
Gobhia	33	522	268591	819311	0
Gobhia	33	152	267710	824989	0
Gobhia	33	152	268812	825812	0
Gobhiatoli	14	498	236477	858481	0
Gobhindapur	33	152	268435	823502	0
Gobhrahia	33	152	266485	826005	0
Gobidih	14	498	235108	859861	0
Gobidnpur	4	495	251829	852190	0
Gobidpur	33	282	275283	816577	0
Gobila	35	432	226794	887008	0
Gobina	33	575	262109	825396	0
Gobina	4	394	250154	841016	0
Gobinamakki	15	97	135111	753921	0
Gobinapur	4	615	261037	846107	0
Gobinapur	4	520	260386	848641	0
Gobinapur	4	597	254216	842183	0
Gobind	33	314	264283	832059	0
Gobind	33	515	264664	837081	0
Gobind Bigha	4	112	250948	846577	0
Gobind Bigha	4	106	247707	854930	0
Gobind Chak	4	112	247899	843685	0
Gobind Chak	4	520	257254	851303	0
Gobind Das	33	522	270557	821030	0
Gobind Daski Kuti	33	654	262633	810815	0
Gobind Khera	33	659	271826	805818	0
Gobind Majra	11	482	300489	768228	0
Gobind Nagla	33	116	278910	793405	0
Gobind Nagla	33	116	277938	792749	0
Gobind Pande	33	522	268632	821255	0
Gobind Pansahi	25	399	208981	848508	0
Gobind Purwa	33	522	270565	819415	0
Gobind Purwa	33	654	262797	813534	0
Gobind Purwa	33	522	269959	818780	0
Gobind Purwa	33	522	269450	819312	0
Gobind Ram	33	522	268945	821228	0
Gobind Singh	33	282	276924	814939	0
Gobinda	6	299	211460	819846	0
Gobinda Khera	19	-1	250305	803804	0
Gobinda Sarai	33	488	274801	807880	0
Gobindadih	14	434	243172	859844	0
Gobindadih	14	434	241621	864669	0
Gobindanj	4	382	265205	846623	0
Gobindapur	33	329	284035	794023	0
Gobindapur	35	361	232582	879800	0
Gobindapur	25	674	206829	865130	0
Gobindapur	35	4	217849	881644	0
Gobindapur	35	268	227267	880975	0
Gobindapur	35	432	228811	888906	0
Gobindapur	35	361	234597	882516	0
Gobindapur	4	597	255316	839560	0
Gobindapur	33	584	254445	822530	0
Gobindapur	33	488	277030	812092	0
Gobindapur	33	282	275428	816695	0
Gobindapur	33	152	269037	822792	0
Gobindapur	33	152	267343	823462	0
Gobindapur	33	152	269835	826994	0
Gobindapur	33	152	266271	826576	0
Gobindapur	33	152	266710	826924	0
Gobindapur	33	152	269652	828109	0
Gobindapur	33	496	270151	835441	0
Gobindapur	33	314	264320	833675	0
Gobindapur	33	488	274026	807775	0
Gobindapur	4	615	261170	844746	0
Gobindapur	4	615	262301	845741	0
Gobindapur	4	382	265852	848866	0
Gobindapur	4	382	264533	849234	0
Gobindapur	33	488	273327	806162	0
Gobindapur	33	488	272927	807313	0
Gobindapur	33	488	273122	806142	0
Gobindapur	35	452	246581	879593	0
Gobindapur	35	347	243948	878764	0
Gobindapur	35	347	242004	878212	0
Gobindapur	35	452	240333	878884	0
Gobindapur	35	347	241796	878798	0
Gobindapur	25	281	218858	857986	0
Gobindapur	25	399	209040	847540	0
Gobindapur	15	-1	274299	838537	0
Gobindapur Diara	4	687	256213	852358	0
Gobindauli	33	516	258314	844643	0
Gobindbandh	6	611	216462	827180	0
Gobindchandrapur	25	527	200198	851887	0
Gobinddas	33	575	261395	821331	0
Gobinddaspur	33	33	256801	822069	0
Gobinddih	4	363	252996	843940	0
Gobinddih	35	400	232332	859550	0
Gobinddih	14	434	243927	862633	0
Gobinddin Khera	33	301	263957	808294	0
Gobindganj	33	623	265569	829157	0
Gobindganj	33	496	271356	831492	0
Gobindgarh	11	482	299585	770298	0
Gobindgarh	11	439	296194	767314	0
Gobindgarh	11	482	299540	768405	0
Gobindgarh	27	3	301783	742565	0
Gobindgarh	11	88	301546	773195	0
Gobindgarh	11	563	298822	746949	0
Gobindgarh	27	700	304171	749416	0
Gobindgarh	27	704	309621	764033	0
Gobindgarh	11	664	302703	767341	0
Gobindgarh	27	544	312270	753405	0
Gobindgarh	27	608	306362	766623	0
