Goe Bigha	4	495	252210	853763	0
Goel Mara	25	683	214702	850287	0
Goela	28	428	261239	749477	0
Goela	11	524	282404	769634	0
Goela	33	525	293044	775940	0
Goela	34	413	295720	794484	0
Goela Kalan	11	286	293191	771226	0
Goela Kalan	11	586	286199	767885	0
Goela Khurd	8	731	285856	770113	0
Goela Khurd	11	286	293025	771293	0
Goelkera	14	310	230874	848239	0
Goelwara	31	717	188344	794180	0
Goempa	17	2	350562	773108	0
Goer	14	416	226976	851131	0
Goera	12	604	309778	768023	0
Goera	33	654	261037	814102	0
Goeratoli	14	678	235566	840850	0
Goerbeta	25	373	203392	842391	0
Goetha	33	532	264151	824082	0
