Goyerkata	35	579	266998	890257	66358
Goyali	28	23	248995	728304	5728
Goya	14	310	231884	845749	0
Goyaghato	4	505	248227	862974	0
Goyagonda	25	423	201573	847541	0
Goyal	19	334	238023	763479	0
Goyal	12	604	310841	766985	0
Goyaliwala	12	604	311479	767251	0
Goyalkheri	19	648	230296	769287	0
Goyamara	35	4	217800	880846	0
Goyanda	6	676	203912	809619	0
Goyapur	33	445	270595	791970	0
Goyar	15	59	149661	742901	0
Goyara	28	487	253237	772318	0
Goyari	33	152	267083	826568	0
Goyari	28	163	232019	744841	0
Goyath	19	446	225129	770916	0
Goyha	20	151	194178	766123	0
Goyiguda	25	108	184900	823168	0
Goyiguda	1	194	188939	837891	0
Goyilakona	25	349	196770	834694	0
Goyilikari	25	108	183110	823674	0
Goyindpuri Extension	8	403	285296	772573	0
Goyl	12	604	311510	766974	0
Goyli	33	553	291000	783154	0
Goyra	19	638	250403	801259	0
Goyra Mughli	33	444	254838	802325	0
Goyun	34	589	298263	786960	0
