Hilsa	4	495	253164	852823	51052
Hill Town	21	421	243402	936914	2293
Hill -2	25	368	222452	864616	404
Hil	13	485	332797	741799	0
Hil Kaka	13	1	336998	744145	0
Hila	13	358	332522	756773	0
Hiladhalli	15	91	147177	757192	0
Hilagam	30	215	125641	780146	0
Hilagar	15	248	138191	747255	0
Hilagodu	15	333	140608	751568	0
Hilakunji	15	333	138235	750661	0
Hilalapur	15	50	160469	766802	0
Hilalganj	33	654	263249	811625	0
Hilalganj	33	654	263203	811416	0
Hilali	33	33	258091	824280	0
Hilalpur	33	458	291942	771935	0
Hilalpur	33	450	269417	799574	0
Hilalpur	33	479	257064	830683	0
Hilalpur	33	479	257143	830222	0
Hilalpur	33	522	270169	819794	0
Hilalpur	33	479	257651	830751	0
Hilalpur	33	532	265635	825635	0
Hilalpur	33	479	260872	827233	0
Hilalpur	20	112	200769	747750	0
Hilalpur	33	488	276015	808125	0
Hilalpur Khausripur	33	488	277201	809193	0
Hilan	13	289	341949	742174	0
Hilang	12	348	323558	764885	0
Hilang	25	683	213857	845858	0
Hilar Arahom	13	146	336266	752357	0
Hilar Shahabad	13	146	335695	751969	0
Hilaswali	34	430	303035	781733	0
Hilau	13	651	337455	749228	0
Hilauda	19	129	231064	753050	0
Hilauli	33	301	264549	809402	0
Hilauli	33	654	260726	808258	0
Hilaway	14	570	249455	871656	0
Hilay	28	22	249703	733448	0
Hilchur	6	620	204741	808596	0
Hilchur	6	676	203608	809043	0
Hilgan	33	370	243248	788766	0
Hilgan	19	338	237709	789042	0
Hilgawan	19	322	264215	790884	0
Hilgi	33	685	266037	808994	0
Hilgi	33	654	263288	812281	0
Hilgi	33	656	281890	799627	0
Hilgona	19	324	246131	772706	0
Hilguan	19	638	248417	793722	0
Hilha	33	654	264625	813371	0
Hilichhina	34	413	297195	796132	0
Hilihalli	15	91	146293	755737	0
Hilimuthi	16	233	118591	760470	0
Hill Colony	31	100	166087	793039	0
Hillaipurwa	19	462	248380	792620	0
Hillan	13	485	333987	744761	0
Hillapur	33	659	275718	802349	0
Hillar	13	289	341233	741844	0
Hilli	20	131	173527	760697	0
Hilman	34	692	300887	798833	0
Hilmishan	13	76	339989	746986	0
Hilni	12	39	320624	763388	0
Hilog	12	267	317758	769882	0
Hilogi	34	589	299078	785755	0
Hilonda	19	313	245980	806569	0
Hilondi	19	336	234162	806483	0
Hilora	35	452	244977	879658	0
Hilsa	33	564	260405	835252	0
Hilsanr	4	615	261165	846796	0
Hilsanr Tola	4	615	261149	846836	0
Hilsi	33	152	267724	823459	0
Hilu	12	348	330195	766058	0
Hilua	33	591	251411	796055	0
Hilung	25	372	208112	841145	0
Hilung	25	297	208857	840591	0
Hilwari	33	458	290652	772909	0
