Homnabad	15	167	177707	771252	44483
Hom Basti	35	551	270361	883591	0
Hom Kundi	34	179	303137	797397	0
Homadrivaripalli	1	190	142480	791562	0
Homantalapalli	31	100	167623	788014	0
Homardi	15	91	147309	754265	0
Homarpur	4	510	252943	861523	0
Hombai	14	541	234196	854102	0
Hombal	15	583	155166	755546	0
Hombala	15	97	133312	756520	0
Hombalagatti	15	352	147884	760333	0
Hombalesiddegaudanadoddi	15	93	126457	769182	0
Hombegaudanakoppal	15	93	127170	769050	0
Hombegowdandoddi	15	603	128124	771674	0
Hombli	15	91	148306	752502	0
Homdun	13	35	336581	757655	0
Homfrayganj	0	104	116000	926667	0
Homhan	13	651	337609	749396	0
Homia	14	712	238333	837691	0
Homira Ka Bas	28	463	279779	768880	0
Homkul	12	83	313969	783526	0
Homma	15	69	119913	770005	0
Hommaragalli	15	74	121208	764733	0
Hompalgatta	15	43	126943	777000	0
Hompathar	13	36	335461	749936	0
Homsa	1	453	188048	839204	0
Homte	12	83	316286	780183	0
Homtich Thach	12	83	317445	782309	0
Homul	13	35	336121	757833	0
