Ilaiyankudi	30	436	96251	786243	24767
Ilampillai	30	51	116066	780068	11797
Ilanji	30	236	89605	772800	10282
Ilabas	33	525	294761	779746	0
Ilachchipalaiyam	30	223	113868	780122	0
Ilachinagar	33	269	275716	821649	0
Ilad	20	151	189983	768326	0
Ilagalur	1	45	139107	795862	0
Ilahabad	11	722	279856	774404	0
Ilahabad Mandaiya	33	672	288282	778304	0
Ilahabas	33	445	271515	792362	0
Ilahabas	33	496	272315	832765	0
Ilahi	33	575	262414	821989	0
Ilahi	19	648	228786	766464	0
Ilahi Gujar	33	688	261418	816111	0
Ilahi Khera	33	685	267021	811240	0
Ilahi Khera	33	659	271264	806110	0
Ilahi Purwa	33	591	255866	800089	0
Ilahi Purwa	33	282	276753	815327	0
Ilahi Purwa	33	269	271001	824240	0
Ilahi Purwa	33	522	270597	824493	0
Ilahi Purwa	33	488	274454	807005	0
Ilahibagh	13	588	341522	748107	0
Ilahibakbali Purwa	33	31	271585	810516	0
Ilahiganj	33	654	261560	814529	0
Ilahipalli	31	63	187614	788261	0
Ilaichipur	33	697	287623	772649	0
Ilaiyalur	30	198	110795	797164	0
Ilaiyampalaiyam	30	223	113690	780072	0
Ilaiyampalaiyam	30	223	113616	780476	0
Ilaiyampatti	30	109	121529	785168	0
Ilaiyanainarkulam	30	186	84111	776342	0
Ilaiyanainarkulam	30	186	82608	777245	0
Ilaiyankudi	30	436	98804	788071	0
Ilaiyankudi	30	5	97628	789400	0
Ilaiyankulam	30	186	85078	777015	0
Ilaiyaperumalnallur	30	369	112236	794555	0
Ilaiyaperumalpatti	30	427	107743	782439	0
Ilaiyapuram	30	223	113085	781009	0
Ilaiyarasanendal	30	201	92155	777862	0
Ilaiyattanvayal	30	5	98119	789890	0
Ilaiyur	30	369	112259	793087	0
Ilaiyur	30	257	108341	794678	0
Ilaiyur	30	230	108938	796728	0
Ilaiyur Kilveli	30	369	112284	793156	0
Ilaiyur Melveli	30	369	112294	793029	0
Ilakadividudi	30	193	104281	790965	0
Ilakaman	16	211	87800	767277	0
Ilakhar	28	288	280020	759578	0
Ilakkanivayal	30	436	99606	788403	0
Ilakkudipatti	30	193	101757	786876	0
Ilakollur	16	216	92419	768257	0
Ilam	35	397	253925	879529	0
Ilam Bazar	35	347	236260	875386	0
Ilam Chak	4	112	250410	845321	0
Ilama	16	173	100175	762890	0
Ilamad	16	528	88974	768398	0
Ilamakulam	30	201	84913	778761	0
