Jhansi	33	417	254589	785799	412927
Jharsuguda	25	290	218553	840070	97730
Jharia	14	387	237408	864146	86938
Jhalawar	28	321	245963	761650	66919
Jhargram	35	639	224538	869950	57796
Jhajjar	11	586	286063	766565	48424
Jhajha	4	505	247711	863789	40646
Jhalrapatan	28	321	245421	761724	37506
Jhabua	19	335	227677	745909	35753
Jhanjharpur	4	535	262647	862799	31283
Jhalod	10	170	231010	741554	28720
Jhadeshwar	10	149	217136	730323	28148
Jharoda Mazra Burari	8	701	287301	772091	22878
Jhalu	33	553	293361	782261	20356
Jharoda Kalan	8	731	286526	769521	19578
Jhalida	35	400	233655	859764	18057
Jhagra Pt.III	3	540	260399	899592	8838
Jhakal Mandi	11	425	298076	758249	7788
Jhagrakhand	6	494	231942	821976	7680
Jhagarwas	28	414	269148	743141	5728
Jhab	28	330	250236	718339	4349
Jhab	10	170	231230	740767	0
Jhab	10	140	231781	738613	0
Jhaba	19	129	223467	747468	0
Jhaba	14	434	245838	858915	0
Jhabal Purwa	33	522	269622	819407	0
Jhabal Purwa	33	659	272139	801453	0
Jhabali Khas	27	543	305400	762801	0
Jhabali Sani	27	543	305249	762559	0
Jhabalpur	33	659	272193	802121	0
Jhabar	33	548	270704	794843	0
Jhabar	33	593	278802	786117	0
Jhabar	33	488	274885	812031	0
Jhabar	6	725	227780	820233	0
Jhabar	6	611	215837	832453	0
Jhabar	14	673	239986	842014	0
Jhabar	14	678	238586	847492	0
Jhabar Jot	33	522	273877	820068	0
Jhabar Khera	33	685	270028	808047	0
Jhabar Purwa	33	686	266224	795440	0
Jhabara	33	686	266575	797044	0
Jhabargarha	14	379	243134	849928	0
Jhabarhardopatti	33	654	261338	808942	0
Jhabaria Purwa	33	659	275655	801771	0
Jhabarpur	34	574	299649	780102	0
Jhabarpur	33	525	296391	779084	0
Jhabarpur	33	278	268231	788723	0
Jhabarra	19	638	243903	796599	0
Jhabartola	6	725	227814	820312	0
Jhabba	33	698	257814	808242	0
Jhabba Khera	33	685	270631	806682	0
Jhabbalpur	28	113	271617	775929	0
Jhabbapuri	33	672	290052	780308	0
Jhabbu Ahir ka Purwa	33	444	252327	806294	0
Jhabbu Chak	4	581	253604	849209	0
Jhabbunagar	33	116	279480	789945	0
Jhabbupur	33	661	275279	793308	0
Jhabdatanr	14	434	243801	863092	0
Jhabel Khera	34	617	290314	796738	0
Jhabelwali	27	592	305125	746007	0
Jhabiapur	33	31	267829	812486	0
Jhabiran	34	574	297953	781196	0
Jhabiran	33	431	299565	773979	0
Jhabiran	33	431	297099	775039	0
Jhabiran	33	431	296817	776427	0
Jhabiran	34	574	297824	778437	0
Jhabkara	27	468	321612	753679	0
Jhabra	13	485	333272	742794	0
Jhabra	33	548	269648	798236	0
Jhabra	33	417	257647	791189	0
Jhabra	33	242	253285	828221	0
Jhabra	33	312	278108	812450	0
Jhabra	33	31	271784	809792	0
Jhabra	33	488	273340	805676	0
Jhabra	33	488	272358	810129	0
Jhabra Balhora	33	451	277145	798314	0
Jhabra Basoria	33	522	269376	817802	0
Jhabra Purwa	33	659	274302	800907	0
Jhabra Purwa	33	659	273199	801525	0
Jhabra Purwa	33	659	271620	800546	0
Jhabrapur	33	278	269304	788507	0
Jhabrapur	33	31	273155	812558	0
Jhabrapur	33	31	271404	813195	0
Jhabrar	34	430	307928	778836	0
Jhabratoli	14	740	235277	848028	0
Jhabrawala	34	430	301412	780994	0
Jhabrera	34	574	298098	777768	0
Jhabreri Kalan	34	574	298166	777953	0
Jhabreri Khurd	34	574	298252	778029	0
Jhabri	34	574	298604	780968	0
Jhabri	6	365	217095	825359	0
Jhabri	35	400	231975	859715	0
Jhabri Khurd	33	31	269882	810288	0
Jhabrian	13	485	333782	742469	0
Jhabridomar	14	678	237101	847159	0
Jhabriya	19	311	225298	767391	0
Jhabu	10	170	226649	741756	0
Jhabu Khera	33	444	251223	804566	0
Jhabua	19	335	230556	747395	0
Jhabuapura	19	326	233176	786878	0
Jhabugam	10	125	222870	737659	0
Jhabwa	11	500	280162	766211	0
Jhada	20	132	207951	782689	0
Jhada	19	502	236486	799194	0
Jhada	33	329	281010	796381	0
Jhadabandh	25	399	211962	850424	0
Jhadabhumi	25	423	199164	847201	0
Jhadbeda	25	281	211874	854099	0
Jhadegaon	20	127	203356	773851	0
Jhadgaon	20	151	191526	768253	0
Jhadgaon	20	132	207484	782731	0
Jhadgaon	20	141	208004	785211	0
Jhadgaon	20	67	203644	785496	0
Jhadgaon	20	67	196002	777274	0
Jhadhar	33	479	262770	833748	0
Jhadi	20	78	210755	749870	0
Jhadihalli	15	422	135074	777662	0
Jhadina	34	179	300275	797439	0
Jhadkinhi	20	67	202834	784730	0
Jhadsapur	15	77	157662	744899	0
Jhadsi	20	141	208635	786376	0
Jhadti	15	59	148648	741897	0
Jhadupada	25	478	215149	835539	0
Jhadupudi	1	453	190160	846100	0
Jhadutola	6	725	229343	819248	0
Jhadwa	4	457	267708	843867	0
Jhadwan	19	638	246924	793529	0
Jhag	28	120	267244	754528	0
Jhag	12	604	308652	770892	0
Jhag	34	413	298030	791450	0
Jhagadia	10	149	217144	731510	0
Jhagakia	25	373	200063	842282	0
Jhagal Thana	13	1	337831	740721	0
Jhagan Bigha	4	106	246497	854049	0
Jhaganwali	13	1	336427	744487	0
Jhagar	19	324	246786	771334	0
Jhagar	28	321	246919	764488	0
Jhagar	19	502	238161	792421	0
Jhagar	19	395	246578	775736	0
Jhagar	19	395	244286	776482	0
Jhagar	19	208	241585	779280	0
Jhagar	19	208	242150	778781	0
Jhagar	19	648	226321	773267	0
Jhagar	19	395	244422	781649	0
Jhagar	19	395	244305	781594	0
Jhagar	19	239	216962	749320	0
Jhagar ka Bas	28	519	283412	754004	0
Jhagara	19	576	232944	798512	0
Jhagara	19	576	232992	798564	0
Jhagara	25	368	217973	859760	0
Jhagaraha	19	313	242036	810692	0
Jhagarahwa	19	607	244317	825349	0
Jhagarha	19	646	243818	817201	0
Jhagarha	33	196	246175	823866	0
Jhagarha	6	374	223583	827710	0
Jhagarhai	19	503	229142	792450	0
Jhagarhai	19	313	242684	812901	0
Jhagarhat	33	619	252322	813267	0
Jhagarhata	6	723	220867	816554	0
Jhagari	19	338	237451	791853	0
Jhagari	19	338	237362	791845	0
Jhagari	19	576	232951	798480	0
Jhagari	19	502	241228	794918	0
Jhagari	19	646	243205	815403	0
Jhagaria	33	575	261763	824695	0
Jhagaria	33	314	267890	831343	0
Jhagaria	6	269	235446	835085	0
Jhagariya	19	443	219299	778338	0
Jhagariya	19	16	236508	768916	0
Jhagariya	19	202	222205	767243	0
Jhagarjhal	25	478	212144	832889	0
Jhagarkheda	19	239	218018	750571	0
Jhagarkot	12	267	319436	769340	0
Jhagarpata	25	373	203908	843679	0
Jhagarpur	33	445	274143	790463	0
Jhagarpur	14	673	240537	841786	0
Jhagarpuri	34	617	290631	792253	0
Jhagart	19	208	241573	776538	0
Jhagarua	14	673	242529	838955	0
Jhagarua	4	535	262274	860435	0
Jhagarua	4	569	260059	863496	0
Jhagarwa	33	479	260417	832317	0
Jhagarwa	4	590	259038	873827	0
Jhagarwahi	20	134	207079	805479	0
Jhagarwan	33	196	248015	825270	0
Jhagarwapar	33	626	253853	813674	0
Jhagatkhali	33	102	243455	830699	0
Jhagawan	11	667	282263	762541	0
Jhagdi	20	141	204551	785535	0
Jhagota	13	358	331219	757476	0
Jhagra	19	354	222690	798499	0
Jhagra	19	512	243929	799922	0
Jhagra	4	117	243595	845111	0
Jhagra Pakar	33	479	262143	829092	0
Jhagraboh	19	325	222732	791730	0
Jhagrah	12	460	309544	775937	0
Jhagraha	19	512	248996	801964	0
Jhagraha	33	196	248926	822641	0
Jhagraha	33	314	269067	833197	0
Jhagrahatoli	14	434	241933	863535	0
Jhagrahi	33	710	261072	798691	0
Jhagrahi	25	572	205210	825932	0
Jhagrahi	14	483	242109	868809	0
Jhagrahi	14	738	240758	868018	0
Jhagrahi	4	106	248111	859165	0
Jhagrahwa	33	314	269000	832395	0
Jhagrai	33	619	252415	814172	0
Jhagrai Dih	33	269	271859	823866	0
Jhagrakhand	6	725	227667	818612	0
Jhagrakhar	14	712	243838	835175	0
Jhagral	12	39	321887	757913	0
Jhagran	12	267	314762	772179	0
Jhagrar	33	644	274602	779741	0
Jhagrateria	25	546	218963	844202	0
Jhagrauha	33	479	263209	833161	0
Jhagrawa	4	136	256862	862319	0
Jhagrehta	19	449	232175	807976	0
Jhagrendih	6	393	213734	827488	0
