Jija	12	514	308061	773143	0
Jijahat	33	116	280603	788969	0
Jijaul	33	593	278138	791231	0
Jijaula	33	316	296469	771811	0
Jijauli	33	637	264954	815080	0
Jijaulia	33	654	260527	814652	0
Jijawandi	20	134	197765	804190	0
Jijgaon	19	446	224063	771543	0
Jijgaon	19	512	244179	799787	0
Jijgaon Khurd	19	446	222217	771491	0
Jijiawan	33	370	246470	784917	0
Jijida	14	416	228939	854252	0
Jijla	12	514	305739	777426	0
Jijol	13	358	331542	756058	0
Jijoli	33	389	271217	784821	0
Jijoli	34	692	298914	795974	0
Jijot	13	485	332762	740911	0
Jijot Bahraui	13	485	332913	741033	0
Jijwara	19	568	226876	782338	0
Jijwasi	33	659	273393	800148	0
