Jubbal	12	460	311092	776509	1640
Juba	6	393	213485	832616	0
Jubagam	25	273	198108	832710	0
Jubaguda	25	373	197288	838946	0
Jubai	33	584	252033	815980	0
Jubakhol	25	478	208998	831671	0
Jubal	12	514	308163	772939	0
Jubamal	25	380	203643	827330	0
Jubang	25	273	195845	830894	0
Jubapodoro	25	305	189379	822827	0
Jubar	12	514	309472	773715	0
Jubar	12	460	311839	771651	0
Jubar	25	372	205463	846453	0
Jubarajpur	25	372	206597	844190	0
Jubba	25	305	189160	824386	0
Jubbaguda	25	305	187943	822960	0
Jubbakonnadi	25	305	187918	825266	0
Jubbal	12	514	308867	772817	0
Jubbal	12	514	308465	773524	0
Jubbal Purana	12	460	311155	776749	0
Jubbar	12	460	311649	773298	0
Jubbar	12	460	312080	773375	0
Jubbar	12	460	310176	773543	0
Jubbar	12	460	310172	774434	0
Jubbar	12	460	310172	775547	0
Jubbli	12	460	308174	776248	0
Jubbuwal	27	283	311657	760806	0
Jubguda	25	273	195111	830177	0
Jubilee Hills	31	408	174334	784111	0
Jubileegah	34	617	290500	799945	0
Jubkiganj	33	488	276797	808651	0
Jubla	14	541	234946	855866	0
Jublinagar	31	557	185105	791703	0
Jubrajpur	25	273	193495	828777	0
Jubrajpur	33	27	255822	836520	0
Jubrajpur	25	297	209641	841615	0
Jubrani Sitapur	25	297	209273	841017	0
