Jujuvadi	30	215	127679	777918	32474
Jujadey	19	568	225125	779296	0
Jujaila Chak	33	464	289893	781978	0
Jujalpur	31	32	180241	777576	0
Jujalraopet	31	46	171952	799379	0
Jujana	28	330	250508	721803	0
Jujaposi	25	281	216316	857533	0
Jujarsaha	35	340	225978	881314	0
Jujathal	33	523	278908	783935	0
Jujawundi	20	134	196534	805215	0
Jujhai	19	420	254213	781315	0
Jujhaila	33	553	290952	785371	0
Jujhar	19	502	237633	796033	0
Jujhar Chathiali	27	284	317900	757609	0
Jujhara	6	490	216252	809699	0
Jujharbhata	6	723	221147	815940	0
Jujharghat	19	502	236529	794919	0
Jujhari	19	503	231816	789501	0
Jujhari	19	337	237222	801217	0
Jujhari	19	576	234090	800710	0
Jujhari	19	576	232169	802708	0
Jujhari	19	461	229505	804342	0
Jujhari	19	461	227339	803377	0
Jujharipur	33	522	269627	820462	0
Jujharnagar	19	638	252335	800254	0
Jujharpur	33	659	276166	797422	0
Jujharpur	19	484	258055	784582	0
Jujharpur	33	451	279954	795974	0
Jujharpur	33	659	274826	797939	0
Jujharpur	33	523	278014	783092	0
Jujharpur	19	568	225822	777621	0
Jujharpur	33	27	258413	835020	0
Jujharpur	4	718	253539	837097	0
Jujharpur	19	326	233546	781780	0
Jujharpur	4	112	249368	845871	0
Jujharpur	19	354	222813	794826	0
Jujharpur	4	381	259863	850947	0
Jujharpur	4	581	255038	851757	0
Jujharpur	35	587	257561	879576	0
Jujharpura	33	417	257235	790582	0
Jujharpura	19	338	236757	786919	0
Jujharpura	19	638	242230	793119	0
Jujharpura	19	338	240740	786029	0
Jujharpura	19	648	229772	769879	0
Jujharpura	33	710	260131	791077	0
Jujharumariya	19	576	235237	799944	0
Jujhavaram	1	68	163028	809987	0
Jujhawa	12	514	307458	774108	0
Jujhawal	19	337	236241	801696	0
Jujhela	33	553	290461	783537	0
Jujhela ki Mandaiyan	33	553	290527	783417	0
Jujheri	33	431	298136	772564	0
Jujhki	19	459	267220	782785	0
Jujhmetatola	19	217	228836	816503	0
Jujhpal	12	39	318835	764185	0
Jujintara	15	69	118272	770305	0
Jujiyakheri	19	317	222765	759092	0
Jujomura	25	546	212305	841302	0
Juju ka Pura	19	459	264736	778488	0
Jujugaon	25	478	214465	836825	0
Jujusiring	14	541	232660	852908	0
Jujwamau	33	659	271430	800636	0
