Kadapa	1	221	144800	788235	344893
Kadayanallur	30	236	90728	773415	90364
Kadiri	1	426	141117	781598	89429
Kadi	10	161	232991	723336	81404
Kadungalur	16	173	100948	763211	39666
Kadur	15	97	135529	760116	34151
Kadodara	10	137	211616	729623	27336
Kadakkavoor	16	211	86792	767671	25362
Kadiganpalli	30	215	125232	782086	22714
Kadayal	30	435	84083	772658	21665
Kadikkad	16	232	106705	759798	19147
Kadachira	16	256	118370	754490	18979
Kadipur	8	737	287740	771631	18369
Kadod	10	137	212172	732197	16747
Kadamakudi	16	173	100642	762457	16295
Kadaura	33	710	259854	798384	13784
Kadaiya	7	728	204645	728543	12717
Kadiyampatti	30	51	118720	780961	11390
Kadattur	30	109	120861	782926	11382
Kadambuttur	30	220	130976	798623	11235
Kadannappalli	16	256	121000	752762	10430
Kadaparai	30	427	109992	780823	9574
Kadipikonda	31	61	179637	795098	8685
Kadipur	33	575	261678	823703	7472
Kadma	14	732	239874	853454	7239
Kadiganahalli	15	43	131688	776283	6587
Kadakola	15	74	121918	766657	6436
Kadaiyam	30	236	88204	773729	5430
Kadmat	18	746	112247	727748	5404
Kadambur	30	201	89974	778619	4512
Kadvad	15	59	148342	741765	4403
Kad	28	22	243828	737118	0
Kada	20	34	188962	750785	0
Kada	28	428	264698	749130	0
Kada	6	490	215032	810821	0
Kada Hammige	15	93	128223	763744	0
Kada Jamuda	14	276	221269	855516	0
Kadaba	15	92	132410	768630	0
Kadaba	15	55	127440	754611	0
Kadaba	15	93	125816	766142	0
Kadabageri	15	352	147147	760867	0
Kadabahalli	15	93	129661	766358	0
Kadaballi	15	93	122928	770429	0
Kadabanhalli	15	652	129748	757943	0
Kadabarahalli	30	109	122198	782831	0
Kadabettu	15	55	129313	750957	0
Kadabgal	15	652	129056	759918	0
Kadabgaon	20	131	174511	761550	0
Kadabgeri	15	59	147754	750298	0
Kadabgeri	15	43	129965	774331	0
Kadabinabail	15	97	136560	754875	0
Kadabur	15	71	169861	769421	0
Kadaburu	15	422	135909	775760	0
Kadaburu	15	74	120415	765065	0
Kadach	10	711	213542	699174	0
Kadachchellipalaiyam	30	204	113523	773729	0
Kadachchinallur	30	223	113686	778033	0
Kadacheri	16	528	90983	769239	0
Kadadakatte	15	265	142224	756082	0
Kadadakatte	15	265	141225	756704	0
Kadadakatte	15	333	138554	756805	0
Kadadanamarri	15	422	136331	781256	0
Kadadanhalli	15	47	128670	779662	0
Kadadankere	15	246	137344	762611	0
Kadadarabenchi	1	99	151285	772163	0
Kadadaraguttapalle	1	99	150683	777660	0
Kadadarahalli	15	246	143344	767446	0
Kadadarakeri	15	50	162826	764991	0
Kadadarakunta	1	99	145271	773251	0
Kadadarakunta	1	99	147346	773940	0
Kadadarvalli	15	652	129992	759007	0
Kadadenhalli	15	47	130035	779118	0
Kadadhakumritota	15	248	134336	750372	0
Kadadhal	15	97	130660	756185	0
Kadadhalli	15	655	156451	754097	0
Kadadi	20	78	208070	749839	0
Kadadi	15	583	155859	756345	0
Kadadia	25	399	215192	852914	0
Kadadih	14	643	242030	875392	0
Kadadih	35	347	240627	875367	0
Kadadukai	15	333	138724	749461	0
Kadaga	15	652	130811	761014	0
Kadagakkudi	30	257	109473	796204	0
Kadagakoppal	15	652	130900	761028	0
Kadagal	30	255	112297	787689	0
Kadagam	30	257	109766	797164	0
Kadagaman	30	192	120551	791723	0
Kadagampalli	16	211	85027	769188	0
Kadagampatti	30	436	99097	788505	0
Kadagampattu	30	197	120300	796740	0
Kadagampundi	30	197	122016	794257	0
Kadagandi	1	194	185865	838765	0
Kadagandivalasa	1	194	185861	838843	0
Kadaganhalli	30	204	116920	772568	0
Kadaganthirudipalaiyam	30	227	110125	774070	0
Kadaganur	30	197	119834	792632	0
Kadagarvalli	15	652	128411	757197	0
Kadagassheri	16	148	108502	759942	0
Kadagattur	15	47	132361	779798	0
Kadagatturu	15	92	137464	774559	0
Kadagavalasa	1	194	187654	835143	0
Kadaghati	25	349	199122	834120	0
Kadagrahar	15	43	130800	776917	0
Kadaguda	6	578	194014	820438	0
Kadagunta	1	45	140822	796784	0
Kadah	15	248	133580	750225	0
Kadahar	4	106	248891	858443	0
Kadahatti	30	204	117324	772777	0
Kadahi	12	460	310965	774922	0
Kadahole	15	248	133561	750122	0
Kadahra	33	33	256734	828579	0
Kadai	4	718	250301	837738	0
Kadai Bungalow	15	652	129299	757809	0
Kadaiambalanayakkanur	30	183	105351	781392	0
Kadaikkanallur	30	198	113189	797299	0
Kadaikkanpatti	30	193	105779	784859	0
Kadaikkaranpalaiyam	30	427	109901	778799	0
Kadaipichchanpatti	30	260	104848	783099	0
Kadaiyakulam	30	5	92345	785231	0
Kadaiyam	30	197	120697	793228	0
Kadaiyanendal	30	436	98202	788286	0
Kadaiyankudi	30	436	101078	789596	0
Kadaiyanodai	30	201	85937	779766	0
Kadaiyanur	30	183	105313	781380	0
Kadaiyur	30	227	109820	775166	0
Kadaiyurvalasu	30	227	109485	776857	0
Kadajaint	14	276	220968	857723	0
Kadajana	20	141	205342	788807	0
Kadajetti	15	74	120051	765101	0
Kadajit	25	580	198177	856974	0
Kadajji	15	265	145032	759800	0
Kadakachchanahalli	15	47	131230	784383	0
Kadakadappai	30	254	108008	791799	0
Kadakadu	30	198	111812	798496	0
Kadakara	16	173	101071	762208	0
Kadakaraisembadakuppam	30	197	120772	798912	0
Kadakatla	1	307	168188	815144	0
Kadakawadi	20	53	194574	760013	0
Kadakella	1	194	187065	835619	0
Kadakkad	16	216	92234	766881	0
Kadakkal	16	528	88333	769210	0
Kadakkam	30	198	112092	796168	0
Kadakkam	30	198	110547	796911	0
