Kaja	12	409	322197	780694	0
Kaja Khurd	33	564	259564	835054	0
Kaja Purwa	33	31	269398	815073	0
Kaja Sangwi	20	54	202346	742708	0
Kajadi	15	248	136230	748457	0
Kajagadde	15	55	125856	755265	0
Kajaguda	31	62	174009	783752	0
Kajaha	4	410	260201	866762	0
Kajahar	33	548	270784	795528	0
Kajaichari	23	14	227914	925012	0
Kajaien de Kothe	13	559	325750	749014	0
Kajal	4	590	257705	877904	0
Kajal Dighi	35	397	252990	879958	0
kajal Hiparga	20	156	186858	768744	0
Kajal Mazra	27	624	307139	765233	0
Kajala	15	55	129739	751618	0
Kajala	15	55	125628	753048	0
Kajala	25	262	218736	849501	0
Kajalaipalli	25	527	200054	851247	0
Kajaldoh	20	132	215469	775913	0
Kajaleshvar	20	169	205501	771294	0
Kajaleshvar	20	127	205626	773801	0
Kajalherl	11	425	294322	756002	0
Kajalkheri	19	568	226723	779942	0
Kajalkiyar	9	101	149367	740684	0
Kajalmata	19	239	217466	748806	0
Kajalpara	28	163	232455	744547	0
Kajalpura	19	317	218214	756416	0
Kajalsar	20	110	204522	795364	0
Kajalsara	20	141	205834	784520	0
Kajalsara	20	141	204366	789129	0
Kajamalaipatti	30	260	107742	786922	0
Kajanipur	28	429	266956	769743	0
Kajansara	6	285	205694	820232	0
Kajapur	15	72	164526	764842	0
Kajar	11	565	306599	771162	0
Kajar Bojhi	33	656	284772	798659	0
Kajar Sagalhan	12	514	307827	772437	0
Kajara	28	288	283460	756995	0
Kajara	19	313	248911	809154	0
Kajara	4	410	260436	866264	0
Kajaramanahatti	15	92	135385	771217	0
Kajarbojhi	33	451	277811	795699	0
Kajarhai	33	531	288277	791438	0
Kajari	15	91	146694	755729	0
Kajari	4	117	247882	848615	0
Kajaria	33	389	273402	787056	0
Kajaria	4	597	253685	838462	0
Kajarkheri	19	338	243887	782732	0
Kajarkheri	19	568	228206	782612	0
Kajarkilwa	14	498	239151	857787	0
Kajarkori	33	312	279858	804665	0
Kajarla	31	271	196367	784631	0
Kajarma	14	673	241935	841511	0
Kajarsot	4	117	245384	848268	0
Kajartota	1	258	182346	829200	0
Kajarwani	19	325	216846	788362	0
Kajarwara	19	576	231294	799814	0
Kajarwara	19	337	236630	800990	0
Kajarwara	19	449	228821	807045	0
Kajat	12	460	310807	772857	0
Kajauli	27	704	307881	764488	0
Kajaun	12	460	310467	774386	0
Kajavandlapalem	1	308	163647	806513	0
Kajawa	10	205	243576	730329	0
Kajawara	19	461	224459	803283	0
Kajawara	28	22	240488	741086	0
Kajba	20	132	209530	775076	0
Kaje	15	55	128061	753152	0
Kaje Sarai	4	495	252334	855180	0
Kajehli	12	267	313891	773363	0
Kajehoshalli	15	375	130082	778668	0
Kajel	12	514	308275	773525	0
Kajeli	6	642	205527	812212	0
Kajemule	15	55	126070	752183	0
Kajena	34	533	294613	799646	0
Kajeoni	12	267	313287	773084	0
Kajera	12	653	314904	775708	0
Kajerguda	25	108	182573	823177	0
Kajgaon	20	78	205700	751427	0
Kajgaon	20	150	196219	750285	0
Kajgawan	19	512	239662	799908	0
Kajh	4	117	246309	846919	0
Kajha	33	564	258711	834155	0
Kajha	4	396	251567	872226	0
Kajha	4	590	257747	873545	0
Kajha Khurd	33	564	259598	834952	0
Kajhai	4	394	251900	842136	0
Kajhar	14	454	247540	857188	0
Kajharghat	4	718	250450	837729	0
Kajhari	33	516	257840	839193	0
Kajhatola	4	632	261054	867449	0
Kajhawan	4	394	248779	838705	0
Kajhawan	4	394	249059	839304	0
Kajhawna	4	106	249673	856680	0
Kajhi	4	636	257335	865260	0
Kajhi Hridenagar	4	590	259321	872179	0
Kajhia	4	106	247996	855819	0
Kajhpa	4	112	245583	840965	0
Kajhpa	4	112	246370	843458	0
Kajhwan	4	112	248955	843129	0
Kajhwan	4	112	249650	844066	0
Kaji	28	288	284411	755898	0
Kaji Gudha	28	550	253374	739338	0
Kaji Palasiya	19	635	226832	760278	0
Kaji Sonnenahalli	15	43	130341	777699	0
Kajia Bishunpur	4	136	259142	856935	0
Kajia Muwara	10	140	232236	734639	0
Kajiahi	4	535	264474	861288	0
Kajial	13	690	325088	750178	0
Kajiana	11	565	307954	769698	0
Kajiana	4	535	263088	860464	0
Kajiana	4	535	262469	860373	0
Kajiapur	33	575	260986	820961	0
Kajiapur	33	152	266582	825896	0
Kajiapur	33	623	266054	830220	0
Kajiapur	33	488	274858	808689	0
Kajiar	4	117	245093	849079	0
Kajibaru	14	541	232382	855917	0
Kajichiwadi	20	151	190110	769857	0
Kajigarpaike	15	55	130343	750267	0
Kajighatta	15	652	133818	761504	0
Kajikalli	31	408	173847	784099	0
Kajikallu	15	248	134041	750659	0
Kajikanbas	20	131	177125	762813	0
Kajikend	14	643	244666	875289	0
Kajikheri	19	420	251886	776494	0
Kajikirroda	19	208	239411	780813	0
Kajile	27	283	312027	760030	0
Kajilia	19	324	240687	771991	0
Kajimadka	15	55	126192	755137	0
Kajinagar	14	673	244618	839714	0
Kajipalya	15	603	131046	771762	0
Kajipeta	1	453	183288	838354	0
Kajipura	20	78	212563	752154	0
Kajiraipasi	25	281	216279	857358	0
Kajiri	12	604	309095	772371	0
Kajirne	20	57	159722	741706	0
Kajirputtu	1	258	181912	823296	0
Kajiya	33	561	254048	824654	0
Kajiyana	33	688	257049	815970	0
Kajiyani	33	584	255948	818547	0
Kajjal	1	258	181005	826945	0
Kajjikoppal	15	93	126602	766981	0
Kajjodi	15	55	126052	755948	0
Kajju	25	349	194027	836476	0
Kajkar	15	55	128359	752691	0
Kajla	11	327	292396	756144	0
Kajla	20	48	182446	761435	0
Kajla	27	284	320137	756368	0
Kajla	4	491	264611	878816	0
Kajla	4	602	254947	874750	0
Kajlagarh	35	538	220367	877955	0
Kajlamani	4	491	261628	878303	0
Kajlamb	20	127	201416	772623	0
Kajlan	28	288	283072	759350	0
Kajlana	19	635	229424	758492	0
Kajlana	19	303	230718	753871	0
Kajlas	19	648	230654	764819	0
Kajlas	19	334	239484	761854	0
Kajleta	4	641	261371	876678	0
Kajli	10	140	232351	737713	0
Kajli	19	443	219298	781712	0
Kajli	20	141	211047	785897	0
Kajli	20	139	209530	788005	0
Kajli	19	568	225637	773497	0
Kajli	19	443	221358	777129	0
Kajli	20	132	212972	777119	0
Kajli	19	443	216435	780865	0
