Kalher	20	237	192472	730152	15573
Kalha	12	653	315025	775241	0
Kalha	33	622	282932	785391	0
Kalhabar	14	732	242263	855964	0
Kalhags Purwa	33	522	271634	818406	0
Kalhai Purwa	33	522	268837	820784	0
Kalhajori	14	434	243155	859721	0
Kalhal	15	77	158567	754546	0
Kalhalli	15	80	169999	762256	0
Kalhalli	15	92	132975	771463	0
Kalhalli	15	375	131066	777873	0
Kalhalli	15	333	138399	756386	0
Kalhalli	15	333	139550	757140	0
Kalhalli	15	652	130010	759401	0
Kalhalli	15	74	124725	763495	0
Kalhalli	15	652	129685	757387	0
Kalhalli	15	74	124180	762397	0
Kalhalli	15	74	123164	762201	0
Kalhalli	15	422	132782	779447	0
Kalhalli	15	74	119597	765453	0
Kalhalli	15	69	118715	767227	0
Kalhalli	15	69	119855	769203	0
Kalhalli Koppal	15	74	123083	762229	0
Kalhamanjo	14	434	241059	863407	0
Kalhamar	6	279	222797	821015	0
Kalhamau	33	659	270755	800422	0
Kalhan	33	522	270902	815576	0
Kalhana	27	543	303263	761357	0
Kalhangargi	15	71	170248	766422	0
Kalhani	12	267	316478	771465	0
Kalhanpur	33	645	262524	797585	0
Kalhans	33	522	270588	816666	0
Kalhans Purwa	33	522	271250	821909	0
Kalhanuan	4	718	252480	835148	0
Kalhanwan	33	444	255691	805555	0
Kalhapara	33	282	273661	815868	0
Kalhapara Chamaran	33	282	273651	815939	0
Kalhapur	33	488	275574	809278	0
Kalhar	13	477	325554	756514	0
Kalhara	19	337	240197	805820	0
Kalhara	19	337	240273	805829	0
Kalhari	12	514	305542	775417	0
Kalhari	19	610	240556	813228	0
Kalhari	28	428	261713	745768	0
Kalhariwala	12	604	309038	768652	0
Kalhatha	11	353	294404	762794	0
Kalhatoli	14	476	226614	848028	0
Kalhatoli	14	476	226567	848394	0
Kalhatti	30	114	114607	766829	0
Kalhatti	30	114	114362	768203	0
Kalhauri	27	543	303080	764156	0
Kalhautia	4	632	258026	870040	0
Kalhawar	14	434	240364	860457	0
Kalhe Kurha	4	581	252535	848053	0
Kalhel	12	348	327391	761172	0
Kalhepat	14	740	233607	846196	0
Kalhepur	33	659	272508	805316	0
Kalheri	11	439	295131	770261	0
Kalheri	27	704	307650	765058	0
Kalheri	27	-1	303959	768705	0
Kalheri	33	553	296067	782993	0
Kalheri Khurd	19	326	230960	785696	0
Kalhewala	27	545	311125	750477	0
Kalhi	19	497	250075	815888	0
Kalhi	12	348	327113	761769	0
Kalhi Khera	33	659	270672	806524	0
Kalhia	19	337	237073	801327	0
Kalhia Khurd	19	337	237095	801068	0
Kalhigaon	33	654	261012	808583	0
Kalhingarga	15	71	174763	768017	0
Kalhipar	33	314	263236	834075	0
Kalhipparga	15	71	174142	770451	0
Kalhippargi	20	131	174151	760792	0
Kalhitoli	14	678	239458	848865	0
Kalhni	12	267	315861	771990	0
Kalhog	12	604	309246	771618	0
Kalhog	12	604	309914	771568	0
Kalhola	12	348	324853	762626	0
Kalhor Panchhan	33	445	271940	788439	0
Kalhor Puban	33	445	271981	788500	0
Kalhora	33	479	261514	829137	0
Kalhorkar	12	39	321526	764301	0
Kalhot	12	460	309910	772380	0
kalhra	33	444	252349	805060	0
Kalhrior	19	313	243279	805796	0
Kalhua	33	196	252252	824915	0
Kalhuapur	33	282	274762	818043	0
Kalhupani	34	430	303519	779682	0
Kalhwari	33	688	258262	817970	0
