Kayamkulam	16	234	91817	765009	68634
Kayalpattinam	30	201	85714	781199	40588
Kayattar	30	201	89483	777742	10400
Kaya	6	279	219383	821444	0
Kaya	3	612	263763	915505	0
Kaya Kot	33	27	255457	835332	0
Kayaddari	20	127	203391	771272	0
Kayagaon	19	446	223670	770176	0
Kayahi	33	688	258839	817200	0
Kayai di Ban	13	559	329965	746922	0
Kayakadahalli	15	352	148178	760129	0
Kayakkarai	30	257	107809	796521	0
Kayakkodi	16	252	116840	757248	0
Kayakkodi	16	252	116846	757508	0
Kayakkudi	30	260	108592	786448	0
Kayakud	25	546	211973	841697	0
Kayakude	15	55	127789	752903	0
Kayal	33	444	254931	807344	0
Kayala	11	415	287565	762637	0
Kayala	34	413	296502	795841	0
Kayalargundi	25	305	184333	829939	0
Kayalmuhi	19	576	231891	801780	0
Kayamba	35	432	226842	885303	0
Kayamba	35	347	241745	879069	0
Kayambadi	15	55	127046	755067	0
Kayamgudem	31	60	180835	807057	0
Kayamnagar Basri	28	302	264824	760897	0
Kayamoli	30	201	85069	780435	0
Kayampatti	30	436	103008	784821	0
Kayampatti	30	264	101199	784341	0
Kayampatti	30	193	105063	787204	0
Kayampatti	30	193	104317	785384	0
Kayampatti	30	193	106730	788288	0
Kayampatti	30	193	103970	788837	0
Kayampatti	30	193	102879	788042	0
Kayampatti	30	436	101922	787684	0
Kayampatti	30	193	101764	789070	0
Kayampatti	30	264	99690	782260	0
Kayampattu	30	192	122960	787457	0
Kayampur	33	548	270377	794948	0
Kayampur	33	682	273917	788232	0
Kayampur	33	593	278431	786600	0
Kayampur	33	464	290229	784456	0
Kayampur	4	495	252536	856116	0
Kayampura	28	429	263979	767450	0
Kayampura	28	298	258612	748363	0
Kayamsar	28	288	282377	753479	0
Kayamsar	28	288	280932	755862	0
Kayan	19	638	246286	792852	0
Kayan	13	35	332715	757561	0
Kayan	12	348	327747	760543	0
Kayana	12	514	307521	770747	0
Kayangulam	30	436	97760	784385	0
Kayani	16	256	118919	755627	0
Kayanna	16	252	115379	757975	0
Kayanti	16	173	100860	763308	0
Kayanwala Ghat	19	638	246297	792770	0
Kayaodai	30	436	98022	786358	0
Kayapalem	1	6	148337	796797	0
Kayappakkam	30	238	123470	798587	0
Kayappakkam	30	175	118328	795058	0
Kayar	20	67	199064	789038	0
Kayar	12	460	311407	772790	0
Kayar	33	564	259294	833969	0
Kayar	28	428	265346	746880	0
Kayar	15	55	125516	755039	0
Kayaradka	15	248	132269	750267	0
Kayarak	12	514	306549	775404	0
Kayaralam	16	256	119976	754243	0
Kayarda	28	115	260611	766970	0
Kayari	19	16	238557	765079	0
Kayarta	12	514	306466	774607	0
Kayarthodi	15	55	128457	754516	0
Kayasa	28	463	280365	762608	0
Kayasth Kawai	4	569	261867	860785	0
Kayasthpurwa	33	698	260057	809436	0
Kayath	11	286	292326	768112	0
Kayatha	19	303	232388	760198	0
Kayathakaran	30	158	129885	793030	0
Kayathkheri	19	635	229910	758214	0
Kayatpali	6	393	212013	828936	0
Kayattur	30	197	120175	795773	0
Kayattur	30	230	108860	796821	0
Kayavaripalem	1	308	162116	803652	0
Kayavarohan	10	157	220779	732500	0
Kayavur	30	254	104229	792321	0
Kayenikan	16	294	125393	752267	0
Kayikolattattanur	30	369	111497	792723	0
Kayila	16	528	89089	767815	0
Kayilam	1	176	183431	832668	0
Kayilingayipalli	1	221	145745	790478	0
Kayiliyad	16	253	108043	762897	0
Kayilmedu	30	197	121594	798373	0
Kaying	2	41	284116	946805	0
Kayipadu	1	194	186070	831425	0
Kayippancheri	16	233	116550	762706	0
Kayippatta	16	148	110401	760067	0
Kayitapalle	1	176	185196	836597	0
Kayittahada	30	114	114139	768750	0
Kaykinampatti	30	427	108704	779107	0
Kayna	12	460	311281	776838	0
Kayri	19	311	228023	764242	0
Kayrika	28	113	275537	772314	0
Kaytan Banbarar	19	497	246033	818002	0
Kayvattachal	30	114	115732	763674	0
Kayyalakkal	30	435	83980	772703	0
Kayyamballi	15	74	122405	769546	0
Kayyuru	1	45	140285	796546	0
