Khadki	20	52	185635	738521	75654
Khada	33	539	271833	838833	16350
Khadkale	20	52	187614	735576	13435
Khadki Buzurg	20	169	206676	770223	12133
Khad	12	514	306780	776100	0
Khad	12	267	317764	769059	0
Khad	12	267	313757	769120	0
Khad	27	284	317875	758810	0
Khad Anteran	12	39	318034	762164	0
Khad Deori	19	461	230665	804226	0
Khad Gujar	33	464	288628	782844	0
Khad Khurai	19	638	247649	800319	0
Khada	33	479	260625	829935	0
Khada	28	493	238242	738635	0
Khada	4	457	267861	843868	0
Khada Rampur	33	479	261308	829582	0
Khadach	12	460	309137	774787	0
Khadaggudem	31	60	180370	805774	0
Khadagpur Raniwala	33	464	285045	784145	0
Khadah	13	559	328999	745182	0
Khadah	13	690	326705	749811	0
Khadaha	4	520	257999	848489	0
Khadaha	4	520	257965	848569	0
Khadahawa	33	196	248319	827319	0
Khadahi	33	152	267932	828285	0
Khadahi	4	675	264300	841118	0
Khadak	20	78	210217	749596	0
Khadak Jamb	20	54	202485	740775	0
Khadak Malegaon	20	54	201756	741683	0
Khadak Manjri	20	138	190158	771469	0
Khadak Ojhar	20	54	202395	741275	0
Khadak Savanga	20	67	205911	781280	0
Khadaka	20	67	199151	781987	0
Khadakdevla Budrukh	20	78	206050	753531	0
Khadakdevla Khurd	20	78	206059	753575	0
Khadakdoho	20	67	199063	787806	0
Khadaki	20	48	177802	760111	0
Khadaki	20	54	206278	745656	0
Khadakla Budrukh	20	182	217751	742696	0
Khadakla Khurd	20	182	217791	742809	0
Khadakutar	20	78	209906	750770	0
Khadalgaon	34	413	297069	791685	0
Khadali	12	348	327009	760312	0
Khadampur	19	660	234828	773773	0
Khadan	19	635	229794	756861	0
Khadan	19	202	220460	765418	0
Khadana	33	553	292309	784494	0
Khadana	33	492	288538	787005	0
Khadana	33	613	284399	781519	0
Khadanda	4	535	262943	860456	0
Khadangadihi	25	290	219400	841710	0
Khadangadihi	25	290	218189	842588	0
Khadani	33	710	258520	793100	0
Khadaniyan	28	463	274303	769459	0
Khadaoli	20	237	193562	732218	0
Khadar	33	102	243536	829363	0
Khadar	12	604	309584	771047	0
Khadar	34	430	305346	778305	0
Khadar	34	430	303019	781042	0
Khadar	33	526	269538	779140	0
Khadar	33	102	243551	829507	0
Khadar	33	575	264414	818333	0
Khadar	33	575	263734	819887	0
Khadar	12	460	309181	775791	0
Khadar	34	430	301317	781603	0
Khadar Gaughat	19	322	265607	787577	0
Khadar ka Nagla	33	278	267822	790591	0
Khadara	19	443	220978	778443	0
Khadara	28	22	247006	737892	0
Khadara	19	313	250291	807432	0
Khadarabad	1	221	148312	783138	0
Khadaramunda	25	399	208441	847085	0
Khadarapara	25	399	207588	844714	0
Khadari	11	88	301840	774014	0
Khadari	33	102	243601	829591	0
Khadarian	13	485	332474	743290	0
Khadarkhan Kottalu	1	221	145202	788038	0
Khadarpur	34	574	298939	777999	0
Khadarupeta	1	99	149874	775341	0
Khadasta	33	488	273742	811479	0
Khadatar	13	690	326006	752545	0
Khadatar	13	477	325403	753125	0
Khadatawani	19	484	255691	782905	0
Khadatgaon	20	49	207703	764116	0
Khadati	20	616	197969	770202	0
Khadau Purwa	33	269	272984	822782	0
Khadauli	27	543	304601	765617	0
Khadauli	4	394	249050	837883	0
Khadaun	12	39	320750	758531	0
Khadaura	19	646	241312	816971	0
Khadaura	19	607	243075	823427	0
Khadawadi	20	53	200161	756454	0
Khadawan	4	394	252765	839396	0
Khadawar	27	665	323245	755877	0
Khadbeli	19	325	217499	789468	0
Khadda	19	497	246507	812927	0
Khadda	19	497	245248	813785	0
Khadda	19	497	245216	813691	0
Khaddan	33	553	291060	781129	0
Khaddel	12	348	324852	763386	0
Khaddi	28	519	287151	752959	0
Khaddi	19	638	253193	802093	0
Khaddi	19	646	242605	815409	0
Khaddi	4	495	252779	852113	0
Khaddimura	25	546	216076	840049	0
Khaddipur	33	659	272607	797878	0
Khadditola	19	142	218709	804870	0
Khaddum	22	419	251526	924454	0
Khadeor	33	488	272369	810561	0
Khadepar	20	168	212136	801825	0
Khader Bungalow	1	221	144809	789168	0
Khaderagaon	34	413	296882	791418	0
Khaderi	33	593	279286	787832	0
Khaderi	19	322	266669	785822	0
