Khalilabad	33	623	267727	830718	45321
Khalari	14	541	236506	850074	20010
Khali Kachigam	7	728	203833	728667	18434
Khallikot	25	423	196091	850861	13022
Khaliapali	25	478	213640	836164	6865
Khal	28	360	290882	733652	0
Khal	12	460	311297	773065	0
Khal	12	460	311858	773357	0
Khal	12	604	309879	771763	0
Khal	12	460	309451	772634	0
Khal	12	514	308247	772649	0
Khal	12	514	307279	772833	0
Khal	12	514	305647	775564	0
Khal	28	115	267033	764781	0
Khal	27	480	305594	752265	0
Khal	33	526	271036	778973	0
Khal	19	311	226353	770355	0
Khal	19	568	224634	775673	0
Khal	13	477	327457	757100	0
Khal	12	39	318453	763991	0
Khal	19	311	225313	766013	0
Khal	28	493	234594	737328	0
Khal ka Pura	19	459	266958	784507	0
Khal Malla	34	589	297174	789014	0
Khal Purwa	33	282	272447	816305	0
Khal Purwa	33	282	271933	816362	0
Khal Talla	34	589	297196	788957	0
Khal-ka-lala	13	35	333038	758029	0
Khala	34	589	298001	785245	0
Khala	12	267	316665	771400	0
Khala	12	514	305936	774913	0
Khala	19	503	228070	789261	0
Khala	19	325	226986	790244	0
Khala	14	712	241224	834180	0
Khala	19	503	231335	790556	0
Khala	13	640	333171	747770	0
Khala	12	267	320219	767465	0
Khala ka Purwa	33	688	256197	815622	0
Khala Purwa	33	31	268109	813288	0
Khalabadia	25	405	216554	873426	0
Khalabahal	25	478	210907	833657	0
Khalabali	28	113	268704	773605	0
Khalabat	13	289	341064	739445	0
Khalabat	13	1	336135	742680	0
Khalad Budrukh	20	78	206318	758940	0
Khalad Kourd	20	78	206290	758922	0
Khaladpur	33	672	291804	778878	0
Khalag	12	39	319375	763509	0
Khalag	12	604	309732	768922	0
Khalagaon	34	430	304127	780875	0
Khalagaon	33	645	264520	797475	0
Khalagaon	33	645	263929	797255	0
Khalah	27	665	323693	756253	0
Khalai	19	323	257174	772078	0
Khalaikotri	19	449	229863	805952	0
Khalail	12	267	320580	768039	0
Khalaiphadki	19	461	229499	805079	0
Khalaipur	19	576	234181	798208	0
Khalaipur	33	488	274327	806154	0
Khalakhari	28	288	281713	758516	0
Khalakhela	25	527	202600	851608	0
Khalakpura	28	487	245859	769538	0
Khalakpura	19	459	267512	784669	0
Khalal	13	359	331307	750429	0
Khalal Pura	33	575	262850	819295	0
Khalamada	25	527	202654	848208	0
Khalamba	25	399	207625	848817	0
Khalamul	13	573	341988	748163	0
Khalan Godri	20	139	213030	782923	0
Khalana	12	460	311805	774838	0
Khalana	20	185	211670	747408	0
Khalandon	12	514	307981	776265	0
Khalane	20	54	205438	746211	0
Khalanga	33	33	254480	826826	0
Khalanga	33	522	269885	824934	0
Khalanga	33	532	264905	827381	0
Khalanga	33	152	267181	828612	0
Khalanga	33	152	266821	828768	0
Khalanga	33	152	266567	828815	0
Khalanga	33	152	266698	829033	0
Khalanga	33	152	266807	829403	0
Khalanga	33	623	266648	829590	0
Khalanga	33	623	266359	829622	0
Khalanga	33	623	266343	829570	0
Khalanga	33	623	267256	829761	0
Khalanga	33	314	270623	833530	0
Khalanga Badar	33	623	266380	829520	0
Khalanga Kotha	33	152	269285	823516	0
Khalanga Raja	33	152	267280	827732	0
Khalanga Rani	33	152	267216	827963	0
Khalangwa	33	152	269718	826077	0
Khalano	12	267	318021	768501	0
Khalanti	12	604	308424	770954	0
Khalantu	12	460	311721	774720	0
Khalantu	12	514	307325	773746	0
Khalanun	12	267	316372	767971	0
Khalap	20	54	204923	742313	0
Khalapara	6	279	222153	820012	0
Khalapur	20	17	188298	732836	0
Khalaqpur	33	645	266528	799373	0
Khalar	33	417	256665	790756	0
Khalar	34	530	294982	794148	0
Khalara	19	420	256649	776090	0
Khalari	6	393	210965	822850	0
Khalari	6	627	201267	820121	0
Khalari	6	374	223328	824415	0
Khalari	6	642	206353	811428	0
Khalari	6	676	202427	816538	0
Khalari	6	634	201170	817740	0
Khalari	6	642	209155	813232	0
Khalari	6	455	211260	808163	0
Khalari	4	117	247259	851867	0
Khalari	4	505	248168	861235	0
Khalari	14	541	233957	857745	0
Khalari	35	400	232871	858793	0
Khalaria	33	532	264224	824042	0
Khalaritola	6	642	204529	811390	0
Khalariya	4	394	251645	842693	0
Khalariyan	33	444	256393	809079	0
Khalaru	12	348	324797	760094	0
Khalase Chak	13	559	327691	747305	0
Khalashi	12	460	311171	773156	0
Khalasin	4	569	258031	863089	0
Khalasipara	35	347	242968	878442	0
Khalasipur	33	688	256923	815608	0
Khalasl	28	288	280695	751108	0
Khalasna	20	139	210600	791924	0
Khalaspur	27	543	304122	766878	0
Khalaspur	33	661	272017	795787	0
Khalaspur	33	645	262729	796858	0
Khalaspur	4	394	248608	838132	0
Khalaspur	27	624	307036	763845	0
Khalaspur	4	663	251931	858160	0
Khalaspur	10	140	230544	735194	0
Khalatola	19	512	241338	803570	0
Khalatse	17	2	343128	768427	0
Khalaua	33	174	275387	778675	0
Khalaua	33	526	271059	778968	0
Khalaun	19	512	243407	798526	0
Khalaundh	19	336	240154	809406	0
Khalaur	33	613	283958	781765	0
Khalawar	27	543	305031	767316	0
Khalbahara	19	217	229631	819319	0
Khalbari	25	305	187726	829896	0
Khalbarwa	6	723	219784	817347	0
Khalbed	12	460	312364	773484	0
Khalbitoli	14	310	231876	848049	0
Khalch	12	460	312402	773047	0
Khalchi	12	514	306495	776327	0
Khalda	28	487	249304	767284	0
Khaldhar	12	460	313001	776376	0
Khaldhar	34	589	299034	790159	0
Khaldhar	34	430	302101	782482	0
Khaldhar	34	413	298051	793668	0
Khaldi	12	514	306038	776899	0
Khaldi	28	487	249278	767267	0
Khalduwa Malla	34	413	299232	792369	0
Khalduwa Talla	34	413	299120	792382	0
Khale	13	559	328859	748406	0
Khale	19	217	227958	816425	0
Khale Bendi	6	634	200203	814577	0
Khale ka Dera	33	444	258334	803396	0
Khale Maheshpuri	19	449	230462	807340	0
Khale Murwend	6	634	201492	815315	0
Khale Pathra	19	337	238006	805598	0
Khale Purwa	33	548	270922	798747	0
Khale Purwa	33	282	276377	815112	0
Khale Purwa	33	282	275064	815315	0
Khale Purwa	33	282	275577	815353	0
Khale Purwa	33	282	276035	815431	0
Khale Purwa	33	522	269988	819286	0
Khale Purwa	33	522	269142	820594	0
Khale Purwa	33	522	269118	820811	0
Khale Purwa	33	522	268952	820875	0
Khale Purwa	33	654	262041	813191	0
Khalehr	12	270	317510	764363	0
Khaleka	34	589	298650	784190	0
Khaleli	19	16	236164	769497	0
Khalendha	19	337	239418	806713	0
Khaleni	13	358	331360	755139	0
Khalepar	33	553	296400	783261	0
Khalepura	33	623	265058	830004	0
Khaler	12	653	314724	775269	0
Khalera	27	214	316165	750608	0
Khaleri	12	267	316544	768373	0
Khalesar	19	313	243172	812506	0
Khalesar	19	336	235221	808400	0
Khalet	12	460	312728	775281	0
Khaleta	11	500	282301	764190	0
Khaleta Kalan	12	39	319786	761866	0
Khaleta Khurd	12	39	319753	761879	0
Khaletiatola	6	725	229656	820484	0
Khaletu	12	460	310570	774442	0
Khalewa	6	455	213012	810468	0
Khalga	33	152	270317	827970	0
Khalgadu	25	372	204345	845870	0
Khalgaia	33	152	270311	828601	0
Khalgan	12	267	312547	770795	0
Khalgan	25	399	207285	850612	0
Khalgan ki Dhani	28	120	272063	756649	0
Khalgaon	33	654	264625	810581	0
Khalgaon	33	488	272482	810143	0
Khalgaon	4	675	265499	841374	0
Khalgaon	4	675	265022	841232	0
Khalgaon	4	675	265352	842444	0
Khalgar	12	460	312372	776179	0
Khalgarh	6	627	202265	820783	0
Khalghat	19	129	221572	754542	0
Khalguda	25	273	196764	832959	0
Khalguda	25	349	196846	834865	0
Khalheni	13	358	330575	756251	0
Khalhoi	13	146	339440	753530	0
Khali	12	348	325915	761265	0
Khali	12	604	312731	769709	0
Khali	34	589	297817	787924	0
Khali	34	530	292157	796722	0
Khali	34	692	299601	795492	0
Khali	34	692	299775	795357	0
Khali Garhi	33	488	272685	807564	0
Khali Kathai	19	336	235531	807407	0
Khali Kurhwa	33	488	272376	807014	0
Khali Kurhwa	33	488	272320	807073	0
Khali Nawada	33	656	287729	797976	0
Khalia	33	33	255793	830108	0
Khalia	4	718	249914	833552	0
Khalia	33	33	259242	825768	0
Khalia	33	242	254532	828991	0
Khalia	33	479	262245	827464	0
Khalia	33	479	260985	829984	0
Khalia	34	351	301972	789833	0
Khalia	25	373	201798	840154	0
Khalia Ahtimali	33	314	264018	832186	0
Khalia Mustakil	33	314	264004	832280	0
Khaliabhata	25	572	202376	825572	0
Khaliaguda	25	349	199446	834765	0
Khaliakani	6	-1	200185	827986	0
Khaliakata	25	290	217028	839464	0
Khaliamal	25	290	218504	840464	0
Khaliamal	25	546	209763	842517	0
Khaliamunda	25	478	210423	832158	0
Khaliamunda	25	290	217438	839083	0
Khaliamura	25	572	203572	825729	0
Khaliani	12	267	314623	768452	0
Khalianti	12	514	307566	775445	0
Khaliantoli	14	416	231339	850638	0
Khaliantu	12	460	311651	772397	0
Khaliapali	25	478	212516	834058	0
Khaliapali	25	478	214710	834410	0
Khaliapali	25	478	210943	834798	0
Khaliapali	25	478	213158	837499	0
Khaliapali	25	297	211006	836535	0
Khaliapali	25	290	217404	838114	0
Khaliapali	25	478	213982	837642	0
Khaliapali	25	478	213650	838712	0
Khaliapali	25	478	211244	838161	0
Khaliapali	25	478	212451	838404	0
Khaliapali	25	478	209572	830444	0
Khaliapali	25	546	214543	841421	0
Khaliapali	25	372	207946	840171	0
Khaliapali	25	372	207217	842215	0
Khaliapali	25	372	206598	843950	0
Khaliapalli	25	478	214815	834564	0
Khaliapani	25	572	208504	826465	0
Khaliar	12	267	314429	770542	0
Khaliari	33	102	247319	834049	0
Khaliawas	11	500	282088	767445	0
Khaliberena	25	277	207345	852391	0
Khalibernal	25	373	205029	843471	0
Khalich	34	430	304174	782217	0
Khalidhipa	25	683	213113	845988	0
Khalidpur	33	431	297318	771958	0
Khalidpur	27	704	309625	765570	0
Khalidpur	33	282	274218	815226	0
Khalidpur	33	282	274096	815288	0
Khalifapur Matti	33	659	274966	799998	0
Khalifatola	4	363	257176	845759	0
Khalifatola	4	632	254729	870544	0
Khalifatpur	33	595	277135	817498	0
Khalifatpur	33	532	265288	826377	0
Khalifatpur	33	479	261552	830314	0
Khalifatpur	33	479	260488	830913	0
Khalifawala	27	543	304534	763941	0
Khaligaon	33	522	269963	823580	0
Khalighati	25	527	204440	848570	0
Khaligudri	25	373	205161	842622	0
Khaligudri	25	373	204205	843293	0
Khalihabahal	25	290	217852	837694	0
Khalijor	14	476	225453	841238	0
Khalika	33	33	256051	826857	0
Khalikhol	25	683	214251	849228	0
Khalikpur	33	593	278188	788385	0
Khalil	27	544	315694	754603	0
Khalil Chak	33	27	256533	836652	0
Khalil Chak	4	663	251735	857375	0
Khalil Patti	33	152	266858	826441	0
Khalila	4	396	251751	867410	0
Khalila Majra Nayan	11	286	292954	767733	0
Khalilabad	33	479	259978	829668	0
Khalilabad	33	605	268369	817733	0
Khalilabad	33	496	271179	835329	0
Khalilabad	33	479	260042	831128	0
Khalilabad	33	626	255580	815018	0
Khalilganj	33	682	274799	783111	0
Khalilnagar	33	488	273665	810777	0
Khalilnagar	33	31	271282	812172	0
Khalilnagar	33	659	271730	800370	0
Khalilpur	28	463	279038	768295	0
Khalilpur	19	395	245604	780898	0
Khalilpur	19	208	240647	775503	0
Khalilpur	33	645	263728	799915	0
Khalilpur	33	33	258717	827488	0
Khalilpur	33	27	257074	833354	0
Khalilpur	20	132	209383	774527	0
Khalilpur	33	698	259016	809264	0
Khalilpur	33	33	257058	826584	0
Khalilpur	33	242	252354	829228	0
Khalilpur	11	606	282747	766806	0
Khalilpur	33	553	296256	783124	0
Khalilpur	33	282	275223	816471	0
Khalilpur	33	516	258291	839318	0
Khalilpur	33	451	280804	798240	0
Khalilpur	33	622	283085	785253	0
Khalilpur	33	654	260743	810813	0
Khalilpur	33	575	260699	820706	0
Khalilpur	33	623	265289	829246	0
Khalilpur	33	564	258444	834378	0
Khalilpur	33	329	283658	793475	0
Khalilpur	33	329	283968	793781	0
Khalilpur	33	116	280955	794039	0
Khalilpur	14	673	245047	840298	0
Khalilpur Amru	33	492	289762	786490	0
Khalilpur Kadim	33	492	290086	786409	0
Khalilpur Rath	33	613	283581	779515	0
Khalilpura	33	417	254281	792023	0
Khalilpuri	11	500	281977	766663	0
Khalilwar	33	-1	250987	816347	0
Khalimura	25	546	211995	841580	0
Khalinali	25	683	214937	845706	0
Khaling ka Purwa	33	584	255851	817519	0
Khalion	34	589	296991	789345	0
Khalion	34	351	302096	789374	0
Khalipar Patti	34	617	293431	788555	0
Khalipatna	25	527	202267	851939	0
Khalipatna	25	527	200540	851802	0
Khalipatna	25	527	200046	850645	0
Khaliqabad	33	613	283938	781425	0
Khaliqgarh	33	496	272108	834525	0
Khaliqpur	33	645	265548	799846	0
Khaliqpur	33	464	289357	783442	0
Khaliqpur	33	613	284339	782486	0
Khaliqpur Kalan	33	654	259724	813041	0
Khaliqpur Khurd	33	464	288790	784347	0
Khaliqpur Khurd	33	654	259001	813163	0
Khalirhipa	25	527	203345	848617	0
Khalisa	4	363	254969	846806	0
Khalisahi	25	527	202687	848556	0
Khalisahi	25	527	204299	848995	0
Khalisahi	25	292	204784	850280	0
Khalisahi	25	527	202880	851763	0
Khalisani	35	340	225167	880828	0
Khalisara	25	527	203875	850960	0
Khalispur	27	543	302712	765727	0
Khalispur	33	242	253416	830430	0
Khalispur	33	564	259731	836061	0
Khalispur	33	564	258980	836829	0
Khalispur	33	33	259027	825515	0
Khalispur	33	33	257582	826746	0
Khalispur	33	626	256162	814945	0
Khalispur	33	242	252936	827766	0
Khalispur	33	33	256190	828300	0
Khalispur	33	33	255720	827744	0
Khalispur	33	242	255242	828401	0
Khalispur	33	637	262674	813811	0
Khalispur	33	698	259547	811393	0
Khalispur	33	637	265482	815656	0
Khalispur	33	575	263115	824169	0
Khalispur	33	479	259532	830754	0
Khalispur	33	575	260759	824109	0
Khalispur	33	575	261891	824542	0
Khalispur	33	575	260860	824279	0
Khalispur	33	33	260802	825883	0
Khalispur	33	27	257972	834068	0
Khalispur	33	27	258017	834873	0
Khalispur	33	532	262784	827915	0
Khalispur	33	479	263184	829122	0
Khalispur	33	479	263586	829177	0
Khalispur	33	479	263010	829464	0
Khalispur	33	479	261864	830029	0
Khalispur	33	479	262474	832257	0
Khalispur	33	479	261508	832287	0
Khalispur	33	27	256622	835237	0
Khalispur	33	27	256114	836287	0
Khalispur	33	688	257412	819133	0
Khalispur	33	488	273206	809784	0
Khalispur	4	520	259825	847788	0
Khalispur	4	520	259601	847728	0
Khalispur	4	507	252293	850460	0
Khalispur	4	136	257250	856797	0
Khalispur Bhatauli	33	532	262665	826240	0
Khalispur Dingurpur	33	575	262813	824477	0
Khalispur Dohia	33	532	262204	828306	0
Khalit Nar	13	640	333244	749666	0
Khalitola	19	217	228241	814915	0
Khaliyar	13	477	325284	753970	0
Khaliyon	34	413	297276	792407	0
Khaljala	34	530	292617	796221	0
Khaljog	12	460	310886	772169	0
Khalka Badgai	13	559	329005	746580	0
Khalka Barmana	13	559	329382	745358	0
Khalka Bharda	13	559	329173	747205	0
Khalka Bhardal	13	559	329167	747333	0
Khalka Malal	13	559	328312	745402	0
Khalkanala	13	559	328722	748931	0
Khalkapur	33	688	258341	814073	0
Khalkat	13	76	338484	745035	0
Khalkhan	34	413	294796	797725	0
Khalkheri	19	309	235664	763290	0
Khalkhet	34	692	299999	796214	0
Khalkhu	4	106	246994	853972	0
Khalkhuni	20	132	209047	775255	0
Khalki Band	13	477	325494	757124	0
Khalki Basi	13	690	326294	748911	0
Khalki Chamhal	13	529	333254	752826	0
Khalki Kalah	13	559	329067	744743	0
Khalko Chak	4	507	250630	849622	0
Khalkona	25	305	190578	831385	0
Khalkot	20	78	212849	755685	0
Khalla	19	443	218435	784727	0
Khalla	33	710	261442	795644	0
Khalla	12	348	325639	762591	0
Khalla Rup Mangadpur	33	548	271617	794916	0
Khallabad	33	575	262580	820703	0
Khalladamar	14	712	240935	834907	0
Khallapali	25	290	216187	838371	0
Khallar	20	132	210376	774596	0
Khallar	20	132	208507	776455	0
Khalli	20	151	190281	767086	0
Khalli	12	348	327332	762585	0
Khallopur	33	479	259464	831798	0
Khalluka	28	113	277802	771229	0
Khalmara	25	527	202292	849241	0
Khalmet	12	348	323063	761021	0
Khalna	6	-1	208272	824461	0
Khalna	25	572	200925	826099	0
Khalna	34	413	297062	793747	0
Khalnag	12	514	309463	773549	0
Khalnekarvadi	20	57	158958	741526	0
Khalnu	13	477	327369	755057	0
Khalo	12	653	314873	773285	0
Khalo	13	477	325126	757399	0
Khaloa	12	267	313992	773794	0
Khalocha Dogri	12	460	312127	778363	0
Khalog	12	267	320105	768564	0
Khalogara	12	604	308704	770827	0
Khalohn	12	653	313943	774882	0
Khaloi Barag	12	39	321921	763925	0
Khalondi	19	142	222580	803685	0
Khalondi	19	461	224070	807258	0
Khalondi	19	461	223052	809301	0
Khalondi	19	142	221944	807798	0
Khalopur	4	718	249914	837927	0
Khalor	12	514	306736	774177	0
Khalot	12	267	314198	770715	0
Khalot	12	348	324723	763250	0
Khalota	12	279	312543	768500	0
Khaloth	12	460	310822	774202	0
Khalotipur	33	33	259524	827207	0
Khalpal	25	399	212299	850273	0
Khalpal	25	277	207331	852089	0
Khalpal	25	277	209572	852539	0
Khalpal	25	399	209488	846128	0
Khalpara	6	374	229607	824966	0
Khalpari	34	589	298678	785334	0
Khalpur	28	163	233870	744902	0
Khalpur	33	329	281596	794759	0
Khalpura	19	512	244033	801828	0
Khalpura	4	520	257519	847985	0
Khalpura	4	520	259841	850019	0
Khalra	27	250	313949	746176	0
Khalra Hasan	33	282	276654	816694	0
Khalrbana	6	455	210944	805154	0
Khalri	19	576	235471	802241	0
Khalri	19	461	227555	804821	0
Khalri	27	284	318780	757233	0
Khalsa	13	289	340908	739278	0
Khalsa	33	564	259579	835641	0
Khalsa	33	451	276575	794665	0
Khalsa	33	152	268474	824247	0
Khalsa	33	479	259330	833524	0
Khalsa	33	314	265622	832480	0
Khalsa	12	348	325971	760526	0
Khalsa	12	348	323464	761032	0
Khalsa	4	495	253128	857043	0
Khalsa Bhaunathpur	33	564	259337	835970	0
Khalsa Lalwala	34	574	300511	779289	0
Khalsa Sadat	33	688	259459	816939	0
Khalsa Watirpatti	33	564	259327	835869	0
Khalsaha	33	33	257772	827187	0
Khalsapatti	33	33	259874	825889	0
Khalsapur	33	31	269445	814657	0
Khalsapur	33	31	271162	813224	0
Khalsapur	4	394	252514	840407	0
Khalsar	17	2	344941	777038	0
Khalsi	34	89	305138	784027	0
Khalsi	33	613	283211	778543	0
Khalsia	33	613	283506	780056	0
Khalsini	35	268	228664	883544	0
Khalta	12	460	310916	777188	0
Khalta	34	413	296943	792353	0
Khalta	10	170	226049	741523	0
Khaltali Dogri	12	460	308488	775797	0
Khaltangwa	33	102	244867	832196	0
Khaltola	4	590	258151	878119	0
Khaltu	12	267	312759	771124	0
Khaltu	12	460	314620	776799	0
Khaltu	12	514	307147	771325	0
Khaltu	12	514	307439	771541	0
Khaltu	12	460	309620	773000	0
Khaltu	12	604	309700	769848	0
Khalu	13	358	330465	756762	0
Khalu	27	544	313446	752991	0
Khalu	12	348	327462	760528	0
Khalu	34	589	301898	788262	0
Khalu Purwa	33	659	270162	800153	0
Khalun	12	39	322735	759551	0
Khalur	12	348	327459	760205	0
Khalut	12	653	314861	773482	0
Khalvad	10	205	237978	731886	0
Khalvaspet	20	110	199887	796199	0
Khalwa	19	202	218041	767441	0
Khalwa	33	698	255398	810469	0
Khalwa	33	152	266951	825053	0
Khalwa	12	604	310436	770035	0
Khalwa	4	615	263153	841987	0
Khalwa ka Purwa	33	698	255490	810484	0
Khalwan	13	477	326331	752957	0
Khalwan	12	267	317892	767995	0
Khalwana	27	284	315177	758372	0
Khalwani	12	267	314993	771234	0
Khalwar	12	348	322989	761132	0
Khalwara	12	267	317187	770472	0
Khalwara	33	525	293041	778602	0
Khalwara	33	661	274443	793172	0
Khalwara	19	337	240390	806114	0
Khalwara	19	461	227527	803607	0
Khalwara	27	544	312391	758094	0
Khalwat	12	267	315253	772060	0
Khalwatnimgaon	20	34	191158	760744	0
Khalyabari	32	247	241629	922660	0
Khalyan	12	514	307191	777093	0
Khalyanab	12	514	308028	771135	0
