Khas	33	694	250172	832559	0
Khas Chati	12	460	314553	776555	0
Khas Dadh	12	39	321428	764173	0
Khas Dhanag	12	39	320345	766289	0
Khas Dhira	12	39	320124	764491	0
Khas Dih	33	479	259536	828389	0
Khas Gaggal	12	39	320342	764518	0
Khas Giana Kalan	12	39	321618	763441	0
Khas Gol	13	559	327273	748244	0
Khas Gopalpur	12	39	321466	764549	0
Khas Jasor	12	39	321114	763455	0
Khas Kachhiar	12	39	321158	762998	0
Khas Kanjilara	12	39	322134	763651	0
Khas Kawari	12	39	321177	763791	0
Khas Khalet	12	39	320906	765144	0
Khas Masal	12	39	320899	764023	0
Khas Mau	33	698	258303	810530	0
Khas Mundla	12	39	320896	763200	0
Khas Nadehr	12	39	321317	762846	0
Khas Nalpawand	25	-1	192201	821556	0
Khas Narwana	12	39	321782	763961	0
Khas Patti	4	520	259501	849182	0
Khas Pokhria	14	276	223710	859777	0
Khas Rajhun	12	39	320300	764076	0
Khas Rajiana	12	39	321031	763260	0
Khas Rampal	6	578	192196	820134	0
Khas Ronkhar	12	39	321200	763447	0
Khas Sagur	12	39	320309	766128	0
Khas Sidhbari	12	39	321887	763620	0
Khas Sihund	12	39	321355	763775	0
Khas Sunhi	12	39	320269	762958	0
Khas Tangroti	12	39	321594	763931	0
Khas Thana	12	39	321437	763557	0
Khas Warar	12	39	320980	763511	0
Khas Yol	12	39	321860	763768	0
Khasa	6	275	213594	814226	0
Khasa	10	133	241171	723095	0
Khasa	27	214	316159	747129	0
Khasa Mahajanan	11	327	293221	755931	0
Khasa Pathanan	11	425	295322	757639	0
Khasaha Muhammadpur	33	282	275790	814864	0
Khasahpur	33	532	264564	826412	0
Khasanpur	33	33	257527	826947	0
Khasapeta	1	176	180219	831842	0
Khasapur	13	289	341348	745746	0
Khasara	20	139	212210	791203	0
Khasarmari	20	139	209924	790607	0
Khasarwara	33	685	266669	808310	0
Khasaura	33	659	273446	797860	0
Khasbag	20	169	211789	770542	0
Khasbag	15	77	158431	745243	0
Khasbagh	20	138	198581	779119	0
Khasbalanda	35	432	225947	886869	0
Khasbara	33	645	263059	796600	0
Khasbaur	34	413	296353	798196	0
Khasbegpur	33	479	261929	830684	0
Khasdelpur	35	432	228143	886163	0
Khasganj	4	495	252180	855172	0
Khasgaon	6	676	201492	812783	0
Khasgarhi	33	523	280292	780556	0
Khasha	33	282	275837	813635	0
Khashdhar	12	460	312169	778779	0
Khasi	27	647	309295	759535	0
Khasi	27	214	316230	753631	0
Khasi Khurd	27	647	309460	759697	0
Khasimpur	15	167	182357	775019	0
Khasipur	13	412	339529	751168	0
Khaska Dingar	12	514	307391	772439	0
Khaskari	14	434	241460	859764	0
Khaskhera	19	420	251556	777257	0
Khaskhera	19	395	248361	776632	0
Khaskhera	19	459	266087	780113	0
Khaskhori	4	507	250882	850563	0
Khaslabad	31	62	170300	780170	0
Khasmahal	35	340	224278	880651	0
Khasna	33	575	261024	821696	0
Khasni	31	271	196845	787017	0
Khasora	20	134	205526	805392	0
Khasorai	33	548	268357	798293	0
Khaspari	33	654	262548	812624	0
Khasparia	33	31	269284	811003	0
Khaspathar	14	570	250041	872774	0
Khaspavalasa	25	305	187831	832584	0
Khaspur	33	458	288705	773585	0
Khaspur	27	543	299430	760807	0
Khaspur	33	672	288192	777723	0
Khaspur	33	526	272439	780255	0
Khaspur	33	644	276531	783805	0
Khaspur	20	132	210382	773704	0
Khaspur	33	685	269996	809745	0
Khaspur	33	622	287528	785806	0
Khaspur	33	492	285397	787531	0
Khaspur	13	76	339365	747116	0
Khaspur	33	532	265490	826166	0
Khaspur	27	543	305183	767359	0
Khaspur	4	581	256466	849936	0
Khaspur	4	581	255390	849231	0
Khaspur	33	116	281049	791523	0
Khaspur	35	452	241811	879445	0
Khaspur	4	581	255339	852561	0
Khaspura	33	553	292014	783499	0
Khaspura	19	16	236257	764789	0
Khasraul	33	659	271490	807189	0
Khasraupur	33	532	264449	827605	0
Khassa	4	581	255614	850504	0
Khassa	4	581	255596	850595	0
Khassan	27	544	315255	754858	0
Khassi Bagh	34	617	289949	799128	0
Khassibhoj Khatta	34	530	290740	794644	0
Khastipur	14	738	240399	868995	0
Khastiwari	34	413	296561	797305	0
Khasua	33	370	248444	783174	0
Khasua	3	540	263207	898725	0
Khasua	33	282	271410	815278	0
Khasua	25	546	211858	842463	0
Khasuapali	25	372	206728	840856	0
Khasuar	4	457	268199	845534	0
Khasupali	25	546	214351	841686	0
Khasupali	25	290	215873	839122	0
Khasupali	25	546	213280	839754	0
Khaswa	13	119	343819	747792	0
