Koath	4	394	253264	842598	18890
Koa	14	416	229488	853960	0
Koabar	14	454	245013	854747	0
Koae Kalan	4	117	245736	851460	0
Koae Khurd	4	117	245785	851400	0
Koah	12	460	309771	777119	0
Koaha	4	457	268246	844572	0
Koai	13	35	333515	756254	0
Koal	12	39	318586	764830	0
Koali	11	466	289158	769648	0
Koalu	14	541	235062	855046	0
Koani	12	604	310841	767473	0
Koanjias Adwar	12	348	329554	761732	0
Koara	12	348	322810	760447	0
Koara	12	460	310604	771686	0
Koaran	13	359	327205	751802	0
Koarga	12	348	325678	761087	0
Koargaon	19	461	225673	803749	0
Koari	14	712	244633	838279	0
Koaria	28	550	255361	740532	0
Koarpur	33	523	280299	783653	0
Koasji ka Gudha	28	550	254515	739700	0
Koatan	4	569	257839	862641	0
Koatu	14	732	240934	853194	0
