Kozhikode	16	252	112480	757804	550440
Kozhukkallur	16	252	115146	757081	14007
Kozhancheri	16	216	93500	767000	12021
Kozhukkully	16	232	105209	762780	9918
Kozang	14	310	228948	844697	0
Kozhakkottur	16	148	112247	760452	0
Kozhichar Vayilu	16	148	112532	761866	0
Kozhikkaru	16	148	107480	760462	0
Kozhikkod	16	528	88844	767707	0
Kozhikkottissheri	16	253	108266	761523	0
Kozhikkottu Kizhakku	16	528	90295	765220	0
Kozhikkottu Mekku	16	528	90340	765195	0
Kozhinjampara	16	253	107379	768363	0
Kozhinnil	16	148	110422	761331	0
Kozhipalli Kara	16	173	100061	767397	0
Kozhipram	16	252	114887	756352	0
Kozhithottam	16	211	86907	767421	0
Kozhuvana	16	233	115962	762871	0
Koznipalli	16	173	100414	766310	0
