Laj	28	23	247501	729566	0
Lajana	12	348	328375	762384	0
Lajar Mahdewa	33	496	271417	833339	0
Lajhagiri	12	514	308234	771096	0
Lajharah	12	39	323245	758677	0
Lajidag	14	732	239397	851238	0
Lajispur	33	488	275489	808130	0
Lajkhil	34	589	298990	790314	0
Lajkura	25	290	218096	839101	0
Lajog	27	665	324637	758660	0
Lajora	14	276	224810	854038	0
Lajpat Bhavan	8	403	285624	772368	0
Lajpat Nagar	8	403	285733	772402	0
Lajpur	10	137	210596	728995	0
Lajri	13	289	340735	741770	0
Laju	2	383	269035	955752	0
Lajuwah	12	514	307225	775080	0
Lajwana Kalan	11	353	291478	764670	0
Lajwana Khurd	11	353	291729	764509	0
