Latur	20	156	183972	765678	382940
Latehar	14	678	237442	844998	26981
Lathi	10	209	217231	713884	22745
Lateri	19	208	240609	774104	18844
Lathikata	25	262	221307	848901	7405
Latabari	3	540	263054	898573	800
Lat	19	323	255592	767162	0
Lat	34	413	295645	796456	0
Lat	4	507	250985	851604	0
Lat	4	117	244051	849259	0
Lat	14	678	237104	841345	0
Lat	14	678	238717	846280	0
Lat Ka Nangal	28	429	269435	768619	0
Lat Kharid	4	641	263549	875207	0
Lat Khurd	20	138	189389	772688	0
Lat Kopri	34	179	302879	796876	0
Lat Purwa	33	626	253852	814246	0
Lata	34	179	304963	797135	0
Lata	6	681	213831	816054	0
Lata	19	142	218579	803585	0
Lata	6	725	226969	820184	0
Lata	6	365	216721	824117	0
Lata	6	517	221005	811948	0
Lata	6	723	220474	819397	0
Lata	4	112	248896	845683	0
Lata	4	505	249534	864348	0
Lata Budhijhari	25	527	202799	850654	0
Lata Kharak	34	179	304997	797467	0
Latabor	6	642	207897	812575	0
Latadia	19	16	239952	768673	0
Latagaon	19	313	240954	808438	0
Lataguri	35	579	267030	887638	0
Lataha	4	636	258780	865563	0
Latahara	4	505	250094	863544	0
Lataheri	19	16	235541	766901	0
Latakandar	14	643	242394	875888	0
Latakel	14	476	226475	850435	0
Latakera	25	478	211933	836737	0
Latakoro	6	620	208385	805892	0
Latamara	14	633	246214	878380	0
Latambarcem	9	24	156510	739364	0
Latangatoli	14	310	233135	845143	0
Latani	11	327	294778	759882	0
Latanpatti	4	507	252765	850821	0
Lataon	33	694	251356	832810	0
Latapakhra	6	388	219877	829186	0
Latapani	13	529	332754	750679	0
Latapani	14	476	225214	844792	0
Latapani	14	476	225146	847643	0
Latar	35	400	233597	859404	0
Latar Dahanga	14	416	228516	852160	0
Latar Jamboni	14	276	221837	859430	0
Latar Kundarjhor	14	276	222720	855093	0
Latara	33	584	251097	819500	0
Latara	28	263	251469	733849	0
Latardih	14	416	230292	853898	0
Latarha	33	516	260013	841426	0
Latarhatu	14	416	231418	854304	0
Latarsika	14	276	225548	857123	0
Latartoli	14	416	230532	856189	0
Latartsodur	13	76	339472	746890	0
Latarwa Machhra	4	727	256014	863316	0
Latasi	35	397	253507	879223	0
Latau	34	430	306082	779669	0
Latauli	14	416	228910	851756	0
Latauna	4	410	260912	868809	0
Latauna	4	410	261245	868553	0
Lataunha	4	535	265704	863832	0
