Led	12	39	320271	765699	0
Led Bunga	34	530	294362	796623	0
Leda	19	420	254101	772628	0
Leda	19	420	255966	782427	0
Leda	33	492	291677	788150	0
Leda	19	497	250205	815809	0
Leda	12	267	315526	768244	0
Leda	6	577	187202	818336	0
Leda	14	434	241871	861340	0
Leda Khadir	11	88	303032	774104	0
Leda Khas	11	88	302481	773312	0
Ledaha	33	515	264177	836670	0
Ledaha	4	106	248242	855935	0
Ledahi	4	117	245296	850696	0
Ledahnan	33	522	269365	822521	0
Ledahnan Grant	33	522	269416	822500	0
Ledan	13	76	338468	747057	0
Ledantoli	14	476	225992	843468	0
Ledar	33	584	251960	815429	0
Ledarhi	33	516	261669	838070	0
Ledari	4	718	251654	834775	0
Ledari	25	349	192727	835782	0
Ledarpur	33	553	293114	786156	0
Ledaruatola	14	712	244586	837056	0
Ledatoli	14	476	225866	844433	0
Ledaura	33	479	261781	829587	0
Ledgai	14	673	242167	842541	0
Ledgain	14	678	238475	841434	0
Ledhalla	31	61	180884	796375	0
Ledhapara	14	633	244004	875765	0
Ledhara	34	530	295760	793658	0
Ledhatoli	14	379	239980	847786	0
Ledhia	33	27	258186	833889	0
Ledhora	20	112	200936	756239	0
Ledhua	33	33	257755	825296	0
Ledhua Arazi	33	33	257907	825242	0
Ledhupur	33	242	253608	830426	0
Ledi	11	88	303013	773945	0
Ledi	27	608	306765	766584	0
Lediguda	31	271	195195	786182	0
Ledihar	4	382	267918	848180	0
Ledikanda	14	712	239736	838076	0
Ledimaha	25	373	197479	837824	0
Ledimahul	25	546	215485	842922	0
Ledingi	25	305	190147	833057	0
Ledisahi	25	527	202051	849140	0
Lediyapura	28	599	266095	773744	0
Lediyari	33	584	249983	819324	0
Ledkitoli	14	712	237346	837625	0
Ledo	9	-1	272949	957359	0
Ledo	14	434	242282	864954	0
Ledodih	14	434	242471	861746	0
Ledora	33	621	256014	793842	0
Ledpur Jokhu	33	479	259475	827858	0
Ledra	20	168	213308	798765	0
Ledra	19	313	244517	809755	0
Ledra	34	530	294494	792569	0
Ledra	4	636	256975	864527	0
Ledrahi	33	33	259894	826646	0
Ledri	33	174	277916	773143	0
Ledri	19	313	249530	809431	0
Ledri	6	279	221408	819241	0
Ledrikahuwatanr	14	712	238426	838179	0
Ledritoli	14	476	225787	844382	0
Ledru	12	348	329242	761455	0
Ledu	33	196	252099	826463	0
Ledua	33	694	253096	831008	0
Ledua	19	497	245653	815054	0
Leduai	33	242	252948	827509	0
Leduatoli	14	476	224529	845285	0
Ledui	33	516	259697	840713	0
Leduka	33	33	258849	825547	0
Leduwa	33	152	270237	827420	0
Leduwa	33	152	269594	826726	0
Leduwa Mahuwa	33	623	269229	830864	0
Ledva Chinchola	20	131	174152	753145	0
Ledwa	33	102	246302	832428	0
Ledwa	33	496	271138	832568	0
Ledwa	33	496	271891	836035	0
Ledwa	33	623	268200	830082	0
Ledwa	33	479	260783	831140	0
Ledwa	14	434	240651	861402	0
Ledwa Sripal	33	623	270245	830397	0
Ledwakhar	14	673	239202	842002	0
Ledwara	4	505	245411	864529	0
Ledwaradih	14	434	244120	863104	0
Ledwawar	33	479	259553	828459	0
