Liha Alampur	33	644	278068	783883	0
Lihagaon	6	634	200131	818027	0
Lihai	33	698	255713	811945	0
Lihan	27	647	309232	755917	0
Lihar	12	267	317309	770868	0
Lihar	4	602	257333	878726	0
Lihara	20	48	185985	757058	0
Lihari	12	514	306195	773737	0
Lihas	12	39	318767	763942	0
Lihat	12	460	309321	774785	0
Lihda	19	443	217284	780687	0
Lihi	33	637	263514	815324	0
Lihida	20	132	212242	779846	0
Lihigaon	20	139	211605	792296	0
Lihingajan	13	146	339134	752338	0
Lihitola	20	168	215298	801732	0
Lihora	12	39	323529	758415	0
