Loisinga	25	380	208667	835167	6220
Loi	33	525	293166	774041	0
Loi	13	35	333809	756719	0
Loi Sukwar	14	732	238635	850682	0
Loi Tali Purwa	33	659	271502	808072	0
Loiabhar	33	623	266060	831047	0
Loiboga	25	281	218368	854029	0
Loich	34	430	309140	779022	0
Loicha	28	339	252935	755658	0
Loiga	12	514	306063	776071	0
Loijari	25	373	203294	840045	0
Loikhera	33	451	278310	799546	0
Loikpor Chhatarhal	13	0	343604	743768	0
Loil	12	348	326477	762044	0
Loindamal	25	546	210018	843533	0
Loing	6	17	218559	834855	0
Loinga	14	673	241299	842385	0
Loinga	14	673	241095	842523	0
Loira	25	546	214145	842580	0
Loisingh	25	290	219131	839550	0
Loisingha	25	546	213114	843529	0
Loitha	34	692	297486	797596	0
Loiya	28	296	277284	728914	0
Loiyo	14	541	233562	850751	0
Loiyo	14	377	237928	856321	0
