Madkai	9	24	154142	739398	6215
Mad Kalian	11	614	300272	762879	0
Madka	10	133	242953	715190	0
Madka	20	141	207581	787530	0
Madkal	16	294	121041	751669	0
Madkam Biri	14	276	225916	858873	0
Madkama	14	541	235151	853725	0
Madkambera	14	276	227426	854894	0
Madkambera	14	276	227082	855756	0
Madkamberatoli	14	541	232144	855293	0
Madkamdih	14	416	228349	854922	0
Madkamhatu	14	276	226129	855920	0
Madkamhatu	14	276	225331	858025	0
Madkamras	6	392	185959	812842	0
Madkamtoli	14	416	231000	853600	0
Madkamtoli	14	416	228930	850457	0
Madkamvarigudem	1	25	171927	811684	0
Madkarni	9	-1	149472	742349	0
Madkarpur	33	654	262124	810594	0
Madkarpur	33	688	260042	818679	0
Madkasur	19	325	216355	790182	0
Madkawali	33	622	281356	785369	0
Madkekanda	16	294	124617	751529	0
Madki	15	71	175489	768585	0
Madki	20	138	190060	772175	0
Madki	15	55	131009	751969	0
Madki Tanda	15	71	175756	768796	0
Madkobera	14	276	226368	858131	0
Madkona	20	67	204039	782186	0
Madku	6	723	218417	819477	0
Madkuan	4	117	245389	849693	0
Madkuma	14	379	243556	846928	0
