Malappuram	16	148	110420	760815	101386
Malavalli	15	93	123856	770605	38129
Malayinkeezhu	16	211	84902	770374	37350
Malajkhand	19	142	220516	807157	34176
Malakanagiri	25	108	183643	818880	31007
Malakpur Kohi Rangpur	8	691	285403	771208	23726
Malaimachchampatti	30	154	109058	770050	12936
Malayadi	30	435	83609	771795	7812
Malaudh	27	647	306333	759357	7567
Malanpur	19	322	263572	782870	7492
Malanka	10	165	217249	721749	4765
Malakpur	27	665	322750	755878	4645
Mal Asoli	20	67	197655	775570	0
Mala	28	428	265428	751019	0
Mala	16	232	102426	762635	0
Mala	13	485	332266	740117	0
Mala	19	208	240538	782008	0
Mala	19	338	242190	783299	0
Mala	19	326	236234	783261	0
Mala	19	208	240702	779216	0
Mala	19	208	237029	779993	0
Mala	19	497	247967	814938	0
Mala	19	502	236872	797270	0
Mala	13	640	333266	748835	0
Mala	13	690	325800	751496	0
Mala	13	477	326429	755343	0
Mala	27	355	311809	753019	0
Mala	34	589	299522	784147	0
Mala	34	179	301051	796505	0
Mala	34	413	297973	796167	0
Mala	15	248	132099	751148	0
Mala	15	55	127787	755074	0
Mala	4	590	258734	877188	0
Mala	16	253	107753	761095	0
Mala	19	576	232429	795611	0
Mala Bhavi	31	100	166956	787581	0
Mala Gurjala	31	90	190788	795471	0
Mala ka Baria	28	428	259807	744524	0
Mala ka Gudha	28	263	257004	738807	0
Mala ka Gurha	28	22	244051	738985	0
Mala Kalan	19	576	232405	795745	0
Mala Khera	33	301	265848	808218	0
Mala Khurd	19	576	232507	795827	0
Mala Muddada	1	453	182459	838510	0
Mala Narasapuram	1	259	173261	825565	0
Malab	11	524	280375	770123	0
Malab Kalan	33	523	279611	775659	0
Malabad	15	71	172320	764287	0
Malabagh	13	588	341477	748248	0
Malabagh	13	0	343635	743738	0
Malabar Hill	20	-1	189500	727833	0
Malabaria	10	170	231120	740367	0
Malabavigudem	31	100	168243	790598	0
Malabeda	25	499	194759	821791	0
Malabel Muwara	10	140	232231	738177	0
Malabettu	15	248	132370	750467	0
Malaboria	28	263	256542	737551	0
Malabuchhan	13	289	340999	745944	0
Malacca	0	79	91667	928167	0
Malachchipudur	30	427	109329	779752	0
Malachchiyurnattam	30	427	108577	778463	0
Malachira	16	211	87567	769072	0
Malachua	19	336	232633	812408	0
Malad	20	200	191970	728450	0
Malad	13	359	330761	750745	0
Malada	25	305	189904	825325	0
Maladabri	6	455	213432	810267	0
Maladaipattu	30	376	118203	787218	0
Maladei	33	698	258524	812328	0
Maladepalli	15	47	133689	783209	0
Malader	13	651	337803	749401	0
Maladhar Chhatta	33	688	258424	816250	0
Maladharpur	33	196	251627	825528	0
Maladi	15	248	136091	748370	0
Maladi	15	55	130221	751630	0
Maladi	15	55	129608	751906	0
Maladipalaiyam	30	184	128138	789005	0
Maladka	16	294	124360	750696	0
Maladon	14	416	230144	850890	0
Maladon	14	310	230539	848576	0
Malaf	28	23	248041	730978	0
Malag	12	514	307145	772774	0
Malag	15	71	169367	769397	0
Malagahalli	15	69	120961	770425	0
Malagalakki	30	215	128291	780781	0
Malagaldinni	15	80	163156	762633	0
Malaganahalli	15	422	135304	776032	0
Malaganahalli	15	652	127086	763426	0
Malaganahalli	15	652	129499	760460	0
Malaganahalli	15	188	128126	759141	0
Malaganhalli	15	92	133299	773002	0
Malagaon	19	311	225862	770243	0
Malagaon	19	311	224952	767385	0
Malagar	15	333	137523	753798	0
Malagar	15	97	134456	757115	0
Malagaranhalli	15	93	125420	770636	0
Malagarh	33	613	284632	778395	0
Malagatti	15	72	166127	766561	0
Malagehalli	15	652	133055	761647	0
Malagemane	15	97	135434	752554	0
Malagere	30	215	125534	779272	0
Malagi	15	333	136676	752871	0
Malagikurli	15	333	144268	751166	0
Malagiri	30	215	126048	777643	0
Malagod	15	333	139406	751600	0
Malagodu	15	652	130290	762328	0
Malagondanahalli	1	-1	138461	772827	0
Malagondanahalli	15	265	145378	759370	0
Malagondanahalli	15	246	138337	766451	0
Malaguda	25	349	194670	836969	0
Malagudam	31	62	170680	785860	0
Malagudem	31	128	173260	791718	0
Malagudem	31	60	175917	808264	0
Malagudem	31	46	176048	809210	0
Malagudem	31	46	172162	807889	0
Malagudem	31	46	171339	808068	0
Malagudem	31	60	172262	808825	0
Malagudem	1	25	168064	808067	0
Malagudem	1	25	167872	808401	0
Malagudem	1	25	167850	809052	0
Malaguduru	31	62	170839	785016	0
Malagundlapalle	1	426	143981	778461	0
Malagur	15	93	127995	765547	0
Malaguri	3	684	264734	899580	0
Malah	27	283	311992	759217	0
Malah Bagh	13	0	343681	743736	0
Malah Bigha	4	394	248673	841438	0
Malah Bigha	4	117	248711	852635	0
Malah Chak	4	507	251788	848637	0
Malah Chak	4	117	246043	848295	0
Malah Mazra	33	431	299441	772869	0
Malaha	4	457	266952	845159	0
Malahad	4	112	249425	846893	0
Malahai Purwa	33	685	268355	810807	0
Malahalli	15	97	134601	752758	0
Malahalli	15	97	131725	757161	0
Malahalu	15	265	139526	760179	0
Malahan Dih	33	280	271956	829489	0
Malahantola	19	497	244789	813228	0
Malahar	4	394	249500	838010	0
Malahar	12	348	323040	760812	0
Malahar	35	397	253053	879627	0
Malaheri	33	431	300838	775728	0
Malahi	4	675	265225	843260	0
Malahi	4	457	267316	845384	0
Malahi	4	457	267356	846958	0
Malahi	4	382	266218	847381	0
Malahi	4	382	267637	849957	0
Malahi	4	520	258307	850038	0
Malahi	4	581	254635	856873	0
Malahi Bigha	4	495	252496	853900	0
Malahi Diara	4	581	254705	856801	0
Malahi Khandha	4	581	254361	849889	0
Malahia	33	242	252527	830221	0
Malahia	33	694	253259	830829	0
Malahiatoli	33	242	252485	830216	0
Malahidih	4	615	260825	843789	0
Malahipur	4	394	248668	837701	0
Malahipur	4	597	253827	838718	0
Malahitola	14	712	241773	836971	0
Malahitola	4	106	248797	858582	0
Malahla	33	526	271078	781339	0
Malahla	33	526	270629	781564	0
Malahla Biju	33	526	270975	781410	0
Malahni	4	675	264139	841430	0
Malahpur	33	613	284145	776982	0
Malahr	12	267	313930	772716	0
Malahra	19	638	250361	796747	0
Malahra	4	112	250292	846011	0
Malahri	12	39	323036	758453	0
Malahri	12	39	321264	757768	0
Malahru	12	39	320988	761771	0
Malahta	12	39	321827	760873	0
Malahtola	14	673	245723	840036	0
Malahtola	4	535	263290	860522	0
Malahtoli	4	495	253084	854003	0
Malahu	12	39	320125	765126	0
Malahua	33	329	283507	796142	0
Malahuti	33	575	262210	821788	0
Malahuti	33	575	261777	822295	0
Malai	34	589	301111	789273	0
Malai	34	430	307439	779576	0
Malai	33	33	255159	824688	0
Malai	20	182	211607	740468	0
Malai	13	359	330950	750275	0
Malai	13	358	330953	756144	0
Malai	34	589	300015	789741	0
Malai	14	310	229510	847092	0
Malai Erudikavundanpatti	30	260	105660	784085	0
Malai Purwa	33	522	270717	819145	0
Malaidabri	6	455	210747	808346	0
Malaidoh	6	490	214723	807450	0
Malaigawan	19	497	246065	816898	0
Malaikadipatti	30	260	104464	783696	0
Malaikattuppudur	30	227	109255	775692	0
Malaikhaman	25	478	212520	832333	0
Malaikkadal	30	255	111361	787877	0
Malaikkal	16	211	87979	768513	0
Malaikkovil	30	227	110901	772404	0
Malaikkudippatti	30	193	105522	785793	0
Malaikkudippatti	30	193	102063	787238	0
Malaikoviltottipalaiyam	30	227	112264	774822	0
Malaikulanthampatti	30	260	105276	784718	0
Malailingapuram	30	193	103216	787141	0
Malaimarpuram	1	190	142096	793072	0
Malaimutti	30	193	106037	786658	0
Malaindi	33	316	295072	772892	0
Malaipakhar	4	136	258826	860876	0
Malaipalaiyam	30	197	121283	796178	0
Malaipalaiyam	30	238	125332	798926	0
Malaipalaiyam	30	427	109826	778654	0
Malaipatti	30	118	95251	776256	0
Malaipatti	30	118	94825	780053	0
Malaipatti	30	264	99698	777451	0
Malaipattu	30	159	129248	800083	0
Malaippalaiyam	30	227	110184	776151	0
Malaippalaiyam	30	427	109428	779585	0
Malaippatti	30	201	89358	778888	0
Malaippatti	30	427	108651	780013	0
Malaippatti	30	427	109198	782395	0
Malaippatti	30	183	105330	781146	0
Malaippatti	30	427	107218	781891	0
Malaippatti	30	183	103974	780976	0
Malaippatti	30	183	103518	780068	0
Malaippatti	30	264	100458	781310	0
Malaippatti	30	183	102037	781195	0
Malaippatti	30	427	106457	782649	0
Malaippatti	30	260	105884	783266	0
Malaippatti	30	189	100057	775834	0
Malaippatti	30	118	95914	783696	0
Malaipperumalagaram	30	197	118164	796860	0
Malaipur	35	347	244483	878065	0
Malaitha	33	27	257205	837179	0
Malaitirupattur	30	180	123263	786891	0
Malaiuranipatti	30	118	94657	777060	0
Malaivaiyavur	30	238	125950	798944	0
Malaivapalaiyam	30	204	112943	773270	0
Malaiyadi Pudugramam	30	186	85951	776405	0
Malaiyadikurichi	30	236	92033	774334	0
Malaiyadipalaiyam	30	154	108327	771936	0
Malaiyadipatti	30	236	92736	775885	0
Malaiyadippatti	30	51	117710	779232	0
Malaiyadippatti	30	260	105782	783821	0
Malaiyadippatti	30	193	102819	786166	0
Malaiyadippatti	30	193	106548	788941	0
Malaiyadippudur	30	204	115077	772956	0
Malaiyadippudur	30	186	84494	775564	0
Malaiyadivaram	30	427	108791	783893	0
Malaiyakavundanpalaiyam	30	154	107408	770004	0
Malaiyakavundanpudur	30	183	107526	779725	0
Malaiyakottai	30	436	98958	788691	0
Malaiyalangarapuram	30	264	100853	782951	0
Malaiyalappatti	30	51	115419	783291	0
Malaiyalappatti	30	223	114552	784020	0
Malaiyambattu	30	197	118482	793767	0
Malaiyampalaiyam	30	227	110166	773261	0
Malaiyampalaiyam	30	223	113353	778138	0
Malaiyampalaiyam	30	227	107848	777493	0
Malaiyampalaiyam	30	427	109550	778374	0
Malaiyampalaiyam	30	427	110568	780412	0
Malaiyampalaiyam	30	227	108408	778195	0
Malaiyampatti	30	223	115008	782560	0
Malaiyampattu	30	192	126502	792528	0
Malaiyampm	30	51	116936	778759	0
Malaiyan	33	659	270023	805005	0
Malaiyanattam	30	193	105472	790656	0
Malaiyanattampatti	30	264	99644	782078	0
Malaiyandahalli	30	215	124325	782341	0
Malaiyandipattanam	30	154	105331	769781	0
Malaiyandipattanam	30	154	106453	771275	0
Malaiyandipattanam	30	154	106238	770630	0
Malaiyandipattanam	30	227	106190	773437	0
Malaiyandipattanam	30	227	105509	772543	0
Malaiyandipatti	30	427	108880	778525	0
Malaiyandippatti	30	427	108416	783680	0
Malaiyandippatti	30	260	106318	783456	0
Malaiyandipuram	30	183	104533	777829	0
Malaiyandipuram	30	189	99939	775786	0
Malaiyandipuram	30	264	97736	777018	0
Malaiyandivalasu	30	227	105494	772875	0
Malaiyankulam	30	236	91454	776013	0
Malaiyankulam	30	186	86538	774911	0
Malaiyantavu	30	436	100634	788668	0
Malaiyanteru	30	193	104644	791358	0
Malaiyanur	30	376	116874	792131	0
Malaiyanur	30	175	115134	789937	0
Malaiyanurchekkadi	30	192	120858	787726	0
Malaiyapadi	30	192	123767	792428	0
Malaiyapalaiyam	30	227	110874	772401	0
Malaiyapattu	30	184	130248	790327	0
Malaiyappatti	30	193	106702	789775	0
Malaiyapura	33	196	251566	826824	0
Malaiyapuram	30	254	108224	792938	0
Malaiyapuram	30	254	109057	791884	0
Malaiyattangudi	30	436	101354	787407	0
Malaiyattapalaiyam	30	227	110424	777519	0
Malaiyur	30	192	124947	794646	0
Malaiyur	30	158	127666	793625	0
Malaiyur	30	192	125546	795928	0
Malaiyur	30	183	103087	782258	0
Malaiyur	30	183	101746	781554	0
Malaiyur	30	427	109762	779866	0
Malaje	15	55	127246	755736	0
Malajpur	19	648	226967	773690	0
Malak	33	688	260505	819662	0
