Man Bahadur	33	522	270304	818274	0
Man Bibrian	27	680	299886	752978	0
Man Bigha	4	112	250727	846405	0
Manbajaun	34	413	296456	795304	0
Manbarai	30	260	110213	785944	0
Manbaria	33	637	263798	818292	0
Manbasa	33	102	241647	831184	0
Manbasa	6	269	238519	830062	0
Manbaya	6	393	209983	823967	0
Manbazar	35	400	230591	866627	0
Manbela	33	314	268175	833874	0
Manbha	20	127	205110	776321	0
Manbhang	20	132	213734	774265	0
Manbharwala	11	88	302230	774498	0
Manbhauna	33	575	262379	819236	0
Manbhawanganj	33	659	276454	797471	0
Manbhwawan Singh	33	31	270700	813214	0
Manbir	25	368	222675	859920	0
Manbiram Gaontia	33	329	283088	791774	0
Manbod Purwa	33	522	270246	823989	0
Manbodhtanda	4	641	262772	875803	0
Manbodhtola	4	727	254995	863681	0
Manbodhtoli	14	476	224314	845625	0
