Manipal	15	248	133500	747833	34370
Manihari	4	602	253389	876200	26629
Maniyur	16	252	115522	756503	21820
Maniar	33	516	259855	841723	20462
Mani Majra	11	-1	307140	768382	15489
Manikpur	33	619	250608	810996	14415
Maniyur	16	256	119529	754481	12681
Manimutharu	30	186	86577	774139	11323
Manikkapuram	30	227	110247	772754	6215
Manipura	15	248	132962	747927	5001
Mani	12	409	320335	782492	0
Mani	15	55	128368	751207	0
Mani	35	538	220683	880461	0
Mani	4	597	253591	838290	0
Mani	20	-1	213859	778782	0
Mani	33	242	255177	828243	0
Mani	27	665	321522	754440	0
Mani	28	263	255921	737092	0
Mani	4	675	264679	845366	0
Mani	4	394	250491	841109	0
Mani	4	394	251657	842359	0
Mani	15	333	136797	750537	0
Mani	15	77	156893	741538	0
Mani	15	59	139918	745875	0
Mani Bhakurahar	4	687	258154	852551	0
Mani Bigha	4	507	250381	849421	0
Mani Bobbilivalasa	1	194	185106	831214	0
Mani Chak	4	117	246080	851906	0
Mani Chak	4	117	245312	849877	0
Mani Chak	4	495	251373	851772	0
Mani Chak	4	495	253997	853119	0
Mani Chak	4	495	251675	854656	0
Mani Chhapra	4	520	260188	845257	0
Mani Dih	33	561	254962	823345	0
Mani Garaha	33	522	270861	822794	0
Mani Garhi	33	389	272647	782163	0
Mani Jot	33	269	271104	823283	0
Mani Jot	33	522	270963	824549	0
Mani Jot	33	522	270917	824922	0
Mani Ka Bas	33	174	276768	777953	0
Mani ka Pura	33	584	256322	818258	0
Mani ka Purwa	33	31	267540	814956	0
Mani Kalan	33	33	259253	827101	0
Mani Kaura	33	152	269407	827969	0
Mani Khera	27	592	300974	743877	0
Mani Khetar	12	267	314948	767932	0
Mani Khurd	33	33	259337	827117	0
Mani Koti	33	686	267954	793999	0
Mani Mazra	27	704	308975	764022	0
Mani Musa	4	687	256987	852139	0
Mani Nagla	33	593	278257	790827	0
Mani Patti	33	479	260697	830494	0
Mani Purwa	33	522	271697	817026	0
Mani Purwa	33	654	260232	811156	0
Mani Purwa	33	522	270323	824563	0
Mani Rajaram	20	134	192920	804106	0
Mani Ramtola	4	363	256551	845426	0
Mani Singhwala	27	700	306965	745931	0
Mani Umarpur	33	584	256870	818820	0
Mania	28	599	268210	779174	0
Mania	19	638	250127	798950	0
Mania	19	461	224984	800927	0
Mania	34	413	294962	799319	0
Mania	4	535	265574	861463	0
Mania	4	636	256701	867191	0
Mania	4	518	250259	866504	0
Mania	4	602	255245	876140	0
Mania Chak	4	106	248941	856619	0
Mania Chak	14	570	251751	874101	0
Mania Gachhi	4	632	256223	868399	0
Mania Para	10	170	227915	743461	0
Mania Tanda	31	240	177166	794949	0
Mania Tikri	33	613	285158	780597	0
Maniabera	25	277	208729	852736	0
Maniach	4	363	254278	846602	0
Maniadda	4	505	249579	862115	0
Maniadih	14	434	241844	864876	0
Maniagar	34	413	296349	797751	0
Maniakhet	34	692	299475	795997	0
Maniakot	25	527	201570	848954	0
Manial	13	485	335622	743766	0
Manial	31	63	187340	789804	0
Maniala	27	544	311950	752640	0
Maniala	12	39	318148	762499	0
Maniala	12	39	317997	762503	0
Maniali	20	67	195674	779197	0
Maniamar	14	570	250102	873092	0
Maniamari	14	434	242347	862200	0
Maniamkulam	16	261	96645	768131	0
Maniamkulam	16	261	96425	768076	0
Maniamor	4	396	254124	870693	0
Maniampalaiyam	30	154	108067	770913	0
Maniampalli	31	557	183400	792068	0
Manian	33	526	271010	778827	0
Manian	33	27	255695	838851	0
Manian	33	27	254559	837786	0
Manian	4	597	253163	839947	0
Manian	4	615	261463	842252	0
Manian	14	570	251678	874756	0
Manian Chhapra	33	539	269643	837964	0
Manian Kaharan	27	214	316884	750168	0
Manian Karharia	14	570	250290	872579	0
Maniana	27	571	297469	759261	0
Maniana	12	267	316798	769322	0
