Mare	27	468	319428	754055	0
Mare Potaram	31	717	186963	796389	0
Marebylu	15	97	130902	756973	0
Maredi Nal	12	348	324316	760338	0
Maredibayi	31	60	177848	809813	0
Maredubaka	1	258	174007	821755	0
Maredubaka	31	60	177746	809017	0
Maredubaka	1	176	184317	836182	0
Maredubaka	31	46	176004	811385	0
Maredubaka	31	717	187016	795241	0
Maredubudi	31	46	175227	813912	0
Maredumaka	1	68	164723	808273	0
Maredumanipenta	1	195	162107	794318	0
Maredumilli	1	258	175970	817146	0
Maredupalle	1	207	132187	787169	0
Mareg	17	-1	339154	755248	0
Maregaon	20	67	201050	788069	0
Maregaon	19	503	228023	786692	0
Maregaon	20	67	202554	784633	0
Maregaon	20	67	201633	783396	0
Maregaon	20	67	200475	785060	0
Maregaon	20	67	200021	788905	0
Maregaon	31	346	191198	782269	0
Maregaon	20	110	202700	797344	0
Maregaon	31	271	195927	789008	0
Maregaon	20	390	211638	795840	0
Maregaon	20	110	200830	797061	0
Maregaon Buzurg	20	138	196679	781470	0
Maregaon Khurd	20	138	196801	781449	0
Maregaon Tanda	20	67	200455	784844	0
Maregaontola	20	110	202670	797409	0
Maregaudan Koppal	15	74	124910	761590	0
Marehati	19	326	232355	785326	0
Marehla	33	523	280632	777393	0
Marehli	33	488	273802	805508	0
Marehni	12	39	319961	759007	0
Marehol	13	640	330697	750162	0
Marehra	12	267	313898	770292	0
Mareikana	25	527	203527	851862	0
Marel	12	-1	323749	758433	0
Marel	1	258	181760	827532	0
Marela	33	488	272829	809680	0
Marela Mukha	33	174	278310	776552	0
Mareli	6	627	207158	818692	0
Marella	1	228	153919	776582	0
Marella	1	195	152879	795974	0
Marella	1	195	158774	799003	0
Marellagadda	1	190	137656	782475	0
Marellaguntapalem	1	195	155648	800067	0
Marellamadaka	1	221	142876	784845	0
Marellamudi	1	87	169157	813921	0
Marellapadu	31	60	178248	807551	0
Marellapadu	1	6	147120	798219	0
Marellavaripalem	1	10	159367	797837	0
Marelli	31	32	178595	779399	0
Maremmagudi	15	246	147086	767835	0
Maremmanahalli	15	92	142954	771286	0
Marempalle	1	99	146905	769549	0
Marempalle	1	99	148288	770881	0
Marena	33	451	277217	798223	0
Marenahalli	15	265	144955	763545	0
Marenahalli	15	652	132701	760832	0
Marenahalli	15	652	133987	761789	0
Marenahalli	15	92	133386	764516	0
Marenahalli	15	652	128968	761783	0
Marenahalli	15	93	126792	765475	0
Marenahalli	15	652	128984	763780	0
Marenahalli	15	93	127765	764842	0
Marenahalli	15	47	132467	782337	0
Marenahalli	30	109	121463	780544	0
Marenahalli Road	15	43	129168	775963	0
Marenan	33	451	279982	795199	0
Marenan	33	451	280253	796899	0
Marenga	6	577	187385	817902	0
Marengan	12	39	318847	763467	0
Marenhalli	15	43	129648	775300	0
Marenhalli	15	375	131662	777356	0
Marenhalli	15	375	131401	779056	0
Mareog	12	514	308752	772152	0
Mareora	19	638	251959	803167	0
Marepalle	1	103	170267	806228	0
Marepalle	1	219	179598	829736	0
Marepalle	1	207	133411	785611	0
Marepalli	31	58	184785	776915	0
Marepalli	31	32	175578	779783	0
Marepalli	1	207	134296	793074	0
Marepalli Colony	31	448	166642	782400	0
Marera	19	509	250984	786710	0
Marera	19	142	218983	800212	0
Marera Kalan	12	39	319178	762257	0
Marera Kalan	12	39	319271	762357	0
Marera Khurd	12	39	319228	762341	0
Maresur	19	503	229434	790132	0
Marethi	19	576	235161	800187	0
Mareti	19	311	229570	759513	0
Marevad	15	655	155339	750491	0
Marevandlapalle	1	426	140050	780302	0
Marewa	19	420	256063	776840	0
Marewal	27	647	309226	761154	0
Marewala	33	553	294086	783359	0
Mareygowdandoddi	15	603	127489	774341	0
