Masaurhi Buzurg	4	581	253542	850320	59803
Mashat	7	225	202451	730084	12139
Masila	35	340	225808	882328	11461
Masinigudi	30	114	115683	766409	9642
Masinayakkanpatti	30	51	116674	782283	9098
Masratu	14	732	239825	853238	5996
Mas	12	460	311996	778061	0
Mas Purwa	19	313	250123	807374	0
Masa	20	169	206898	771079	0
Masa	28	163	232918	743316	0
Masabari	25	527	202516	848313	0
Masabari	25	527	200351	849660	0
Masabdisa	3	391	256649	931685	0
Masabhat	6	275	210327	812116	0
Masabila	14	276	221148	857204	0
Masaburi	25	683	214542	848966	0
Masad	20	616	197154	772815	0
Masada Tukum	20	110	200419	793278	0
Masadanga	35	452	241452	879804	0
Masadhi	33	584	254398	822186	0
Masadi	15	265	142608	756842	0
Masadpur	4	734	251809	845156	0
Masadra	10	124	233541	735688	0
Masadra Mota	10	140	233532	735769	0
Masag	12	267	313664	771244	0
Masagandoddi	15	603	126322	772004	0
Masagi	15	97	134732	751568	0
Masagodu	15	188	125884	758649	0
Masagonahalli	15	93	128142	766519	0
Masagram	35	361	231342	880405	0
Masagudem	1	258	181987	828931	0
Masagudem	6	577	182787	814902	0
Masaha	33	152	266953	825692	0
Masaha	33	152	267205	826972	0
Masaha	4	520	259354	847850	0
Masaha Kalan	33	595	278378	820181	0
Masaha Khurd	33	595	278632	820583	0
Masahalli	15	422	137141	777322	0
Masahalli	15	74	119513	763992	0
Masahari	4	495	253549	853238	0
Masahariya	4	597	254809	842473	0
Masahebpeta	1	453	183353	838882	0
Masahebupeta	1	219	173204	825933	0
Masahebupeta	1	219	176656	828592	0
Masahebupeta	1	219	175643	829781	0
Masahebupeta	1	195	154082	794098	0
Masahi	4	718	249719	835954	0
Masahi	33	152	269782	826325	0
Masahi	33	516	261854	838373	0
Masahi	4	457	272098	845039	0
Masahi	4	382	268207	849651	0
Masaibi Rasulpur	33	492	287275	787327	0
Masaipalli	31	272	169709	777125	0
Masaipet	31	386	179053	784616	0
Masaipet	31	128	176353	789652	0
Masaipet	31	346	190615	787253	0
Masaipeta	31	63	187996	786241	0
Masak	34	430	307752	778214	0
Masakabari	25	527	201940	849717	0
Masakali	15	97	133610	756221	0
Masakallu	15	246	140016	766938	0
Masakallu	15	246	139868	766895	0
Masakattaipalaiyam	30	227	112462	774032	0
Masakavankapalle	1	426	141014	780158	0
Masakavundanur	30	204	117297	776935	0
Masakkalanur	30	51	118608	780009	0
Masakkalipalaiyam	30	154	110145	770179	0
Masakkalippatti	30	223	114801	781537	0
Masakkaliyur	30	51	117451	778644	0
Masakkavundanchettipalaiyam	30	154	111473	770757	0
Masakkavundanpudur	30	154	111855	770334	0
Masakkavundanpudur	30	227	107185	772680	0
Masakkumarampalaiyam	30	51	115710	778659	0
Masakpur	4	396	252644	872437	0
Masal	19	354	224881	798731	0
Masal	20	110	202040	791747	0
Masal	20	112	201146	754085	0
Masal Mahua	33	196	250977	825926	0
Masala	20	139	213424	794098	0
Masala	20	139	207861	792679	0
Masala	20	139	208905	790288	0
Masala	20	139	207518	791380	0
Masala Buzurg	20	110	204204	793842	0
Masala Khurd	20	48	179756	760059	0
Masala Khurd	20	127	202242	770910	0
Masalan	12	460	308875	776226	0
Masaldaha Bazar	35	397	253320	879261	0
Masalga	31	346	190199	777839	0
Masalga	20	138	187741	774025	0
Masalga Khurd	20	156	181403	764621	0
Masalga Tanda	31	346	190341	777928	0
Masalgi	15	167	176566	768905	0
Masali Budrukh	15	80	170611	760529	0
Masali Khurd	15	80	170609	760286	0
Masaliguda	25	243	188733	839015	0
Masalipalya	15	422	134842	774687	0
Masalkasa	20	168	210466	803081	0
Masalmeta	20	390	211060	798655	0
Masalpura	28	321	247193	760864	0
Masamahatotola	4	518	253045	863210	0
Masamasidu	1	228	158462	780220	0
Masampalle	1	259	173412	823215	0
Masampalle	1	219	174911	823772	0
Masampur	33	464	288862	783470	0
Masan Dhab	4	457	267425	843774	0
Masan Jhorwa	20	168	210315	802386	0
Masan Thana	4	675	265154	844519	0
Masana	11	482	300579	768878	0
Masana Jattan	11	88	301324	771267	0
Masana Rangharan	11	88	301310	771404	0
Masanadi	20	134	200550	804730	0
Masanaditola	20	134	200443	804638	0
Masanageri	15	80	163723	762462	0
Masanallampalaiyam	30	227	110157	774231	0
Masanapalli	31	557	182758	794464	0
Masanatoli	14	476	224603	844880	0
Masanayakkanpudur	30	154	107780	770280	0
Masand Khera	33	654	264426	811944	0
Masandabri	6	627	202961	820339	0
Masandapur	33	488	277630	804672	0
Masandawala	34	430	303543	779937	0
Masandha	19	337	237065	799559	0
Masandih	33	152	266889	826632	0
Masandipalaiyam	30	154	111990	770577	0
Masandkar	12	39	320852	763596	0
Masandoltola	19	502	237750	795305	0
Masandpura	12	279	312241	766387	0
Masangaon	19	446	222943	770050	0
Masangaon	4	491	262969	877718	0
Masangi	15	91	146719	754340	0
Masanguda	31	62	173932	780937	0
Masanhatti	15	77	159516	745308	0
Masani	11	500	282047	767330	0
Masani	27	571	302577	761375	0
Masani	19	323	256716	772205	0
Masani	4	718	248516	834963	0
Masani	27	355	311173	758998	0
Masani	14	732	242534	857384	0
Masania	19	129	221697	749166	0
Masania	14	643	242697	875450	0
Masania Kalan	6	388	220734	829991	0
Masania Para	10	170	229406	743247	0
Masanian	27	468	317956	752614	0
Masanihalli	15	246	138580	763421	0
Masanikatte	15	265	145582	761858	0
Masanikere	15	265	138540	759817	0
Masanipalya	15	92	134588	771809	0
Masanita	25	683	216721	849941	0
Masaniya	19	338	238542	784407	0
Masaniya	33	196	250691	829810	0
Masanjhiri	19	338	237748	787329	0
Masanjor	14	643	241207	873057	0
Masanjor	14	483	241600	869010	0
Masankatti	15	91	148698	752241	0
Masankhal	34	413	294487	797533	0
Masankhao	4	106	250118	856095	0
Masankhera	19	638	245243	791491	0
Masankun	4	569	258425	862642	0
Masankura	25	572	209634	826524	0
Masankura	6	611	215015	833085	0
Masanpalli	31	447	178281	785992	0
Masanpalli	31	32	181823	778736	0
Masanpalli	31	128	175340	792699	0
Masanpalli	31	58	181986	780345	0
Masanpalli	31	58	181058	780516	0
Masanpalli	31	447	180175	787889	0
Masanpalli	31	447	179222	786533	0
Masanpalli	31	447	177365	786373	0
Masanpalli	1	-1	178923	785470	0
Masanpur	33	33	258973	825374	0
Masanpur	20	53	202497	757935	0
Masanpur	4	602	256699	879684	0
Masanu	28	493	239072	739437	0
Masanutippa	1	293	166590	823137	0
Masanya	19	317	223552	755186	0
Masaon	33	516	261018	838365	0
Masapadar	25	373	203663	842282	0
Masapeta	1	224	157542	781997	0
Masapeta	1	190	140719	787533	0
Masapettai	30	158	129037	793089	0
Masapur	33	654	265511	812656	0
Masapuram	31	346	189756	784704	0
Masar	12	267	316799	770565	0
Masar	20	390	208333	797752	0
Masar	34	413	298632	791675	0
Masar	4	363	255577	845767	0
Masara	12	348	325707	761823	0
Masara Obri	28	22	240018	736966	0
Masaram	31	386	180176	782399	0
Masarapadi	15	92	137802	774009	0
Masareddipalli	31	447	180166	790278	0
Masarh Jagirdari	4	507	252904	851790	0
Masarh Nisf	4	507	252935	851709	0
Masarhalli	15	333	138131	757300	0
Masarhandih	4	505	247596	861376	0
Masarhi	4	718	252743	835871	0
Masarhi	4	663	250126	858943	0
Masarhi	4	581	254352	852312	0
Masarhia	4	597	254298	839031	0
Masarhu	4	396	252287	870996	0
Masari	33	196	251851	826161	0
Masaria	12	514	307993	772014	0
Masarkal	15	50	163705	770176	0
Masarna	12	460	313810	776759	0
Masarpatti	30	201	92868	780365	0
Masarpur	33	445	270395	788920	0
Masarur	15	333	140189	752965	0
Masarur	15	333	136047	752534	0
Masatia Lakhansepur	33	488	274226	806324	0
Masatpura	4	117	247177	849553	0
Masatthu	4	581	253849	856826	0
Masaudabad	33	654	259616	813783	0
Masaudpur	11	327	292280	759762	0
Masaudpur	33	479	258837	833195	0
Masaudpur	33	31	271668	812747	0
Masaul	33	688	257209	821225	0
Masauli	33	31	269816	813217	0
Masauli	33	593	278399	787288	0
Masauli	33	688	257308	821179	0
Masauli	33	584	251457	821984	0
Masaulia	33	522	271117	815994	0
Masaun	19	497	245117	814334	0
Masaun	19	497	245130	814222	0
Masaun	34	589	299208	790741	0
Masaun	34	589	299826	791305	0
Masaun	34	589	300514	788570	0
Masaun	34	413	298215	792782	0
Masaun	34	413	297658	793259	0
Masauna	4	394	251395	841433	0
Masauna	4	663	250504	858374	0
Masaundha	4	112	248020	846639	0
Masaundha	4	117	244906	851369	0
Masaundha	4	117	244374	848978	0
Masauni	33	694	252375	832741	0
Masauni	33	27	256882	838988	0
Masaura	33	445	272689	791702	0
Masaurha	4	718	253032	835580	0
Masaurha	33	532	262916	828093	0
Masaurha	4	581	253549	847568	0
Masaurha	4	363	254936	844307	0
Masaurha	4	106	249645	854573	0
Masaurha Bigha	4	106	249696	854595	0
Masaurhi	4	581	253144	848218	0
Masaurhidih	4	581	253439	850197	0
Masaurhidih	4	581	253387	850315	0
Masauta	33	697	287117	775928	0
Masauta	33	613	284021	776809	0
Masavalli	15	652	132238	758136	0
Masavanattam	30	264	96762	780254	0
Masawan	33	479	259271	833309	0
Masawata	28	429	263400	766818	0
Masbaras	6	676	201401	811182	0
Masbera	14	442	250598	877047	0
Masbinahanchinahalu	15	66	154479	760079	0
Masdari	14	633	246858	875246	0
Masdha	4	396	252089	872458	0
Masdhawan	12	267	317128	767672	0
Masdi	20	132	209020	780807	0
Masdi	4	396	252441	867233	0
Masdi Musahri	4	396	252296	867245	0
Maseanatti	30	215	122435	777490	0
Masegaon	20	53	195179	761115	0
Masekera	14	476	226864	843414	0
Masel	1	258	181881	827510	0
Maseli	20	134	207843	804412	0
Masem	9	101	149570	740565	0
Masenamau	33	488	274128	809867	0
Masenan Mirzapur	33	532	264574	829017	0
Masenar	6	392	187830	813602	0
Masenar	6	392	188027	813350	0
Maser	19	326	232959	777905	0
Maser	19	208	237250	780459	0
Maserhi	33	532	264048	826287	0
Maserna	12	39	320600	765141	0
Masgadiguda	1	194	188266	838446	0
Masgam	6	578	192124	820698	0
Masgaon	33	621	256774	798814	0
Masgaon	14	310	230077	843668	0
Masgaontoli	14	310	230158	843660	0
Masgapur	15	69	119574	769398	0
Masgawan	33	621	256657	795519	0
Masgawan	33	621	256966	800047	0
Masgayan	33	710	260536	796780	0
Masgondanhatti	15	77	157833	745423	0
Masha	12	604	310548	770655	0
Masha	33	516	258712	840618	0
Mashabra	12	460	311494	770897	0
Mashadi	12	409	326935	766867	0
Mashahi	34	574	299895	778847	0
Mashai	13	358	331068	759443	0
Mashaida	12	460	313369	777213	0
Mashak	34	430	307736	778011	0
Mashana	12	514	307287	776926	0
Mashanpata	25	281	216079	855212	0
Mashar	30	192	123681	790147	0
Mashari	12	514	307575	775487	0
Mashari	15	59	139927	746436	0
Masharnia	4	410	261615	868559	0
Mashat	35	268	227394	881948	0
Masheon	12	604	308668	771016	0
Mashga	12	514	306278	773969	0
Mashi Mara	27	468	320933	754596	0
Mashigadde	15	59	145674	748154	0
Mashigadde	15	59	145541	748130	0
Mashigundlapalli	31	306	168089	783246	0
Mashikavudanpudur	30	154	108431	769190	0
Mashinabilla	25	281	214450	856427	0
Mashinajodi	25	281	214106	856717	0
Mashior	12	604	309048	771644	0
Mashiyar	12	653	316133	775091	0
Mashka Bara	28	163	231404	743252	0
Mashkundi	13	529	331837	751404	0
Mashkur	13	485	334267	742111	0
Mashkurgarh	33	613	282589	781200	0
Mashmoli	34	589	297482	788585	0
Mashmond	12	460	308699	776168	0
Mashobra	12	460	311344	772271	0
Mashobra	12	460	311151	775148	0
Mashobra	12	514	308293	771699	0
Mashobra	12	514	308202	772646	0
Mashod	13	358	330297	760585	0
Mashog	12	653	313979	774423	0
Mashog	12	514	309445	772793	0
Mashogi	12	267	314854	768227	0
Mashran	12	267	316759	769948	0
Mashran	12	460	309972	776757	0
Mashraon	12	460	309973	775596	0
Mashri	12	460	313385	776815	0
