Merta	28	414	266486	740341	46070
Merta Road	28	414	267227	739176	16905
Meru	14	732	240097	854673	7780
Mera	14	387	237556	867944	7051
Mercurim	9	24	154270	738996	4970
Mer	10	205	240832	733746	0
Mer	33	686	267279	796276	0
Mer	19	449	231079	808984	0
Mer	34	413	294956	797078	0
Mer Gurian Purwa	33	282	276665	815570	0
Mera	13	485	332041	742780	0
Mera	28	23	247682	727357	0
Mera	4	718	252722	836025	0
Mera	12	39	321540	759704	0
Mera	12	39	319443	762147	0
Mera	4	581	252827	847956	0
Mera ka Gurha	28	22	246548	737412	0
Mera Kachamavaram	1	259	173345	823633	0
Merab	28	550	251184	737883	0
Meragaon	19	576	231487	793726	0
Meragudi	25	373	197545	836318	0
Merahi	4	615	260712	844043	0
Merahra	33	196	250111	823357	0
Merai	6	374	226891	822638	0
Merai Ahir	33	522	270817	818066	0
Merai Dih	33	269	275758	821747	0
Merai Dih	33	269	273790	823410	0
Merai Dih	33	269	272107	824031	0
Merai Purwa	33	312	279640	811835	0
Merai Tewari Purwa	33	282	274478	814895	0
Merak	17	2	338070	785895	0
Merakagudem	1	25	172119	814258	0
Merakamudidam	1	176	184118	834617	0
Merakapudi	1	308	162682	801721	0
Merakheri	19	324	243585	771719	0
Meral	14	712	241876	837076	0
Meral	14	379	240718	851558	0
Meral	14	541	233578	852192	0
Meral	14	416	230214	852544	0
Meral	14	678	237047	840290	0
Meral	14	678	238983	846489	0
Meral Ikir	14	276	224684	850861	0
Meramaha	25	373	198343	839688	0
Meramajalu	15	55	128925	749590	0
Meramandali	25	277	207833	853369	0
Merambir	14	416	227849	850181	0
Meramgara	14	379	240720	851339	0
Meramgarah	14	732	241962	855427	0
Meramgutu	14	276	228654	853201	0
Meramhara	14	498	235351	859505	0
Meramhonar	14	276	223642	858945	0
Meran	10	205	242777	731144	0
Meran	4	535	264271	861277	0
Merana	28	163	232463	742328	0
Meranda	25	349	193954	836668	0
Meranda	25	349	193396	838825	0
Meranda	25	243	190453	839730	0
Merangi	25	349	191404	838648	0
Merangkong	24	304	266144	946694	0
Merangpadar	25	273	198116	834000	0
Merankulam	30	186	84755	776333	0
Merapani	3	709	263195	940927	0
Merapur	33	548	272029	794491	0
Merapur	33	445	272628	792307	0
Merapur	33	445	272522	791264	0
Merapur	33	661	273727	792798	0
Merapur	33	445	271100	790882	0
Merapur Gujrati	33	445	272136	791378	0
Merara	28	429	268924	768925	0
Merara	28	429	268970	768870	0
Merara	19	646	241507	816411	0
Meraraich	19	607	241774	820445	0
Merardah	33	102	243152	828780	0
Merari	33	532	265009	825754	0
Merari	33	314	264269	832765	0
Meras	28	414	264678	741531	0
Meras Dhani	28	414	264269	741691	0
Merasar Chhanna	28	519	284751	742965	0
Meratal	25	572	206912	826740	0
Merath	13	477	324608	754500	0
Merath	33	329	287632	796283	0
Merattur	30	220	133131	802562	0
Merauni Chherhat	14	712	244962	836869	0
Meravas	10	133	242450	729427	0
Merawal	14	732	240277	853748	0
Merbil Grant	3	366	273068	952280	0
Merces	9	24	154833	738500	0
Merdade	14	570	250221	874754	0
Merdartoli	14	310	228434	849545	0
Merdi	15	248	136669	748470	0
Meregaon	6	455	211262	807993	0
Meregaon	6	620	207901	807598	0
Meregaon	6	676	202794	808549	0
Merelchandi	14	628	229957	858271	0
Merend	35	400	234052	859242	0
Merepalli	31	448	166623	782622	0
Meresara	6	275	213761	813607	0
Meretongritoli	14	541	234151	855326	0
Merevaripalli	1	45	136710	791492	0
Merghara	25	273	196986	830419	0
Merh	4	718	250182	834431	0
Merha	33	561	252766	825999	0
Merha	20	139	210219	796110	0
Merha	6	455	210201	809402	0
Merha	14	541	232096	853395	0
Merha	14	541	233296	855919	0
Merha	14	498	235600	858917	0
Merhakai	25	546	217158	840095	0
Merhakhar	19	217	229797	814157	0
Merhakhar	19	217	228586	817453	0
Merhamair	33	33	258568	826534	0
Merhamunduli	25	277	207838	853286	0
Merhapali	6	393	213809	829355	0
Merhari	6	269	237998	832448	0
Merharipur	4	394	250388	839379	0
Merhaul	4	602	256598	876819	0
Merhauli	19	607	241794	826587	0
Merhaura	14	678	235247	841591	0
Merhe ka Pura	28	599	268452	779942	0
